OKRES	KODZASTUP	COBVODU	POR_STR_HL	OSTRANA	PORCISLO	JMENO	PRIJMENI	TITULPRED	TITULZA	VEK	POVOLANI	BYDLISTEN	PSTRANA	NSTRANA	PLATNOST	POHLAVI
7104	513105	1	1	901	1	Božena	Sitková			61	důchodce	Dobrčice	99	80	0	F
7104	513105	1	2	902	1	Jaroslav	Chlapečka			57	vojenský důchodce	Dobrčice	99	80	0	M
7104	513105	1	1	901	2	Hana	Mozolová			35	fakturant	Dobrčice	99	80	0	F
7104	513105	1	2	902	2	Vítězslav	Smolka			53	stolař	Dobrčice	99	80	0	M
7104	513105	1	1	901	3	Marek	Ostrčil			24	výzkumný pracovník	Dobrčice	99	80	0	M
7104	513105	1	2	902	3	Zbyněk	Petřík			40	strojník	Dobrčice	99	80	0	M
7104	513105	1	1	901	4	Ondřej	Kosík			23	čalouník	Dobrčice	99	80	0	M
7104	513105	1	2	902	4	Zuzana	Miklíková	Ing.		26	obchodně technický pracovník	Dobrčice	99	80	0	F
7104	513105	1	1	901	5	Petra	Hübnerová			30	ekonom	Dobrčice	99	80	0	F
7104	513105	1	2	902	5	Tomáš	Hradil			32	OSVČ	Dobrčice	99	80	0	M
7104	513105	1	1	901	6	Anna	Špíšková			64	důchodce	Dobrčice	99	80	0	F
7104	513105	1	2	902	6	Miroslav	Šimek			33	OSVČ	Dobrčice	99	80	0	M
7104	513105	1	1	901	7	Jan	Pavelka			27	zedník	Dobrčice	99	80	1	M
7104	513105	1	2	902	7	Jaromír	Ostrčil			70	důchodce	Dobrčice	99	80	0	M
7104	513105	1	1	901	8	Jiří	Králíček			60	školník	Dobrčice	99	80	0	M
