OKRES	KODZASTUP	COBVODU	POR_STR_HL	OSTRANA	PORCISLO	JMENO	PRIJMENI	TITULPRED	TITULZA	VEK	POVOLANI	BYDLISTEN	PSTRANA	NSTRANA	PLATNOST	POHLAVI
2111	540498	1	1	901	1	Jiří	Janů	Ing.		56	ředitel střední školy	Kosova Hora	99	80	0	M
2111	540498	1	2	449	1	Lenka	Havlíčková			56	podnikatelka	Kosova Hora	99	129	0	F
2111	540498	1	3	801	1	Marcela	Janoušková			40	úřednice	Kosova Hora	99	80	0	F
2111	540498	1	4	371	1	Jiří	Dundr			64	důchodce	Kosova Hora	7	7	0	M
2111	540498	1	1	901	2	Alexandr	Jiránek			56	řidič	Kosova Hora	99	80	0	M
2111	540498	1	2	449	2	Martin	Krameš			35	elektrikář	Kosova Hora	99	129	0	M
2111	540498	1	4	371	2	Stanislav	Marat			67	důchodce	Lavičky	99	80	0	M
2111	540498	1	1	901	3	Ladislav	Sůva			43	skladník	Kosova Hora	99	80	0	M
2111	540498	1	2	449	3	František	Pilík			62	elektrikář	Kosova Hora	129	129	0	M
2111	540498	1	4	371	3	Jaroslav	Škoda			23	OSVČ	Lavičky	99	80	0	M
2111	540498	1	1	901	4	Hana	Kadeřábková			40	pojišťovací poradce	Záduší	99	80	0	F
2111	540498	1	2	449	4	Radek	Sirotek			37	řidič	Kosova Hora	99	80	0	M
2111	540498	1	4	371	4	Vlasta	Dundrová			56	dělnice	Kosova Hora	99	80	0	F
2111	540498	1	1	901	5	Zdeněk	Sirotek			53	skladník	Kosova Hora	99	80	0	M
2111	540498	1	2	449	5	František	Belza			55	podnikatel	Kosova Hora	99	80	0	M
2111	540498	1	4	371	5	Libuše	Jiránková			55	OSVČ	Kosova Hora	99	80	0	F
2111	540498	1	1	901	6	Miroslav	Hodík			24	truhlář	Kosova Hora	99	80	0	M
2111	540498	1	2	449	6	Jaroslav	Pokorný			54	zámečník	Lovčice	99	80	0	M
2111	540498	1	1	901	7	Jiří	Sůva			25	profesionální hasič	Kosova Hora	99	80	0	M
2111	540498	1	2	449	7	Jiří	Petřina			28	tesař	Kosova Hora	99	80	0	M
2111	540498	1	1	901	8	Josef	Skalický			41	opravář zemědělských strojů	Kosova Hora	99	80	0	M
2111	540498	1	2	449	8	Vladislav	Pánek			33	truhlář	Kosova Hora	99	80	0	M
2111	540498	1	1	901	9	Monika	Valentová			32	laborantka	Kosova Hora	99	80	0	F
2111	540498	1	2	449	9	Jitka	Váňová			52	podnikatelka	Dohnalova Lhota	99	80	0	F
2111	540498	1	1	901	10	Jiří	Stehlík			23	montér	Kosova Hora	99	80	0	M
2111	540498	1	2	449	10	Hana	Pešková			56	podnikatelka	Dohnalova Lhota	99	80	0	F
2111	540498	1	1	901	11	Jiří	Žížala			27	grafik	Kosova Hora	99	80	0	M
2111	540498	1	2	449	11	Blanka	Vlasová			52	účetní	Kosova Hora	99	80	0	F
2111	540498	1	1	901	12	Jana	Němcová	Mgr.		45	učitelka základní školy	Kosova Hora	99	80	0	F
2111	540498	1	2	449	12	Josef	Vaniš			60	podnikatel	Kosova Hora	99	80	0	M
2111	540498	1	1	901	13	Jaroslav	Řehák			56	řidič	Lavičky	99	80	0	M
2111	540498	1	2	449	13	Petr	Vršecký			46	zámečník	Kosova Hora	99	80	0	M
2111	540498	1	1	901	14	Jaroslav	Vyskočil			38	řezník	Kosova Hora	99	80	0	M
2111	540498	1	2	449	14	Pavel	Řehák			34	řidič	Lavičky	99	80	0	M
2111	540498	1	1	901	15	Ladislav	Hodík	Bc.		48	státní zaměstnanec	Kosova Hora	99	80	0	M
2111	540498	1	2	449	15	Miluše	Hrubá			35	uklízečka	Kosova Hora	99	80	0	F
