OKRES	KODZASTUP	COBVODU	POR_STR_HL	OSTRANA	PORCISLO	JMENO	PRIJMENI	POHLAVI	TITULPRED	TITULZA	VEK	POVOLANI	BYDLISTEN	PSTRANA	NSTRANA	PLATNOST
3206	560057	1	1	53	1	Ladislav	Bejček	M	MVDr.		40	podnikatel	Osek	53	53	0
3206	560057	1	1	53	2	Václav	Kašák	M			58	podnikatel	Osek	99	53	0
3206	560057	1	1	53	3	Lenka	Bejčková	F	MVDr.		43	podnikatelka	Osek	53	53	0
3206	560057	1	1	53	4	Karel	Sieger	M	Ing.		48	obchodní ředitel	Osek	53	53	0
3206	560057	1	1	53	5	František	Loukota	M	Ing.		54	podnikatel	Osek	99	53	0
3206	560057	1	1	53	6	Miloš	Řežábek	M			30	podnikatel	Osek	53	53	0
3206	560057	1	1	53	7	František	Holšan	M			39	obchodní referent	Osek	53	53	0
3206	560057	1	1	53	8	Eva	Keprtová	F	Ing.		46	podnikatelka	Osek	53	53	0
3206	560057	1	1	53	9	Petr	Matoušek	M			38	technik	Osek	99	53	0
3206	560057	1	1	53	10	Jiří	Falout	M	Ing.		47	technik	Vitinka	99	53	0
3206	560057	1	1	53	11	Lubomír	Kesner	M			38	podnikatel	Osek	53	53	0
3206	560057	1	2	901	1	Jaroslav	Peroutka	M			59	podnikatel	Osek	99	80	0
3206	560057	1	2	901	2	Jaroslava	Výborná	F			61	důchodce	Vitinka	99	80	0
3206	560057	1	2	901	3	Eva	Dudlová	F	Ing.		43	vedoucí pečovatelské služby	Osek	99	80	0
3206	560057	1	2	901	4	Michal	Čelechovský	M	JUDr.		56	advokát	Osek	99	80	0
3206	560057	1	2	901	5	Josef	Švarc	M			54	hasič	Osek	99	80	0
3206	560057	1	2	901	6	Miloslav	Oliberius	M	Ing.		56	podnikatel	Vitinka	99	80	0
3206	560057	1	2	901	7	František	Pokštefl	M			38	podnikatel	Osek	99	80	0
3206	560057	1	2	901	8	Jan	Kozel	M	Ing.		61	podnikatel	Osek	99	80	0
3206	560057	1	2	901	9	Luděk	Trunec	M	Ing.		40	vedoucí provozu	Osek	99	80	0
3206	560057	1	2	901	10	Pavel	Sloup	M			55	úředník	Osek	99	80	0
3206	560057	1	2	901	11	Miloslava	Šneberková	F			65	důchodce	Osek	99	80	0
3206	560057	1	3	902	1	Miroslav	Vejvoda	M			39	elektrotechnik	Osek	99	80	0
3206	560057	1	3	902	2	Jaroslav	Hlůžek	M			37	dělník	Osek	99	80	0
3206	560057	1	3	902	3	Petr	Paum	M			36	OSVČ	Osek	99	80	0
3206	560057	1	3	902	4	Václav	Vrba	M			37	vedoucí výroby	Osek	99	80	0
3206	560057	1	3	902	5	Pavel	Tománek	M			39	OSVČ	Osek	99	80	0
3206	560057	1	3	902	6	Martin	Košař	M			21	dělník	Osek	99	80	0
3206	560057	1	3	902	7	Ondřej	Oravec	M			21	strojvůdce	Osek	99	80	0
3206	560057	1	3	902	8	Pavel	Hirman	M			36	dělník	Osek	99	80	0
3206	560057	1	3	902	9	Ladislav	Stach	M			31	OSVČ	Osek	99	80	0
3206	560057	1	3	902	10	Jiří	Maršík	M			26	OSVČ	Osek	99	80	0
3206	560057	1	3	902	11	Vladimír	Bejček	M			65	důchodce	Osek	99	80	0
3206	560057	1	4	903	1	Jan	Cafourek	M	Ing.		45	technik	Osek	99	80	0
3206	560057	1	4	903	2	Petr	Barták	M			43	technik	Vitinka	99	80	0
3206	560057	1	4	903	3	Jan	Smetana	M			64	technik	Osek	99	80	0
3206	560057	1	4	903	4	Jaroslav	Dobiáš	M	Ing.		63	chemik	Osek	99	80	0
3206	560057	1	4	903	5	Ivana	Loukotová	F			47	projektant	Osek	99	80	0
3206	560057	1	4	903	6	Petr	Němec	M	Ing.		49	podnikatel	Osek	99	80	0
3206	560057	1	4	903	7	Václav	Svoboda	M	Bc.		43	IT specialista	Osek	99	80	0
3206	560057	1	4	903	8	František	Nosek	M			44	živnostník	Osek	99	80	0
3206	560057	1	4	903	9	Martina	Skopová	F			33	účetní	Osek	99	80	0
3206	560057	1	4	903	10	Alena	Průchová	F	PhDr.		28	podnikatelka	Osek	99	80	0
3206	560057	1	4	903	11	Miloslav	Šůcha	M			41	elektrikář	Osek	99	80	0
