OKRES	KODZASTUP	COBVODU	POR_STR_HL	OSTRANA	PORCISLO	JMENO	PRIJMENI	POHLAVI	TITULPRED	TITULZA	VEK	POVOLANI	BYDLISTEN	PSTRANA	NSTRANA	PLATNOST
5204	576361	1	1	129	1	Jiří	Bartoš	M	Ing.		48	státní zaměstnanec	Kostelec nad Orlicí	99	129	0
5204	576361	1	1	129	2	Luboš	Lerch	M	Ing.		55	manažer nákupu	Kostelec nad Orlicí	99	129	0
5204	576361	1	1	129	3	Zuzana	Kschwendová	F			36	OSVČ, lektor	Kostelec nad Orlicí	99	129	0
5204	576361	1	1	129	4	Jaroslav	Pavlíček	M			45	dělník	Kostelecká Lhota	99	129	0
5204	576361	1	1	129	5	Václava	Mlatečková	F			58	důchodce	Kostelec nad Orlicí	99	129	0
5204	576361	1	1	129	6	František	Sejkora	M			68	důchodce	Kostelec nad Orlicí	99	129	0
5204	576361	1	1	129	7	Josef	Barvínek	M	Ing.		58	OSVČ, internet. služby	Kostelec nad Orlicí	99	129	0
5204	576361	1	1	129	8	Josef	Hejhal	M			68	důchodce	Kostelec nad Orlicí	99	129	0
5204	576361	1	1	129	9	Iva	Uhnavá	F			43	OSVČ, účetní	Kostelec nad Orlicí	99	129	0
5204	576361	1	1	129	10	Josef	Plocek	M			42	vedoucí obchodu	Kostelec nad Orlicí	99	129	0
5204	576361	1	1	129	11	Kateřina	Mergancová	F			38	zdravotní sestra	Kostelec nad Orlicí	99	129	0
5204	576361	1	1	129	12	František	Macháček	M			53	revizní technik elektro	Kostelec nad Orlicí	99	129	0
5204	576361	1	1	129	13	Pavel	Šašek	M			60	hasič	Kostelec nad Orlicí	99	129	0
5204	576361	1	1	129	14	Václav	Uhlíř	M			60	ředitel SK Rabštejn	Kostelec nad Orlicí	99	129	0
5204	576361	1	1	129	15	Pavel	Hurych	M	Ing.		37	stavební technik	Kostelec nad Orlicí	99	129	0
5204	576361	1	1	129	16	Renata	Skuhrovcová	F	MUDr.		43	lékařka	Kostelec nad Orlicí	99	129	0
5204	576361	1	1	129	17	Ladislav	Filipu	M	Ing.		48	spolumajitel firmy	Kostelec nad Orlicí	99	129	0
5204	576361	1	1	129	18	Stanislav	Krupka	M			52	OSVČ, zámečnictví	Kostelec nad Orlicí	99	129	0
5204	576361	1	1	129	19	Ivan	Uher	M			58	elektromontér	Kostelec nad Orlicí	99	129	0
5204	576361	1	1	129	20	Martin	Chlumecký	M	Ing.		37	stavební technik	Kostelec nad Orlicí	99	129	0
5204	576361	1	1	129	21	Josef	Dušek	M			45	OSVČ, účetní	Kostelec nad Orlicí	99	129	0
5204	576361	1	2	53	1	Luboš	Mottl	M	Ing.		48	ředitel nemocnice	Kostelec nad Orlicí	53	53	0
5204	576361	1	2	53	2	Jiří	Svátek	M	Ing.		46	ředitel odboru	Kostelec nad Orlicí	53	53	0
5204	576361	1	2	53	3	Tomáš	Langr	M	Ing.		42	jednatel firmy	Kostelec nad Orlicí	53	53	0
5204	576361	1	2	53	4	Miroslav	Matějus	M	Ing.		55	referent MZeČR	Kostelec nad Orlicí	99	53	0
5204	576361	1	2	53	5	Lukáš	Ontl	M	Ing.		35	obchodní manažer	Kostelec nad Orlicí	53	53	0
5204	576361	1	2	53	6	Tomáš	Diblík	M	Ing.		56	vedoucí úřadu MZeČR	Kostelec nad Orlicí	99	53	0
5204	576361	1	2	53	7	Jitka	Černá	F			61	OSVČ	Kostelec nad Orlicí	53	53	0
5204	576361	1	2	53	8	Bedřich	Jasník	M			30	hasič-záchranář	Kostelec nad Orlicí	99	53	0
5204	576361	1	2	53	9	Martin	Bartoš	M			41	OSVČ	Kostelec nad Orlicí	99	53	0
5204	576361	1	2	53	10	Dana	Navrátilová	F	Ing.		39	ekonomka	Kostelec nad Orlicí	53	53	0
5204	576361	1	2	53	11	Marian	Šípoš	M			43	OSVČ	Kostelec nad Orlicí	99	53	0
5204	576361	1	2	53	12	Jiřina	Furdová	F			46	bankovní úředník	Kostelec nad Orlicí	53	53	0
5204	576361	1	2	53	13	František	Siegl	M	Ing.		51	OSVČ	Kostelec nad Orlicí	99	53	0
