OKRES	KODZASTUP	COBVODU	POR_STR_HL	OSTRANA	PORCISLO	JMENO	PRIJMENI	TITULPRED	TITULZA	VEK	POVOLANI	BYDLISTEN	PSTRANA	NSTRANA	PLATNOST	POHLAVI
4103	560294	1	1	7	1	Lubomír	Nechanický	Ing.		59	státní zaměstnanec	Březová	7	7	0	M
4103	560294	1	2	5	1	Jan	Fridrich	Ing.		64	OSVČ	Březová	99	5	0	M
4103	560294	1	3	721	1	Pavel	Novotný			19	hospodářsko - tech. pracovník	Březová	721	721	0	M
4103	560294	1	4	53	1	Miroslav	Bouda			54	starosta města	Březová	53	53	0	M
4103	560294	1	5	47	1	Jana	Strnadová			73	důchodkyně	Březová	47	47	0	F
4103	560294	1	6	901	1	Vladimír	Nový			52	OSVČ	Březová	99	80	0	M
4103	560294	1	1	7	2	Pavel	Hatala	Bc.		44	státní zaměstnanec	Březová	99	7	0	M
4103	560294	1	2	5	2	Jan	Fiala			29	stavební technik	Březová	99	5	0	M
4103	560294	1	3	721	2	Daniel	Daňo			21	soukromý podnikatel	Březová	99	721	0	M
4103	560294	1	4	53	2	Lenka	Fišerová	MUDr.		50	lékařka	Kostelní Bříza	99	53	0	F
4103	560294	1	5	47	2	František	Schneider			66	důchodce	Březová	47	47	0	M
4103	560294	1	6	901	2	Dana	Zíková	Mgr.		29	ředitelka studijního centra	Březová	99	80	0	F
4103	560294	1	1	7	3	Vlastimil	Bláha	Mgr.		60	podnikatel	Rudolec	99	7	0	M
4103	560294	1	2	5	3	Lenka	Kočická	Ing.		30	geodet	Březová	99	5	0	F
4103	560294	1	4	53	3	Jan	Jiříček			55	živnostník	Březová	99	53	0	M
4103	560294	1	5	47	3	Květoslava	Šafnerová			52	ekonomka	Březová	47	47	0	F
4103	560294	1	6	901	3	Miroslav	Platl			52	obchodní zástupce	Březová	99	80	0	M
4103	560294	1	1	7	4	Vladimír	Kroft	Bc.		43	státní zaměstnanec	Rudolec	99	7	0	M
4103	560294	1	2	5	4	Josef	Zeman			44	předák	Rudolec	99	5	0	M
4103	560294	1	4	53	4	Hana	Havlíková	MUDr.		63	důchodkyně-lékař	Březová	99	53	0	F
4103	560294	1	5	47	4	Dana	Janurová			56	ředitelka osobní asistence	Rudolec	47	47	0	F
4103	560294	1	6	901	4	Vladimír	Chlad	Bc.		28	učitel	Březová	99	80	0	M
4103	560294	1	1	7	5	Vladimír	Paleček	Bc.		35	pracovník sociálních služeb	Březová	99	7	0	M
4103	560294	1	2	5	5	Miroslav	Lukáš			41	hasič	Březová	99	5	0	M
4103	560294	1	4	53	5	Eva	Runtová			32	porodní asistentka	Březová	99	53	0	F
4103	560294	1	5	47	5	Lubomír	Boukal			63	důchodce	Březová	99	47	0	M
4103	560294	1	6	901	5	Vladislava	Obořilová			41	lázeňská sestra	Březová	99	80	0	F
4103	560294	1	1	7	6	Štěpán	Kováč			55	živnostník	Březová	7	7	0	M
4103	560294	1	2	5	6	Rudolf	Pekuniak			54	OSVČ	Březová	99	5	0	M
4103	560294	1	4	53	6	Lukáš	Szolár			22	technik	Březová	99	53	0	M
4103	560294	1	5	47	6	Jiří	Boček			60	řidič	Březová	47	47	0	M
4103	560294	1	6	901	6	Zdeněk	Daňo			49	jednatel firmy	Březová	99	80	0	M
4103	560294	1	1	7	7	Miroslav	Polka			54	dělník	Březová	7	7	0	M
4103	560294	1	2	5	7	Pavel	Suchý			61	správce MFC	Březová	99	5	0	M
4103	560294	1	4	53	7	Petr	Kortus			46	technik	Březová	99	53	0	M
4103	560294	1	5	47	7	Radka	Bobková			42	účetní	Březová	47	47	0	F
4103	560294	1	6	901	7	Robert	Šťuka			41	prokurista firmy	Březová	99	80	0	M
4103	560294	1	1	7	8	Stanislav	Staško			29	poštovní doručovatel	Březová	7	7	0	M
4103	560294	1	2	5	8	Martina	Hazuková			30	státní zaměstnanec	Rudolec	99	5	0	F
4103	560294	1	4	53	8	Milada	Gottfriedová			43	porodní asistentka	Březová	99	53	0	F
4103	560294	1	5	47	8	Oldřich	Nápravník	Ing.	CSc.	69	důchodce	Březová	99	47	0	M
4103	560294	1	6	901	8	Petr	Brláš			27	strojvedoucí	Březová	99	80	0	M
4103	560294	1	1	7	9	Stanislav	Hlava			44	státní zaměstnanec	Březová	99	7	0	M
4103	560294	1	2	5	9	Marie	Miznerová			55	referent ČÚZK	Březová	99	5	0	F
4103	560294	1	4	53	9	Josef	Brandl			52	živnostník	Březová	99	53	0	M
4103	560294	1	5	47	9	Dagmar	Vytisková			64	důchodkyně	Březová	47	47	0	F
4103	560294	1	6	901	9	Jana	Kičinková			22	studentka	Březová	99	80	0	F
4103	560294	1	1	7	10	Jan	Dzoba			73	důchodce	Březová	99	7	0	M
4103	560294	1	2	5	10	Jan	Drenka			37	řidič	Rudolec	99	5	0	M
4103	560294	1	4	53	10	Michal	Bedeč			19	student	Březová	99	53	0	M
4103	560294	1	5	47	10	Tibor	Rusznyak			53	zedník	Březová	99	47	0	M
4103	560294	1	6	901	10	Jiří	Zíka			52	OSVČ	Březová	99	80	0	M
4103	560294	1	1	7	11	Ladislav	Pfeffer			23	student VŠ	Březová	99	7	0	M
4103	560294	1	2	5	11	Miroslav	Horák			57	řidič	Březová	99	5	0	M
4103	560294	1	4	53	11	Radek	Martínek			36	technik	Březová	99	53	0	M
4103	560294	1	5	47	11	Vladimír	Pazdera			63	důchodce	Březová	99	47	0	M
4103	560294	1	6	901	11	Květuše	Köhlerová			49	OSVČ	Březová	99	80	0	F
4103	560294	1	1	7	12	Zuzana	Hrnčířová			35	mateřská dovolená	Březová	99	7	0	F
4103	560294	1	2	5	12	Daniel	Karbula			30	předák	Březová	99	5	0	M
4103	560294	1	4	53	12	Milena	Halčinská	Mgr.		62	ředitelka ZŠ	Březová	99	53	0	F
4103	560294	1	5	47	12	Vilém	Meiser	Ing.		82	důchodce	Březová	47	47	0	M
4103	560294	1	6	901	12	Jaromír	Macůrek			41	vedoucí údržby	Březová	99	80	0	M
4103	560294	1	1	7	13	Iveta	Trefilová			32	pokladní	Březová	99	7	0	F
4103	560294	1	2	5	13	Nicole	Krauzová			38	jednatel společnosti	Kamenice	99	5	0	F
4103	560294	1	4	53	13	Jiří	Královec			46	autodopravce	Březová	53	53	0	M
4103	560294	1	5	47	13	Jan	Walter			53	zedník	Březová	47	47	0	M
4103	560294	1	6	901	13	Dana	Zensová			45	bankovní poradce	Rudolec	99	80	0	F
4103	560294	1	1	7	14	Jiří	Mašek	Ing.	CSc.	53	lesní technik	Březová	99	7	0	M
4103	560294	1	2	5	14	Hana	Drenková			58	důchodkyně	Rudolec	99	5	0	F
4103	560294	1	4	53	14	Pavel	Peterka			54	elektrikář	Březová	99	53	0	M
4103	560294	1	5	47	14	Miroslav	Hrančík			74	důchodce	Březová	47	47	0	M
4103	560294	1	6	901	14	Jan	Vartáš			40	údržbář	Březová	99	80	0	M
4103	560294	1	1	7	15	Josef	Düringer			25	vedoucí dopravy	Březová	99	7	0	M
4103	560294	1	2	5	15	Petr	Janda			47	chemik operátor	Březová	99	5	0	M
4103	560294	1	4	53	15	Petr	Fazekaš	Ing.		52	technik	Březová	99	53	0	M
4103	560294	1	5	47	15	Rudolf	Šťovíček			74	důchodce	Březová	47	47	0	M
4103	560294	1	6	901	15	Petr	Nový			28	technik	Březová	99	80	0	M
