OKRES	KODZASTUP	COBVODU	POR_STR_HL	OSTRANA	PORCISLO	JMENO	PRIJMENI	POHLAVI	TITULPRED	TITULZA	VEK	POVOLANI	BYDLISTEN	PSTRANA	NSTRANA	PLATNOST
7105	540234	1	1	901	1	Vladimír	Velický	M	Ing.		45	obchodní manažer	Lukavice	99	80	0
7105	540234	1	1	901	2	Jaroslav	Fričer	M			49	energetik	Lukavice	99	80	0
7105	540234	1	1	901	3	Jiří	Hampl	M			48	obráběč kovů	Lukavice	1	80	0
7105	540234	1	1	901	4	Kateřina	Obšilová	F			36	učitelka MŠ	Slavoňov	99	80	0
7105	540234	1	1	901	5	Eva	Vysoudilová	F			46	vychovatelka	Lukavice	99	80	0
7105	540234	1	1	901	6	Vladimír	Doubrava	M			40	OSVČ	Vlachov	99	80	0
7105	540234	1	1	901	7	Lenka	Vachutková	F			41	supervizor  CC	Lukavice	99	80	0
7105	540234	1	1	901	8	Petra	Smičková	F			36	prodavačka	Vlachov	99	80	0
7105	540234	1	1	901	9	Petr	Odstrčil	M			41	agronom	Lukavice	99	80	0
7105	540234	1	1	901	10	Miroslava	Krausová	F			33	úřednice	Slavoňov	99	80	0
7105	540234	1	1	901	11	Luděk	Linhart	M			33	dělník	Lukavice	99	80	0
7105	540234	1	1	901	12	Josef	Bezděk	M			37	mistr provozu	Lukavice	99	80	0
7105	540234	1	1	901	13	Ludmila	Volfová	F			45	číšnice	Lukavice	99	80	0
7105	540234	1	1	901	14	Václav	Kratochvíl	M	Ing.		42	technik	Lukavice	99	80	0
7105	540234	1	1	901	15	Markéta	Chmelařová	F			33	zdravotní sestra	Lukavice	99	80	0
7105	540234	1	2	801	1	Kateřina	Vlčková	F			23	zdravotní sestra	Slavoňov	99	80	0
7105	540234	1	3	902	1	Jan	Hajtmar	M			59	vedoucí učitel odbor. výcviku	Lukavice	99	80	0
7105	540234	1	3	902	2	Milada	Žváčková	F			53	ekonom závodu služeb	Lukavice	99	80	0
7105	540234	1	3	902	3	Václav	Navrátil	M			66	starosta obce	Lukavice - Slavoňov	99	80	0
7105	540234	1	3	902	4	Pavel	Chmelař	M			53	technik přípravy výroby	Lukavice - Vlachov	99	80	0
7105	540234	1	3	902	5	Jitka	Tillová	F			56	ekonom	Lukavice	99	80	0
7105	540234	1	3	902	6	Josef	Chmelař	M			58	zámečník	Lukavice	99	80	0
7105	540234	1	3	902	7	Dagmar	Feitová	F			55	ošetřovatelka prasat	Lukavice	99	80	0
7105	540234	1	3	902	8	Vladimír	Holátko	M			59	mostní technik	Lukavice - Vlachov	99	80	0
7105	540234	1	3	902	9	Jana	Šebestová	F			43	dělnice	Lukavice - Slavoňov	99	80	0
7105	540234	1	3	902	10	Patrik	Bartoš	M	Ing.		36	referent odboru	Lukavice	99	80	0
7105	540234	1	3	902	11	Miloslav	Olejník	M			69	důchodce	Lukavice	99	80	0
7105	540234	1	3	902	12	David	Roller	M			31	obchodní manažer	Lukavice	99	80	0
7105	540234	1	3	902	13	Roman	Šafář	M			20	dělník	Lukavice	99	80	0
7105	540234	1	3	902	14	Jan	Paprsek	M			64	důchodce	Lukavice - Slavoňov	99	80	0
7105	540234	1	3	902	15	Jiří	Pur	M			54	dělník	Lukavice	99	80	0
