OKRES	KODZASTUP	COBVODU	POR_STR_HL	OSTRANA	PORCISLO	JMENO	PRIJMENI	POHLAVI	TITULPRED	TITULZA	VEK	POVOLANI	BYDLISTEN	PSTRANA	NSTRANA	PLATNOST
5303	578258	1	1	824	1	Jiří	Novotný	M			47	OSVČ	Korouhev	99	80	0
5303	578258	1	2	801	1	Ladislav	Filipi	M	Mgr.		27	jednatel stavební firmy	Korouhev	99	80	0
5303	578258	1	3	823	1	Radek	Novotný	M			25	přípravář	Korouhev	99	80	0
5303	578258	1	4	802	1	Milan	Cacek	M			29	řidič - obchodní zástupce	Korouhev	99	80	0
5303	578258	1	5	822	1	Daniel	Pravda	M			32	OSVČ, hospodský	Korouhev	99	80	0
5303	578258	1	6	803	1	Radmila	Lipenská	F			48	administrativní pracovník	Korouhev	99	80	0
5303	578258	1	7	821	1	Jana	Machová	F			27	administrativní pracovnice	Korouhev	99	80	0
5303	578258	1	8	804	1	Dita	Dittrichová	F			22	studentka	Korouhev	99	80	0
5303	578258	1	9	820	1	Zdeněk	Suma	M			23	svářeč	Korouhev	99	80	0
5303	578258	1	10	805	1	Roman	Michl	M			27	nástrojař	Korouhev	99	80	0
5303	578258	1	11	819	1	Justin	Soukal	M			33	OSVČ	Korouhev	99	80	0
5303	578258	1	12	806	1	Pavel	Sion	M			30	nástrojař	Korouhev	99	80	0
5303	578258	1	13	818	1	Miroslav	Přívětivý	M			40	mistr údržby forem	Korouhev - Lačnov	99	80	0
5303	578258	1	14	807	1	Veronika	Jílková	F	Mgr.		32	na mateřské dovolené	Korouhev	99	80	0
5303	578258	1	15	817	1	Marie	Petrásová	F			62	důchodce	Korouhev	99	80	0
5303	578258	1	16	808	1	Petr	Vondrovic	M			54	technik	Korouhev	99	80	0
5303	578258	1	17	816	1	Milan	Novotný	M			59	technik	Korouhev	99	80	0
5303	578258	1	18	809	1	Jiří	Procházka	M			34	referent kvality	Korouhev	99	80	0
5303	578258	1	19	815	1	Aleš	Procházka	M			40	mistr vývojové dílny	Korouhev	99	80	0
5303	578258	1	20	810	1	Milan	Štěpánek	M			49	opravář zemědělských strojů	Korouhev	99	80	0
5303	578258	1	21	814	1	Martina	Válková	F			40	ekonomka	Korouhev	99	80	0
5303	578258	1	22	811	1	Markéta	Kučerová	F			25	učitelka MŠ	Korouhev	99	80	0
5303	578258	1	23	813	1	Marie	Cacková	F		DiS.	27	mateřská dovolená	Korouhev	99	80	0
5303	578258	1	24	812	1	Pavel	Petrás	M			33	obchodní zástupce	Korouhev	99	80	0
