OKRES	KODZASTUP	COBVODU	POR_STR_HL	OSTRANA	PORCISLO	JMENO	PRIJMENI	POHLAVI	TITULPRED	TITULZA	VEK	POVOLANI	BYDLISTEN	PSTRANA	NSTRANA	PLATNOST
3107	552585	1	1	813	1	Václav	Daněk	M			45	řidič	Košice	99	80	0
3107	552585	1	2	803	1	Jan	Pospíšil	M			39	OSVČ	Košice	99	80	0
3107	552585	1	3	812	1	Josef	Staněk	M			59	starosta	Košice	99	80	0
3107	552585	1	4	804	1	Roman	Valek	M			42	OSVČ	Košice	99	80	0
3107	552585	1	5	809	1	Václav	Čamra	M			43	údržbář	Košice	99	80	0
3107	552585	1	6	807	1	Jan	Boháč	M			60	elektromontér	Doubí	99	80	0
3107	552585	1	7	802	1	Milan	Kubů	M			48	OSVČ	Košice	99	80	0
3107	552585	1	8	811	1	Josef	Daněk	M			39	řidič	Košice	99	80	0
3107	552585	1	9	810	1	Jan	Boháč	M			40	OSVČ	Košice	99	80	0
3107	552585	1	10	808	1	Jaromír	Černý	M			47	technik	Košice	99	80	0
3107	552585	1	11	801	1	Jaromír	Míka	M			33	mistr	Košice	99	80	0
3107	552585	1	12	805	1	Václav	Kornherr	M		ml.	32	instalatér	Košice	99	80	0
3107	552585	1	13	806	1	Jan	Boháč	M			47	dělník	Doubí	99	80	0
