OKRES	KODZASTUP	COBVODU	POR_STR_HL	OSTRANA	PORCISLO	JMENO	PRIJMENI	TITULPRED	TITULZA	VEK	POVOLANI	BYDLISTEN	PSTRANA	NSTRANA	PLATNOST	POHLAVI
3107	553131	1	1	7	1	Jaroslav	Linhart	PharmDr.		49	ředitel	Soběslav I	7	7	0	M
3107	553131	1	2	47	1	František	Dukát			61	OSVČ	Soběslav II	99	47	0	M
3107	553131	1	3	129	1	Věra	Hanzalová			52	úřednice	Soběslav III	99	129	0	F
3107	553131	1	4	53	1	Jindřich	Bláha	Ing.		51	starosta města	Soběslav III	53	53	0	M
3107	553131	1	5	355	1	Jan	Chabr	MUDr.		70	lékař	Soběslav II	99	1	0	M
3107	553131	1	6	901	1	Michal	Kukla			44	vlakvedoucí ČD	Soběslav II	99	80	0	M
3107	553131	1	1	7	2	Petr	Pokorný	Ing.		52	podnikatel v realitách	Soběslav III	99	7	0	M
3107	553131	1	2	47	2	Růžena	Domová			56	OSVČ	Soběslav III	47	47	0	F
3107	553131	1	3	129	2	Petr	Lintner	Mgr.		44	učitel	Soběslav III	99	129	0	M
3107	553131	1	4	53	2	Jiří	Zaviačič	Ing.		54	učitel	Soběslav III	53	53	0	M
3107	553131	1	5	355	2	Ladislav	Bleha			69	důchodce	Soběslav II	99	1	0	M
3107	553131	1	6	901	2	Jana	Princová			48	učitel OV	Soběslav III	99	80	0	F
3107	553131	1	1	7	3	Vladimír	Líkař			54	projektant	Soběslav III	7	7	0	M
3107	553131	1	2	47	3	Taťána	Jirousová	MUDr.		56	soukromá lékařka	Soběslav I	47	47	0	F
3107	553131	1	3	129	3	Petr	Valeš	Mgr.		38	ředitel kulturního domu	Soběslav I	99	129	0	M
3107	553131	1	4	53	3	Jaroslav	Koldan	Mgr.		61	ředitel ZŠ	Soběslav I	99	53	0	M
3107	553131	1	5	355	3	Tomáš	Šena		dipl.technik	36	projektant	Soběslav III	99	1	0	M
3107	553131	1	6	901	3	Martin	Toman			32	invalidní důchodce	Soběslav I	99	80	0	M
3107	553131	1	1	7	4	Kamil	Modl			65	důchodce	Soběslav III	99	7	0	M
3107	553131	1	2	47	4	Růžena	Kastnerová			61	důchodce	Soběslav II	99	47	0	F
3107	553131	1	3	129	4	Ludmila	Zbytovská			54	knihkupkyně	Soběslav III	99	129	0	F
3107	553131	1	4	53	4	Josef	Pour			70	geodet	Soběslav II	99	53	0	M
3107	553131	1	5	355	4	Michal	Srnec			42	oční optik	Soběslav II	99	80	0	M
3107	553131	1	6	901	4	Dana	Pěčková	Bc.	DiS.	32	OSVČ	Soběslav III	99	80	0	F
3107	553131	1	1	7	5	Vladimír	Drachovský	Mgr.		49	učitel	Soběslav III	99	7	0	M
3107	553131	1	2	47	5	Jan	Pehe			66	důchodce	Soběslav III	47	47	0	M
3107	553131	1	3	129	5	Zdeněk	Vránek			62	místostarosta	Soběslav  III	99	129	0	M
3107	553131	1	4	53	5	Lubomír	Kříž	MUDr.		54	lékař	Soběslav III	99	53	0	M
3107	553131	1	5	355	5	Eva	Výborná	Ing.		52	chemická analytička	Soběslav I	99	1	0	F
3107	553131	1	6	901	5	Dušan	Bříza			38	skladník	Soběslav I	99	80	0	M
3107	553131	1	1	7	6	Jaroslava	Blažková			58	vedoucí pečovat.služby	Soběslav II	99	7	0	F
3107	553131	1	2	47	6	Jan	Hronovský	JUDr.		68	důchodce	Soběslav II	47	47	0	M
3107	553131	1	3	129	6	Pavel	Lintner	Mgr.		42	učitel	Soběslav  III	99	129	0	M
3107	553131	1	4	53	6	Alena	Krejčová	Mgr.		48	ředitelka MŠ	Soběslav III	99	53	0	F
3107	553131	1	5	355	6	Vladimír	Dolejš			42	elekromechanik	Soběslav III	99	80	0	M
3107	553131	1	6	901	6	Anna	Černá			43	administrativní pracovnice	Soběslav III	99	80	0	F
3107	553131	1	1	7	7	Ilona	Klapková			48	systémový specialista	Soběslav II	99	7	0	F
3107	553131	1	2	47	7	Zdeněk	Novotný			63	důchodce	Soběslav II	99	47	0	M
3107	553131	1	3	129	7	Radek	Fiala	Mgr.		42	učitel	Soběslav II	99	129	0	M
3107	553131	1	4	53	7	Miloš	Šimek			51	chemik	Soběslav III	53	53	0	M
3107	553131	1	5	355	7	Jan	Podlaha	Mgr.		35	učitel ZŠ	Soběslav I	99	1	0	M
3107	553131	1	6	901	7	Petr	Fogl			36	OSVČ	Soběslav III	99	80	0	M
3107	553131	1	1	7	8	Marcela	Hánová			46	zdravotní sestra	Soběslav III	7	7	0	F
3107	553131	1	2	47	8	Jiří	Šustr			62	důchodce	Soběslav II	99	47	0	M
3107	553131	1	3	129	8	Miroslav	Pantoflíček	Ing.		49	projektant	Soběslav III	99	129	0	M
3107	553131	1	4	53	8	Luděk	Smetana	Ing.		55	ředitel SOU	Soběslav III	99	53	0	M
3107	553131	1	5	355	8	Irena	Molíková	Mgr.		49	ředitelka ZUŠ	Soběslav III	99	1	0	F
3107	553131	1	6	901	8	Hana	Mašková			39	bankovní poradce	Soběslav III	99	80	0	F
3107	553131	1	1	7	9	Jiří	Stejskal	doc.		78	akademický malíř	Soběslav II	99	7	0	M
3107	553131	1	2	47	9	Jana	Čížková			68	důchodce	Soběslav II	99	47	0	F
3107	553131	1	3	129	9	Jaroslav	Reichel	MVDr.		61	veterinární lékař	Soběslav III	99	129	0	M
3107	553131	1	4	53	9	Miroslav	Dubský			62	technik	Soběslav II	53	53	0	M
3107	553131	1	5	355	9	Miroslav	Čížek	Ing.		65	agronom	Soběslav III	99	80	0	M
3107	553131	1	6	901	9	Petr	Duda			21	svářeč	Soběslav III	99	80	0	M
3107	553131	1	1	7	10	Jaroslav	Šíma			59	invalidní důchodce	Soběslav II	7	7	0	M
3107	553131	1	2	47	10	Milan	Sedliak			63	důchodce	Soběslav III	99	47	0	M
3107	553131	1	3	129	10	Vladimír	Hanzal			57	vedoucí TVZ	Soběslav III	99	129	0	M
3107	553131	1	4	53	10	Jana	Hlasivcová	MUDr.		50	lékařka	Soběslav III	99	53	0	F
3107	553131	1	5	355	10	Daniela	Klímová	Mgr.		47	speciální pedagožka	Soběslav III	99	80	0	F
3107	553131	1	6	901	10	Simona	Nováková			35	pojišťovací poradce	Soběslav III	99	80	0	F
3107	553131	1	1	7	11	Hana	Pokorná			48	učitelka	Soběslav III	99	7	0	F
3107	553131	1	2	47	11	Julie	Špačková			58	důchodce	Soběslav III	99	47	0	F
3107	553131	1	3	129	11	Renata	Gargulová			34	koordinátorka dobrovolníků	Soběslav II	99	129	0	F
3107	553131	1	4	53	11	Zdeněk	Jindra			56	podnikatel	Soběslav III	99	53	0	M
3107	553131	1	5	355	11	Pavel	Vaněk	Mgr.		29	učitel ZUŠ	Soběslav III	99	1	0	M
3107	553131	1	6	901	11	Miroslav	Kobliška			19	student	Soběslav III	99	80	0	M
3107	553131	1	1	7	12	Jana	Bavlovičová			46	rytec kovů	Soběslav III	7	7	0	F
3107	553131	1	2	47	12	Jaroslav	Cihla			63	důchodce	Soběslav II	47	47	0	M
3107	553131	1	3	129	12	Jiří	Kubeš			40	soukromý podnikatel	Soběslav III	99	129	0	M
3107	553131	1	4	53	12	Ivana	Bernatová	Mgr.		44	instruktorka aerobiku	Soběslav III	99	53	0	F
3107	553131	1	5	355	12	Petr	Vyhlídka			43	informatik	Soběslav III	99	80	0	M
3107	553131	1	6	901	12	Božena	Bromová			53	vedoucí skladu	Soběslav III	99	80	0	F
