OKRES	KODZASTUP	COBVODU	POR_STR_HL	OSTRANA	PORCISLO	JMENO	PRIJMENI	POHLAVI	TITULPRED	TITULZA	VEK	POVOLANI	BYDLISTEN	PSTRANA	NSTRANA	PLATNOST
5304	580058	1	1	801	1	Milan	Šalda	M	Ing.		39	konstruktér	České Libchavy	99	80	0
5304	580058	1	2	806	1	Aleš	Kubíček	M	Ing.		57	reklamační technik fy Stavona	České Libchavy	99	80	0
5304	580058	1	3	802	1	Martin	Motyčka	M			34	dělník, vodoinstalatér	České Libchavy	99	80	0
5304	580058	1	4	809	1	Jan	Krčmář	M			35	frézař	České Libchavy	99	80	0
5304	580058	1	5	805	1	Jaroslava	Kacálková	F			38	vedoucí prodejny	České Libchavy	99	80	0
5304	580058	1	6	813	1	Petr	Tomáš	M			32	kovodělník	České Libchavy	99	80	0
5304	580058	1	7	816	1	Jan	Myšák	M			29	OSVČ	České Libchavy	99	80	0
5304	580058	1	8	810	1	Vladimír	Stárek	M			45	truhlář	České Libchavy	99	80	0
5304	580058	1	9	807	1	Soňa	Applová	F	Mgr.		25	asistentka pedagoga (v MŠ)	České Libchavy	99	80	0
5304	580058	1	10	811	1	Zdeněk	Kacálek	M			30	dispečer ochrany závodu	České Libchavy	99	80	0
5304	580058	1	11	814	1	František	Knapovský	M			40	hasič	České Libchavy	99	80	0
5304	580058	1	12	812	1	Ludvík	Vinzens	M			57	jednatel firmy	České Libchavy	99	80	0
5304	580058	1	13	815	1	Ivo	Stárek	M	Ing.		30	konstruktér	České Libchavy	99	80	0
5304	580058	1	14	808	1	Petr	Lux	M			34	voják z povolání	České Libchavy	99	80	0
5304	580058	1	15	804	1	Pavel	Kučera	M			27	technolog strojní výroby	České Libchavy	99	80	0
5304	580058	1	16	803	1	Jan	Ralik	M			30	automechanik	České Libchavy	99	80	0
