OKRES	KODZASTUP	COBVODU	POR_STR_HL	OSTRANA	PORCISLO	JMENO	PRIJMENI	POHLAVI	TITULPRED	TITULZA	VEK	POVOLANI	BYDLISTEN	PSTRANA	NSTRANA	PLATNOST
5304	555240	1	1	902	1	Libor	Křepela	M			46	odborně technický poradce	Semanín	53	80	0
5304	555240	1	1	902	2	Jana	Herynková	F			44	učitelka v mateřské škole	Semanín	99	80	0
5304	555240	1	1	902	3	Marie	Chalupová	F	JUDr.		58	advokátka	Semanín	99	80	0
5304	555240	1	1	902	4	Josef	Melša	M	Ing.		28	vývojový konstruktér	Semanín	99	80	0
5304	555240	1	1	902	5	Vladimír	Herynek	M			38	údržbář	Semanín	99	80	0
5304	555240	1	1	902	6	Radek	Holubář	M	Ing.		28	samostatný konstruktér	Semanín	99	80	0
5304	555240	1	1	902	7	Miroslav	Kovář	M			46	referent logistiky, řidič	Semanín	99	80	0
5304	555240	1	1	902	8	Petr	Jandera	M			49	OSVČ	Semanín	99	80	0
5304	555240	1	2	47	1	Čestmír	Horáček	M			57	agronom	Semanín	47	47	0
5304	555240	1	3	901	1	Jan	Smola	M			44	starosta	Semanín	99	80	0
5304	555240	1	3	901	2	Miroslav	Báchor	M	Mgr.		32	učitel	Semanín	99	80	0
5304	555240	1	3	901	3	Pavel	Hartman	M			34	povozník	Semanín	99	80	0
5304	555240	1	3	901	4	Bohumír	Janisch	M			35	kontrolor jakosti	Semanín	99	80	0
5304	555240	1	3	901	5	Ladislav	Stráník	M			39	hasič	Semanín	99	80	0
5304	555240	1	3	901	6	Jan	Smola	M			67	důchodce	Semanín	99	80	0
5304	555240	1	3	901	7	Zdeňka	Kozáková	F			76	důchodce	Semanín	7	80	0
5304	555240	1	3	901	8	Anna	Smyčková	F			34	podnikatelka	Semanín	99	80	0
