OKRES	KODZASTUP	COBVODU	POR_STR_HL	OSTRANA	PORCISLO	JMENO	PRIJMENI	POHLAVI	TITULPRED	TITULZA	VEK	POVOLANI	BYDLISTEN	PSTRANA	NSTRANA	PLATNOST
6206	593192	1	1	7	1	Vlastimil	Orálek	M			56	jednatel	Krásensko	7	7	0
6206	593192	1	1	7	2	Přemysl	Kalous	M	JUDr.		53	notář	Krásensko	99	7	0
6206	593192	1	1	7	3	Renata	Škrobová	F			39	obchodní asistentka	Krásensko	99	7	0
6206	593192	1	1	7	4	Václav	Pliska	M			54	podnikatel	Krásensko	99	7	0
6206	593192	1	1	7	5	Aneta	Orálková	F	PhDr. Ing.		32	psycholog	Krásensko	99	7	0
6206	593192	1	1	7	6	Ladislav	Král	M			27	technik	Krásensko	99	7	0
6206	593192	1	1	7	7	Hana	Čápková	F			39	vedoucí prodejny	Krásensko	99	7	0
6206	593192	1	1	7	8	Milan	Sehnal	M			36	dělník	Krásensko	99	7	0
6206	593192	1	1	7	9	Jaroslav	Koutný	M			55	technik	Krásensko	99	7	0
6206	593192	1	2	1	1	Hana	Šíblová	F			44	starostka	Krásensko	1	1	0
6206	593192	1	2	1	2	Jaromír	Surák	M			46	technik	Krásensko	99	1	0
6206	593192	1	2	1	3	Marie	Vintrová	F	Mgr.		53	učitelka	Krásensko	99	1	0
6206	593192	1	2	1	4	Michael	Král	M	Bc.		23	student	Krásensko	99	1	0
6206	593192	1	2	1	5	Jaroslav	Štelcl	M			35	autolakýrník	Krásensko	99	1	0
6206	593192	1	2	1	6	Ivo	Němec	M			44	skladník	Krásensko	99	1	0
6206	593192	1	2	1	7	Roman	Kolář	M			44	soukromý podnikatel	Krásensko	99	1	0
6206	593192	1	2	1	8	Eva	Voráčová	F			41	úřednice	Krásensko	99	1	0
6206	593192	1	2	1	9	Václav	Sotolář	M			41	strojní zámečník	Krásensko	99	1	0
6206	593192	1	3	901	1	Oldřich	Odehnal	M			67	důchodce	Krásensko	99	80	0
6206	593192	1	3	901	2	Miroslav	Gryc	M			37	lesní technik	Krásensko	99	80	0
6206	593192	1	3	901	3	Oldřich	Odehnal	M			38	technik	Krásensko	99	80	0
6206	593192	1	3	901	4	Lubomír	Richter	M	Ing.		45	technik	Krásensko	99	80	0
6206	593192	1	3	901	5	Radek	Šebela	M			36	soukromý podnikatel	Krásensko	99	80	0
6206	593192	1	3	901	6	Věra	Pernicová	F			33	úřednice	Krásensko	99	80	0
6206	593192	1	3	901	7	Rostislav	Hašek	M			42	soukromý podnikatel	Krásensko	99	80	0
6206	593192	1	3	901	8	Karel	Kopecký	M			39	soukromý podnikatel	Krásensko	99	80	0
6206	593192	1	3	901	9	Radomír	Vágner	M			39	elektrikář	Krásensko	99	80	0
