OKRES	KODZASTUP	COBVODU	POR_STR_HL	OSTRANA	PORCISLO	JMENO	PRIJMENI	POHLAVI	TITULPRED	TITULZA	VEK	POVOLANI	BYDLISTEN	PSTRANA	NSTRANA	PLATNOST
6207	593893	1	1	808	1	Jiří	Veselý	M			58	opravář zemědělských strojů	Černín	99	80	0
6207	593893	1	2	809	1	Vladimír	Hájek	M	Ing.		49	podnikatel	Černín	99	80	0
6207	593893	1	3	802	1	Renata	Hádková	F			42	pracovník sociální péče	Černín	99	80	0
6207	593893	1	4	806	1	Josef	Kligl	M			64	důchodce	Černín	99	80	0
6207	593893	1	5	801	1	Jiří	Diviš	M			64	důchodce	Černín	99	80	0
6207	593893	1	6	805	1	Bohuslav	Biegler	M	Ing.		55	inženýr železniční dopravy	Černín	99	80	0
6207	593893	1	7	810	1	Josef	Pelán	M			55	provozní elektromontér	Černín	99	80	0
6207	593893	1	8	803	1	Milan	Procházka	M			57	automechanik	Černín	99	80	0
6207	593893	1	9	804	1	Lumír	Plíšek	M			40	řidič	Černín	99	80	0
6207	593893	1	10	807	1	Michal	Mazálek	M			30	dělník	Černín	99	80	0
