OKRES	KODZASTUP	COBVODU	POR_STR_HL	OSTRANA	PORCISLO	JMENO	PRIJMENI	TITULPRED	TITULZA	VEK	POVOLANI	BYDLISTEN	PSTRANA	NSTRANA	PLATNOST	POHLAVI
6207	594440	1	1	901	1	Evžen	Brtník			34	vedoucí provozu	Milíčovice	99	80	0	M
6207	594440	1	2	7	1	Jiří	Vida			55	řidič	Milíčovice	99	7	0	M
6207	594440	1	1	901	2	Eduard	Czaker			73	důchodce	Milíčovice	99	80	0	M
6207	594440	1	2	7	2	Ladislav	Fukal			54	truhlář	Milíčovice	99	7	0	M
6207	594440	1	1	901	3	Jiří	Švéda			34	vedoucí provozu	Milíčovice	99	80	0	M
6207	594440	1	2	7	3	Lubomír	Teplý			58	podnikatel	Milíčovice	99	7	0	M
6207	594440	1	1	901	4	Petr	Veselý			32	řidič	Milíčovice	99	80	0	M
6207	594440	1	2	7	4	Jiří	Habr	Ing.		30	vedoucí technologie	Milíčovice	99	7	0	M
6207	594440	1	1	901	5	Ľubomír	Belák			45	projektant	Milíčovice	99	80	0	M
6207	594440	1	2	7	5	Jiří	Lahodný			36	obráběč	Milíčovice	99	7	0	M
6207	594440	1	1	901	6	Tomáš	Pavka			38	technik informačních tech.	Milíčovice	99	80	0	M
6207	594440	1	2	7	6	Pavel	Švarc			34	řidič	Milíčovice	99	7	0	M
6207	594440	1	1	901	7	Andrea	Uhrová			36	operátorka	Milíčovice	99	80	0	F
6207	594440	1	2	7	7	Karel	Kleban			45	stavební dělník	Milíčovice	99	7	0	M
6207	594440	1	1	901	8	Pavel	Černý			23	servisní poradce	Milíčovice	99	80	0	M
6207	594440	1	2	7	8	František	Kašpar			56	dělník	Milíčovice	99	7	0	M
6207	594440	1	1	901	9	Hana	Čurdová			32	fakturantka	Milíčovice	99	80	0	F
6207	594440	1	2	7	9	Andrea	Výskotová			30	mechanička	Milíčovice	99	7	0	F
