OKRES	KODZASTUP	COBVODU	POR_STR_HL	OSTRANA	PORCISLO	JMENO	PRIJMENI	POHLAVI	TITULPRED	TITULZA	VEK	POVOLANI	BYDLISTEN	PSTRANA	NSTRANA	PLATNOST
2101	529842	1	1	902	1	František	Nerad	M			42	revírník	Jankov	99	80	0
2101	529842	1	1	902	2	Eliška	Melicharová	F	Ing.		31	manažerka mikroregionu	Jankov	99	80	0
2101	529842	1	1	902	3	Jan	Fialka	M	Ing.		31	referent HIM	Jankov	99	80	0
2101	529842	1	1	902	4	Michaela	Žáková	F			29	asistentka mikroregionu	Jankov	99	80	0
2101	529842	1	1	902	5	Ondřej	Kratochvíl	M			26	obchodník	Jankov	99	80	0
2101	529842	1	2	47	1	Jiří	Svatoň	M			67	důchodce	Čestín	47	47	0
2101	529842	1	2	47	2	Pavel	Šimon	M			61	dělník	Bedřichovice	99	47	0
2101	529842	1	2	47	3	Luděk	Švestka	M			36	podnikatel	Pičín	99	47	0
2101	529842	1	2	47	4	František	Slabý	M			41	zootechnik	Pičín	99	47	0
2101	529842	1	2	47	5	Zdeněk	Sedláček	M			65	důchodce	Jankov	99	47	0
2101	529842	1	2	47	6	Milan	Lukeš	M			50	pracovník přímé péče	Odlochovice	99	47	0
2101	529842	1	2	47	7	Antonín	Zeman	M			61	skladník	Jankov	99	47	0
2101	529842	1	2	47	8	Jaroslav	Křížek	M			53	řidič	Jankov	99	47	0
2101	529842	1	2	47	9	Josef	Kollmann	M			69	důchodce	Otradovice	99	47	0
2101	529842	1	2	47	10	Jaroslava	Gašparová	F			60	úřednice	Jankov	99	47	0
2101	529842	1	2	47	11	Jitka	Slabá	F			64	důchodce	Pičín	99	47	0
2101	529842	1	2	47	12	Marie	Vrtišková	F			66	důchodce	Pičín	99	47	0
2101	529842	1	3	901	1	Stanislav	Balík	M	Bc.		44	státní zaměstnanec	Jankov	99	80	0
2101	529842	1	3	901	2	Jiří	Vosátka	M			52	dispečer	Jankov	99	80	0
2101	529842	1	3	901	3	Radek	Vosátka	M			40	řidič	Jankov	99	80	0
2101	529842	1	3	901	4	Petr	Moudrý	M			36	truhlář	Jankov	99	80	0
2101	529842	1	3	901	5	Pavel	Fáček	M			38	OSVČ	Jankov	99	80	0
2101	529842	1	3	901	6	Josef	Adam	M			38	obchodní zástupce	Jankov	99	80	0
2101	529842	1	3	901	7	Jiří	Němeček	M			50	řidič	Jankov	99	80	0
2101	529842	1	3	901	8	Martina	Jeřábková	F			46	radiologická asistentka	Jankov	99	80	0
2101	529842	1	3	901	9	Václav	Červ	M			39	invalidní důchodce	Jankovská Lhota	99	80	0
2101	529842	1	3	901	10	Marcela	Čermáková	F	Bc.		44	sociální pracovnice	Jankov	99	80	0
2101	529842	1	4	721	1	Jitka	Jonsztová	F	Bc.		49	ekonomka	Jankov	721	721	0
2101	529842	1	4	721	2	Pavel	Halaška	M			49	hasič	Jankov	99	721	0
2101	529842	1	4	721	3	Jaroslav	Slabý	M			48	podnikatel	Jankov	99	721	0
2101	529842	1	4	721	4	Čestmír	Dittrich	M	Ing.		51	podnikatel	Jankov	99	721	0
2101	529842	1	4	721	5	Miloslav	Maceška	M			55	zootechnik	Jankov	99	721	0
2101	529842	1	4	721	6	Ivana	Žihlová	F			51	uklízečka	Jankov	99	721	0
2101	529842	1	4	721	7	Josef	Škramlík	M			53	údržbář	Jankov	99	721	0
2101	529842	1	4	721	8	Marcela	Křížková	F			49	účetní	Jankov	99	721	0
2101	529842	1	4	721	9	Jaroslav	Kabíček	M	Ing.		55	podnikatel	Jankov	99	721	0
2101	529842	1	4	721	10	Iva	Chmůrová	F			48	učitelka	Jankov	99	721	0
2101	529842	1	4	721	11	Jiří	Fáček	M			63	podnikatel - důchodce	Jankov	99	721	0
2101	529842	1	4	721	12	Radek	Maceška	M	Ing.		29	obchodní zástupce	Podolí	99	721	0
2101	529842	1	4	721	13	Pavel	Peroutka	M			46	údržbář	Jankov	99	721	0
2101	529842	1	4	721	14	Pavel	Hrubý	M			29	obchodní zástupce	Jankov	99	721	0
2101	529842	1	4	721	15	Martina	Kytýrová	F			37	podnikatelka	Jankov	99	721	0
2101	529842	1	5	1	1	Vladimír	Sochůrek	M			53	technik	Jankovská Lhota	99	1	0
2101	529842	1	5	1	2	Petr	Vrzal	M			53	OSVČ	Pičín	99	1	0
2101	529842	1	5	1	3	Josef	Kocourek	M			62	elektromechanik	Odlochovice	99	1	0
2101	529842	1	5	1	4	Josef	Pěkný	M	Ing.		55	státní zaměstnanec	Odlochovice	99	1	0
2101	529842	1	5	1	5	Josef	Hruška	M			46	OSVČ	Odlochovice	99	1	0
2101	529842	1	5	1	6	Václav	Petran	M			43	hasič	Odlochovice	99	1	0
2101	529842	1	5	1	7	Milan	Krch	M			59	servisní technik	Nosákov	99	1	0
2101	529842	1	5	1	8	Jaromír	Baťka	M			40	OSVČ	Pičín	99	1	0
2101	529842	1	5	1	9	František	Zíka	M			52	opravář	Otradovice	99	1	0
2101	529842	1	5	1	10	Jaroslav	Janouš	M			48	údržbář	Nosákov	99	1	0
2101	529842	1	5	1	11	Miroslav	Lupač	M			41	údržbář	Odlochovice	99	1	0
2101	529842	1	5	1	12	Tomáš	Karas	M	Bc.		29	kontrolor kvality	Jankovská Lhota	99	1	0
2101	529842	1	5	1	13	Richard	Topinka	M			38	řidič	Odlochovice	99	1	0
2101	529842	1	5	1	14	Václav	Zdvihal	M			62	soukromý zemědělec	Pičín	99	1	0
2101	529842	1	5	1	15	Jiří	Petran	M			40	opravář	Odlochovice	99	1	0
