OKRES	KODZASTUP	COBVODU	POR_STR_HL	OSTRANA	PORCISLO	JMENO	PRIJMENI	TITULPRED	TITULZA	VEK	POVOLANI	BYDLISTEN	PSTRANA	NSTRANA	PLATNOST	POHLAVI
6204	584568	1	1	902	1	Jaroslav	Tesák	JUDr.	Ph.D., LL. M.	45	advokát	Kobylí	99	80	0	M
6204	584568	1	2	1	1	Dagmar	Kovaříková	Ing.		55	starostka	Kobylí	99	1	0	F
6204	584568	1	3	47	1	Jiří	Možný	Ing. Mgr.		43	státní zaměstnanec	Kobylí	99	47	0	M
6204	584568	1	4	901	1	Radim	Herůfek	MUDr.		31	lékař	Kobylí	99	80	0	M
6204	584568	1	1	902	2	Vlastimil	Janda	Mgr.		53	ředitel základní školy	Kobylí	99	80	0	M
6204	584568	1	2	1	2	Libor	Křivka	Ing.		49	projektant	Kobylí	99	1	0	M
6204	584568	1	3	47	2	Jan	Barvík			48	živnostník	Kobylí	99	47	0	M
6204	584568	1	4	901	2	Antonín	Kovářík	Ing.		38	jednatel stavební firmy	Kobylí	99	80	0	M
6204	584568	1	1	902	3	Libor	Loveček	Ing.		45	podnikatel	Kobylí	99	80	0	M
6204	584568	1	2	1	3	Roman	Kaszper	Mgr. Bc.		35	obchodní referent	Kobylí	99	1	0	M
6204	584568	1	3	47	3	Květoslav	Varmuža			50	vedoucí výroby	Kobylí	99	47	0	M
6204	584568	1	4	901	3	Michal	Řačák	Mgr.		35	manažer	Kobylí	99	80	0	M
6204	584568	1	1	902	4	Pavel	Kotík	Mgr.		39	geolog	Kobylí	99	80	0	M
6204	584568	1	2	1	4	Radoslava	Obadalová			58	ekonom	Kobylí	99	1	0	F
6204	584568	1	3	47	4	Roman	Bařina			44	vinař	Kobylí	99	47	0	M
6204	584568	1	4	901	4	Ivo	Kovařík			32	analytik	Kobylí	99	80	0	M
6204	584568	1	1	902	5	Zdeňka	Pálenská	Mgr.		41	učitelka základní školy	Kobylí	99	80	0	F
6204	584568	1	2	1	5	Petr	Brdečko			46	konstruktér	Kobylí	99	1	0	M
6204	584568	1	3	47	5	Rostislav	Rusňák			43	dělník ve výrobě plastových konstrukcí	Kobylí	99	47	0	M
6204	584568	1	4	901	5	Marie	Ondrušová	Mgr.		31	právník	Kobylí	99	80	0	F
6204	584568	1	1	902	6	Blanka	Helešicová	Bc.		38	učitelka mateřské školy	Kobylí	99	80	0	F
6204	584568	1	2	1	6	Jana	Nováková			48	zdravotní sestra	Kobylí	99	1	0	F
6204	584568	1	3	47	6	Vladimír	Čotek			47	el. revizní technik	Kobylí	99	47	0	M
6204	584568	1	4	901	6	Petr	Horáček	Mgr.		34	učitel	Kobylí	99	80	0	M
6204	584568	1	1	902	7	Pavel	Novák			42	senior, technik provozu a údržby	Kobylí	99	80	0	M
6204	584568	1	2	1	7	Ivo	Bukovský			43	soukromý zemědělec	Kobylí	99	1	0	M
6204	584568	1	3	47	7	Josef	Kubík			40	dělník	Kobylí	99	47	0	M
6204	584568	1	4	901	7	Milan	Otáhal			24	student	Kobylí	99	80	0	M
6204	584568	1	1	902	8	Radek	Kovář			43	podnikatel	Kobylí	99	80	0	M
6204	584568	1	2	1	8	Antonín	Bárta			60	vedoucí čističky odpadních vod	Kobylí	99	1	0	M
6204	584568	1	3	47	8	Radek	Vykydal			48	dělník	Kobylí	99	47	0	M
6204	584568	1	4	901	8	Alice	Vajbarová			34	dispečer	Kobylí	99	80	0	F
6204	584568	1	1	902	9	František	Borovička	Ing.		59	projektant	Kobylí	99	80	0	M
6204	584568	1	2	1	9	Pavel	Vajbar			58	jednatel společnosti	Kobylí	99	1	0	M
6204	584568	1	3	47	9	František	Král			64	důchodce	Kobylí	47	47	0	M
6204	584568	1	4	901	9	Lucie	Nováková	Mgr.		36	učitelka	Kobylí	99	80	0	F
6204	584568	1	1	902	10	Peter	Poulík	Ing.		31	manažer provozu datového centra	Kobylí	99	80	0	M
6204	584568	1	2	1	10	Ludmila	Lanžhotská			57	vedoucí domu s pečovatelskou službou	Kobylí	99	1	0	F
6204	584568	1	3	47	10	Marie	Slámová			61	důchodkyně	Kobylí	99	47	0	F
6204	584568	1	4	901	10	Martin	Kunický		DiS.	30	ekologický specialista	Kobylí	99	80	0	M
6204	584568	1	1	902	11	Pavel	Kovář			43	obchodní zástupce	Kobylí	99	80	0	M
6204	584568	1	2	1	11	Jitka	Otáhalová			51	osoba samostatně výdělečně činná	Kobylí	99	1	0	F
6204	584568	1	3	47	11	Ivana	Rusňáková			46	účetní	Kobylí	99	47	0	F
6204	584568	1	4	901	11	Soňa	Čejková	Mgr.		33	laboratorní pracovník	Kobylí	99	80	0	F
6204	584568	1	1	902	12	Jaroslav	Zechmeister			53	stavební technik	Kobylí	99	80	0	M
6204	584568	1	2	1	12	Miroslav	Kunický			56	jednatel společnosti	Kobylí	1	1	0	M
6204	584568	1	3	47	12	Josef	Suský			49	dělník	Kobylí	99	47	0	M
6204	584568	1	4	901	12	Aleš	Brdečko	Ing.		24	elektrotechnik	Kobylí	99	80	0	M
6204	584568	1	1	902	13	Miroslav	Topínka			42	zámečník	Kobylí	99	80	0	M
6204	584568	1	2	1	13	Miroslava	Burešová			45	správce evidence půdy	Kobylí	99	1	0	F
6204	584568	1	3	47	13	Marcela	Čapková			45	živnostník	Kobylí	99	47	0	F
6204	584568	1	4	901	13	Radim	Lůbal			39	vinař	Kobylí	99	80	0	M
6204	584568	1	1	902	14	Zdeněk	Sovadina	Mgr.		48	učitel gymnázia	Kobylí	99	80	0	M
6204	584568	1	2	1	14	Ludmila	Hrabalová			65	důchodkyně	Kobylí	99	1	0	F
6204	584568	1	3	47	14	Zdeněk	Rusňák			62	živnostník	Kobylí	99	47	0	M
6204	584568	1	4	901	14	Miroslav	Svoboda	Ing.		31	projektový manažer	Kobylí	99	80	0	M
6204	584568	1	1	902	15	Zdeněk	Kotek	MUDr.		56	zubní lékař	Kobylí	99	80	0	M
6204	584568	1	2	1	15	Martin	Novák	Ing.		39	marketingový specialista	Kobylí	99	1	0	M
6204	584568	1	3	47	15	Vlastimil	Kovářík			67	důchodce	Kobylí	47	47	0	M
6204	584568	1	4	901	15	Tomáš	Hrabec	Ing.		31	IT systémový administrátor	Kobylí	99	80	0	M
