OKRES	KODZASTUP	COBVODU	POR_STR_HL	OSTRANA	PORCISLO	JMENO	PRIJMENI	POHLAVI	TITULPRED	TITULZA	VEK	POVOLANI	BYDLISTEN	PSTRANA	NSTRANA	PLATNOST
6204	584983	1	1	1	1	Kateřina	Florianová	F	Bc.		32	učitelka mateřské školy	Velké Bílovice	99	1	0
6204	584983	1	1	1	2	Marie	Rumanová	F	Mgr.		33	učitelka základní školy	Velké Bílovice	99	1	0
6204	584983	1	1	1	3	Eva	Pavúčková	F			36	účetní	Velké Bílovice	99	1	0
6204	584983	1	1	1	4	Karel	Rybecký	M			61	místostarosta	Velké Bílovice	99	1	0
6204	584983	1	1	1	5	Vendula	Teturová	F	Ing.		30	ředitelka okresní hospodářské komory	Velké Bílovice	99	1	0
6204	584983	1	1	1	6	Josef	Kralovič	M	Mgr.		45	učitel základní umělecké školy	Velké Bílovice	99	1	0
6204	584983	1	1	1	7	Olga	Babičová	F			49	podnikatelka	Velké Bílovice	1	1	0
6204	584983	1	1	1	8	Václav	Tetur	M			65	bezpečnostní a požární technik	Velké Bílovice	1	1	0
6204	584983	1	1	1	9	Miroslava	Polachová	F			41	prodavačka	Velké Bílovice	99	1	0
6204	584983	1	1	1	10	Antonín	Zapletal	M			33	elektromechanik	Velké Bílovice	99	1	0
6204	584983	1	1	1	11	Václav	Svoboda	M			52	zámečník	Velké Bílovice	1	1	0
6204	584983	1	1	1	12	Ladislav	Spěvák	M			62	zootechnik	Velké Bílovice	99	1	0
6204	584983	1	1	1	13	Martin	Horký	M			37	historik	Velké Bílovice	99	1	0
6204	584983	1	1	1	14	Markéta	Kachyňová	F	Mgr.		30	sociální pedagog	Velké Bílovice	99	1	0
6204	584983	1	1	1	15	Ludmila	Balounová	F			49	cukrářka	Velké Bílovice	99	1	0
6204	584983	1	2	158	1	Marie	Vlková	F			56	starostka	Velké Bílovice	99	158	0
6204	584983	1	2	158	2	Svatava	Balgová	F	Mgr.		49	ředitelka ZŠ	Velké Bílovice	99	158	0
6204	584983	1	2	158	3	Erik	Jaborník	M			28	prodavač	Velké Bílovice	99	158	0
6204	584983	1	2	158	4	Karel	Osička	M	Ing.	MBA	49	lektor VŠ, osoba samostatně výdělečně činná	Velké Bílovice	99	158	0
6204	584983	1	2	158	5	Lubomír	Maťák	M	Ing.		50	ředitel pobočky banky	Velké Bílovice	99	158	0
6204	584983	1	2	158	6	Jitka	Pfeiferová	F	Mgr.		46	učitelka	Velké Bílovice	99	158	0
6204	584983	1	2	158	7	René	Kachyňa	M	Ing.	MBA	38	ředitel společnosti	Velké Bílovice	99	158	0
6204	584983	1	2	158	8	Lenka	Grofová	F	Ing.		40	ekonom	Velké Bílovice	99	158	0
6204	584983	1	2	158	9	Miroslava	Bařinová	F			43	vedoucí recepce	Velké Bílovice	99	158	0
6204	584983	1	2	158	10	Jitka	Spěváková	F	Ing.		42	ekonom	Velké Bílovice	99	158	0
6204	584983	1	2	158	11	Jiří	Zachovalý	M			53	učitel	Velké Bílovice	99	158	0
6204	584983	1	2	158	12	Václav	Matulík	M			28	houslař	Velké Bílovice	99	158	0
6204	584983	1	2	158	13	Tomáš	Helešic	M			23	disponent	Velké Bílovice	99	158	0
6204	584983	1	2	158	14	Petr	Foret	M			34	podnikatel	Velké Bílovice	99	158	0
6204	584983	1	2	158	15	Antonín	Svoboda	M	Ing.		69	vědecko-výzkumný pracovník	Velké Bílovice	99	158	0
6204	584983	1	3	480	1	Petr	Zemánek	M			45	podnikatel	Velké Bílovice	99	80	0
6204	584983	1	3	480	2	Josef	Skoupil	M	Ing.		51	projektant	Velké Bílovice	99	721	0
6204	584983	1	3	480	3	Ludvík	Osička	M			60	vinař	Velké Bílovice	721	721	0
6204	584983	1	3	480	4	Jan	Zapletal	M	Bc.		31	vinař	Velké Bílovice	99	80	0
6204	584983	1	3	480	5	Radim	Osička	M			42	vinař	Velké Bílovice	99	80	0
6204	584983	1	3	480	6	Vladimír	Kučera	M	Mgr.		49	manažer	Velké Bílovice	99	80	0
6204	584983	1	3	480	7	Roman	Osička	M			29	podnikatel	Velké Bílovice	99	721	0
6204	584983	1	3	480	8	Stanislav	Osička	M	Ing.	MBA	49	podnikatel	Velké Bílovice	99	80	0
6204	584983	1	3	480	9	Libor	Hasala	M			50	skladník	Velké Bílovice	99	80	0
6204	584983	1	3	480	10	Božena	Svobodová	F	Bc.		34	manažerka	Velké Bílovice	99	721	0
6204	584983	1	3	480	11	Jiří	Šipr	M			51	podnikatel	Velké Bílovice	99	80	0
6204	584983	1	3	480	12	Lenka	Skoupilová	F	PaedDr. Bc.		48	daňová poradkyně	Velké Bílovice	99	721	0
6204	584983	1	3	480	13	Josef	Polách	M			40	podnikatel	Velké Bílovice	99	80	0
6204	584983	1	3	480	14	Ivana	Sládková	F	Ing.		53	podnikatelka	Velké Bílovice	99	80	0
6204	584983	1	3	480	15	Leopold	Svoboda	M			50	podnikatel	Velké Bílovice	99	80	0
