OKRES	KODZASTUP	COBVODU	POR_STR_HL	OSTRANA	PORCISLO	JMENO	PRIJMENI	POHLAVI	TITULPRED	TITULZA	VEK	POVOLANI	BYDLISTEN	PSTRANA	NSTRANA	PLATNOST
6203	582824	1	1	47	1	Jiří	Fazor	M			44	invalidní důchodce	Bílovice nad Svitavou	47	47	0
6203	582824	1	1	47	2	Miroslav	Dudík	M			54	knihař	Bílovice nad Svitavou	47	47	0
6203	582824	1	1	47	3	Marie	Košecká	F			87	důchodkyně	Bílovice nad Svitavou	47	47	0
6203	582824	1	1	47	4	Lenka	Andrýsková	F			31	švadlena	Bílovice nad Svitavou	99	47	0
6203	582824	1	1	47	5	Alois	Krejčíř	M			68	důchodce	Bílovice nad Svitavou	47	47	0
6203	582824	1	1	47	6	Ivo	Ondrůj	M	Ing.		54	technik	Bílovice nad Svitavou	47	47	0
6203	582824	1	1	47	7	Ludmila	Fazorová	F			64	důchodkyně	Bílovice nad Svitavou	47	47	0
6203	582824	1	1	47	8	Zdeňka	Dudíková	F			81	důchodkyně	Bílovice nad Svitavou	47	47	0
6203	582824	1	1	47	9	Eva	Ondrůjová	F			81	důchodkyně	Bílovice nad Svitavou	47	47	0
6203	582824	1	1	47	10	Petr	Krakovič	M			70	důchodce	Bílovice nad Svitavou	47	47	0
6203	582824	1	1	47	11	Marie	Lancouchová	F			63	důchodkyně	Bílovice nad Svitavou	99	47	0
6203	582824	1	1	47	12	Stanislav	Tomášek	M			66	důchodce	Bílovice nad Svitavou	47	47	0
6203	582824	1	2	902	1	Taťana	Součková	F	RNDr.		64	pracovnice v turistickém ruchu	Bílovice nad Svitavou	99	80	0
6203	582824	1	2	902	2	Bohuslava	Hamáková	F	Mgr.		53	učitelka základní školy	Bílovice nad Svitavou	99	80	0
6203	582824	1	2	902	3	Petr	Pošmůrný	M			42	dělník	Bílovice nad Svitavou	99	80	0
6203	582824	1	2	902	4	Tomáš	Gabriel	M	MUDr.		45	lékař	Bílovice nad Svitavou	99	80	0
6203	582824	1	2	902	5	Jana	Appelová	F			49	vedoucí kopírovacího centra	Bílovice nad Svitavou	99	80	0
6203	582824	1	2	902	6	Jan	Kala	M			31	státní zaměstnanec	Bílovice nad Svitavou	99	80	0
6203	582824	1	2	902	7	Robert	Mika	M			43	podnikatel	Bílovice nad Svitavou	99	80	0
6203	582824	1	2	902	8	Alena	Zahradníčková	F			38	zdravotní sestra	Bílovice nad Svitavou	99	80	0
6203	582824	1	2	902	9	Ondřej	Zahradníček	M	MUDr.		45	lékař a vysokoškolský učitel	Bílovice nad Svitavou	99	80	0
6203	582824	1	2	902	10	Dagmar	Škodová	F			52	správcová kulturního domu	Bílovice nad Svitavou	99	80	0
6203	582824	1	2	902	11	Jaroslav	Kvapil	M	Ing.		50	projektant	Bílovice nad Svitavou	99	80	0
6203	582824	1	2	902	12	Jarmila	Klímová	F			49	mzdová účetní a personalistka	Bílovice nad Svitavou	99	80	0
6203	582824	1	2	902	13	Leo	Jurák	M			73	konstruktér	Bílovice nad Svitavou	99	80	0
6203	582824	1	2	902	14	Eva	Šolcová	F	MUDr.		72	lékařka	Bílovice nad Svitavou	99	80	0
6203	582824	1	2	902	15	Dana	Dostálová	F			66	účetní	Bílovice nad Svitavou	99	80	0
6203	582824	1	3	53	1	Dušan	Lázniček	M	Ing.		54	jednatel	Bílovice nad Svitavou	99	53	0
6203	582824	1	3	53	2	Marek	Gruber	M		DiS.	24	technik	Bílovice nad Svitavou	53	53	0
6203	582824	1	3	53	3	Zuzana	Kafková	F			49	knihovnice	Bílovice nad Svitavou	53	53	0
6203	582824	1	3	53	4	Pavel	Doležal	M	Ing.		72	důchodce	Bílovice nad Svitavou	53	53	0
6203	582824	1	3	53	5	Milan	Skoupý	M			40	obchodní zástupce	Bílovice nad Svitavou	99	53	0
6203	582824	1	3	53	6	Alena	Hronová	F	Mgr.		43	učitelka	Bílovice nad Svitavou	99	53	0
6203	582824	1	3	53	7	Olga	Zdařilová	F	Ing.		46	ekonomka	Bílovice nad Svitavou	99	53	0
6203	582824	1	3	53	8	Ludmila	Skoupá	F			63	důchodce	Bílovice nad Svitavou	53	53	0
6203	582824	1	3	53	9	Radomír	Prudek	M			61	důchodce	Bílovice nad Svitavou	99	53	0
6203	582824	1	3	53	10	Jiří	Křipač	M	Ing.		66	důchodce	Bílovice nad Svitavou	99	53	0
6203	582824	1	3	53	11	Jiří	Sláčík	M	Ing.		44	technik	Bílovice nad Svitavou	99	53	0
6203	582824	1	3	53	12	Veronika	Mazancová	F			21	studentka	Bílovice nad Svitavou	99	53	0
6203	582824	1	3	53	13	Alexander	Tóth	M	Ing.		44	ředitel	Bílovice nad Svitavou	99	53	0
6203	582824	1	3	53	14	Robert	Somogyi	M	Ing.		45	manažer	Bílovice nad Svitavou	99	53	0
6203	582824	1	3	53	15	Petr	Sobotka	M	Ing.		63	důchodce	Bílovice nad Svitavou	99	53	0
6203	582824	1	4	901	1	Miroslav	Boháček	M			38	starosta obce	Bílovice nad Svitavou	99	80	0
6203	582824	1	4	901	2	Vendula	Bartáková	F	MUDr.		29	pedagogicko-vědecký pracovník	Bílovice nad Svitavou	99	80	0
6203	582824	1	4	901	3	Ivan	Michalík	M	Ing.		46	nákupčí	Bílovice nad Svitavou	99	80	0
