OKRES	KODZASTUP	COBVODU	POR_STR_HL	OSTRANA	PORCISLO	JMENO	PRIJMENI	POHLAVI	TITULPRED	TITULZA	VEK	POVOLANI	BYDLISTEN	PSTRANA	NSTRANA	PLATNOST
6203	506699	1	1	806	1	Rostislav	Bednář	M			40	automechanik	Semerád	99	80	1
6203	506699	1	2	807	1	Pavel	Florian	M			26	stavební technik	Otmarov	99	80	0
6203	506699	1	3	808	1	Petra	Brabcová	F			36	OSVČ	Otmarov	99	80	0
6203	506699	1	4	804	1	Martin	Lauterbach	M			38	dělník	Otmarov	99	80	0
6203	506699	1	5	805	1	Tomáš	Koláček	M			40	samostatný referent	Otmarov	99	80	0
6203	506699	1	6	803	1	Jan	Florian	M			52	skladový dělník	Otmarov	99	80	0
6203	506699	1	7	802	1	Tomáš	Vychodil	M			28	technik-elektro	Otmarov	99	80	0
6203	506699	1	8	801	1	Tomáš	Brabec	M			37	manažer	Otmarov	99	80	0
6203	506699	1	9	809	1	Dana	Grolichová	F			41	asistent pedagoga	Otmarov	99	80	0
6203	545295	1	1	801	1	Pavla	Klímová	F			57	lesní dělnice	Skalička	99	80	0
6203	545295	1	2	802	1	Marie	Dvořáková	F			39	sanitář	Skalička	99	80	0
6203	545295	1	3	807	1	Miroslav	Pařízek	M			40	obchodní zástupce	Skalička	99	80	0
6203	545295	1	4	805	1	Martin	Kočí	M	Ing.		44	stavební inženýr	Skalička	99	80	0
6203	545295	1	5	804	1	Jiří	Mráz	M	Ing.		49	OSVČ	Skalička	99	80	0
6203	545295	1	6	806	1	Pavel	Klíma	M			32	operátor výroby, OSVČ	Skalička	99	80	0
6203	545295	1	7	808	1	Antonín	Klíma	M			37	nezaměstnaný	Skalička	99	80	0
6203	545295	1	8	803	1	Dobromila	Holemá	F			61	důchodce	Skalička	99	80	0
6203	549738	1	1	355	1	Pavel	Vymazal	M			37	starosta, bezpečnostní kontrola	Ponětovice	99	80	0
6203	549738	1	1	355	2	Miroslava	Tupá	F			69	důchodkyně	Ponětovice	99	80	0
6203	549738	1	1	355	3	Kateřina	Chlupová	F			34	administrativní pracovnice	Ponětovice	99	80	0
6203	549738	1	1	355	4	Eva	Boleslavová	F			51	úřednice	Ponětovice	99	80	0
6203	549738	1	1	355	5	František	Fišer	M			66	důchodce	Ponětovice	99	80	0
6203	549738	1	1	355	6	Marie	Žemlová	F			71	důchodkyně	Ponětovice	99	80	0
6203	549738	1	1	355	7	Karel	Marosz	M			36	vědecko-výzkumný pracovník	Ponětovice	99	80	0
6203	549738	1	1	355	8	Vieroslava	Veselá	F			49	osoba samostatně výdělečně činná - marketing	Ponětovice	99	80	0
6203	549738	1	1	355	9	Vojtěch	Buchta	M			70	důchodce	Ponětovice	1	1	0
6203	549746	1	1	166	1	Antonín	Nahodil	M			64	starosta obce	Předklášteří	99	166	0
6203	549746	1	1	166	2	Miloslav	Štěpánek	M	Ing.		58	manažer prodeje	Předklášteří	99	166	0
6203	549746	1	1	166	3	Jindřich	Bauer	M			54	pojišťovací makléř	Předklášteří	99	166	0
6203	549746	1	1	166	4	František	Brázda	M	Ing.		53	podnikatel	Předklášteří	99	166	0
6203	549746	1	1	166	5	Jaromír	Kolář	M			51	živnostník	Předklášteří	99	166	0
6203	549746	1	1	166	6	Olga	Hölzlová	F	Ing.		50	zástupce ředitele školy	Bílovice nad Svitavou	99	166	0
6203	549746	1	1	166	7	Jan	Večeřa	M	Ing.		60	lesník	Předklášteří	99	166	0
6203	549746	1	1	166	8	Věra	Kubalíková	F	Ing.		57	ekonom	Předklášteří	99	166	0
6203	549746	1	1	166	9	Monika	Špačková	F	Ing.		47	odborný referent	Předklášteří	99	166	0
6203	549746	1	1	166	10	Marie	Hliněnská	F			58	účetní	Předklášteří	99	166	0
6203	549746	1	1	166	11	Denisa	Krausová	F			28	učitelka	Předklášteří	99	166	0
6203	549746	1	1	166	12	Petra	Bendová	F			33	reklamní grafik	Předklášteří	99	166	0
6203	549746	1	1	166	13	Oldřich	Výleta	M	Ing.		55	projektant	Předklášteří	99	166	0
6203	549746	1	1	166	14	Pavel	Ivánek	M			51	živnostník	Předklášteří	99	166	0
6203	549746	1	1	166	15	Josef	Vízdal	M			53	technik	Předklášteří	99	166	0
6203	549789	1	1	901	1	Eva	Vítková	F			48	účetní	Říčky	99	80	0
6203	549789	1	1	901	2	Michal	Balcárek	M	Ing.		52	manažer	Říčky	99	80	0
6203	549789	1	1	901	3	Jan	Koudelka	M			45	dělník	Říčky	99	80	0
6203	549789	1	1	901	4	Tomáš	Ustohal	M	Ing.		36	správce počítačové sítě	Říčky	99	80	0
6203	549789	1	1	901	5	Petra	Sedláková	F			32	dělnice	Říčky	99	80	0
6203	549789	1	1	901	6	Milena	Mařáková	F	Ing.		41	zemědělská inženýrka	Říčky	99	80	0
6203	549789	1	1	901	7	Marcela	Svobodová	F		DiS.	35	fyzioterapeutka	Říčky	99	80	0
6203	549789	1	1	901	8	František	Trampota	M	Ing.		62	důchodce	Říčky	99	80	0
6203	549789	1	1	901	9	Jaromíra	Fabíková	F			50	v domácnosti	Říčky	99	80	0
6203	549894	1	1	801	1	Rostislav	Panáček	M			43	dřevomodelář	Skryje	99	80	0
6203	549894	1	2	806	1	David	Kutálek	M			33	programátor	Skryje	99	80	0
6203	549894	1	3	805	1	Jana	Jeřábková	F	MUDr.		63	lékařka	Skryje	99	80	0
6203	549894	1	4	802	1	Bohuslav	Sedlák	M			46	správce pensionu	Skryje	99	80	0
6203	549894	1	5	804	1	Růžena	Panáčková	F			65	důchodce	Skryje	99	80	0
6203	549894	1	6	807	1	Miroslav	Šimek	M			41	mechanik	Skryje	99	80	0
6203	549894	1	7	803	1	Michal	Odehnal	M			30	důlní zámečník	Skryje	99	80	0
6203	549908	1	1	809	1	Roman	Polnický	M			45	řezník	Újezd u Tišnova	99	80	0
6203	549908	1	2	804	1	Lucie	Pohanková	F	Ing. arch.	Ph.D.	33	architekt	Újezd u Tišnova	99	80	0
6203	549908	1	3	806	1	Petr	Jakeš	M			31	zemědělec	Újezd u Tišnova	99	80	0
6203	549908	1	4	808	1	Ivan	Sklenář	M	Ing.		59	geodet	Újezd u Tišnova	99	80	0
6203	549908	1	5	801	1	Josef	Pohanka	M	Ing.		64	zemědělský inženýr	Újezd u Tišnova	99	80	0
6203	549908	1	6	805	1	Zdeňka	Dvořáková	F			44	mistrová šicí dílny	Újezd u Tišnova	99	80	0
6203	549908	1	7	803	1	Milan	Schild	M	Ing.		33	inženýr elektro	Újezd u Tišnova	99	80	0
6203	549908	1	8	802	1	Jan	Borovka	M			29	stavbyvedoucí	Újezd u Tišnova	99	80	0
6203	549908	1	9	807	1	Jiří	Kapeš	M	Bc.		37	zahradní technik	Újezd u Tišnova	99	80	0
6203	550272	1	1	7	1	Jindřich	Tomek	M			33	vedoucí skladu	Cvrčovice	7	7	0
6203	550272	1	1	7	2	Roman	Křivánek	M			41	dělník	Cvrčovice	99	7	0
6203	550272	1	1	7	3	Alena	Lahodová	F			28	mateřská dovolená	Cvrčovice	7	7	0
6203	550272	1	1	7	4	Petr	Vala	M			39	řidič	Cvrčovice	99	7	0
6203	550272	1	1	7	5	Tereza	Cirhanová	F			21	studentka	Cvrčovice	7	7	0
6203	550272	1	1	7	6	Petr	Blažek	M			25	dělník	Cvrčovice	99	7	0
6203	550272	1	1	7	7	Jiří	Rousek	M			19	dělník	Cvrčovice	99	7	0
6203	550272	1	1	7	8	Milan	Jelínek	M			19	student	Cvrčovice	99	7	0
6203	550272	1	1	7	9	Eduard	Lahoda	M			37	řidič	Cvrčovice	99	7	0
6203	550272	1	2	902	1	Josef	Kotoul	M			45	elektromechanik	Cvrčovice	99	80	0
6203	550272	1	2	902	2	Václav	Doležal	M	Ing.		31	projektant elektro	Cvrčovice	99	80	0
6203	550272	1	2	902	3	Marie	Fajmanová	F			40	referent	Cvrčovice	99	80	0
6203	550272	1	2	902	4	Radomír	Světlík	M			62	řidič	Cvrčovice	99	80	0
6203	550272	1	2	902	5	Břetislav	Beneš	M			55	zkušební technik	Cvrčovice	99	80	0
6203	550272	1	2	902	6	Robert	Polzer	M			39	stavební technik	Cvrčovice	99	80	0
6203	550272	1	2	902	7	Petra	Světlíková	F			33	pedagog volného času	Cvrčovice	99	80	0
6203	550272	1	2	902	8	Miroslav	Dobrovolný	M			22	student VUT	Cvrčovice	99	80	0
6203	550272	1	2	902	9	Petr	Pirožek	M			40	manažer realizace	Cvrčovice	99	80	0
6203	550272	1	3	901	1	Pavel	Endlicher	M	Mgr.		46	právník	Cvrčovice	99	80	0
6203	550272	1	3	901	2	Lenka	Šalandová	F			62	starostka	Cvrčovice	99	80	0
6203	550272	1	3	901	3	Marek	Sládek	M	Bc.		35	ortofoto specialista	Cvrčovice	99	80	0
6203	550272	1	3	901	4	Libor	Vašíček	M			39	vedoucí prodejny elektro	Cvrčovice	99	80	0
6203	550272	1	3	901	5	Karel	Zoufalý	M			60	technik STK	Cvrčovice	99	80	0
6203	550272	1	3	901	6	Michal	Světlík	M	Bc.		29	ředitel stavební společnosti	Cvrčovice	99	80	0
6203	550272	1	3	901	7	František	Bublan	M			35	pracovník sociálních služeb	Cvrčovice	99	80	0
6203	550272	1	3	901	8	Martin	Sládek	M			37	živnostník	Cvrčovice	99	80	0
6203	550272	1	3	901	9	Roman	Boček	M			45	živnostník	Cvrčovice	99	80	0
6203	581321	1	1	810	1	Dominik	Bracek	M			44	řidič - skladník	Běleč	99	80	0
6203	581321	1	2	803	1	Dana	Trtílková	F			55	zdravotní laborant	Běleč	99	80	0
6203	581321	1	3	807	1	Jana	Přikrylová	F	Ing. Bc.	Ph.D.	29	ekonomický analytik	Běleč	99	80	0
6203	581321	1	4	806	1	Tomáš	Přikryl	M			34	řidič - v pekárně	Křeptov	99	80	0
6203	581321	1	5	804	1	Bohuslav	Pustina	M			60	živnostník	Běleč	99	80	0
6203	581321	1	6	802	1	Luboš	Pařízek	M			47	řidič	Křeptov	99	80	0
6203	581321	1	7	805	1	Roman	Štefka	M			40	instalatér	Běleč	99	80	0
6203	581321	1	8	801	1	Dana	Přikrylová	F			58	nezaměstnaná	Křeptov	99	80	0
6203	581321	1	9	809	1	Michaela	Pavlíčková	F			40	kuchařka	Běleč	99	80	0
6203	581321	1	10	808	1	František	Nedoma	M	Ing.		63	důchodce	Běleč	99	80	0
6203	581402	1	1	901	1	Vlastislav	Horák	M			39	dělník	Brumov	99	80	0
