OKRES	KODZASTUP	COBVODU	POR_STR_HL	OSTRANA	PORCISLO	JMENO	PRIJMENI	TITULPRED	TITULZA	VEK	POVOLANI	BYDLISTEN	PSTRANA	NSTRANA	PLATNOST	POHLAVI
8102	552551	1	1	7	1	Radim	Kus	Bc.		31	zaměstnanec Policie ČR	Staré Město	99	7	0	M
8102	552551	1	2	901	1	Josef	Mikulec			58	starosta obce	Staré Město	99	80	0	M
8102	552551	1	3	902	1	Hana	Mrózková	Ing.		62	úředník	Staré Město	99	80	0	F
8102	552551	1	4	1	1	Libor	Fukala			49	dispečer	Staré Město	1	1	0	M
8102	552551	1	1	7	2	Petr	Gibala	Mgr.		38	sportovní trenér	Staré Město	99	7	0	M
8102	552551	1	2	901	2	Jiří	Roško	Mgr. Bc.		42	státní zaměstnanec	Staré Město	99	80	0	M
8102	552551	1	3	902	2	Jan	Woznica	Ing.		66	podnikatel	Staré Město	99	80	0	M
8102	552551	1	4	1	2	Petr	Šťastník			39	obchodní zástupce	Staré Město	1	1	0	M
8102	552551	1	1	7	3	Pavla	Koišová	Ing.		31	projektový manažer	Staré Město	99	7	0	F
8102	552551	1	2	901	3	Barbora	Mazurová	Mgr.		51	ředitelka ZŠaMŠ	Staré Město	99	80	0	F
8102	552551	1	3	902	3	Miroslav	Sedlář	Ing.		62	technik	Staré Město	99	80	0	M
8102	552551	1	4	1	3	Petr	Ručka			27	zemědělec	Staré Město	1	1	0	M
8102	552551	1	1	7	4	Marek	Pohl			35	technik	Staré Město	99	7	0	M
8102	552551	1	2	901	4	Konrád	Niesner			43	podnikatel	Staré Město	99	80	0	M
8102	552551	1	3	902	4	Vladislav	Hrabec			35	soukromý zemědělec	Staré Město	99	80	0	M
8102	552551	1	4	1	4	Miroslav	Přikryl	Mgr.		43	vedoucí projektu	Staré Město	99	1	0	M
8102	552551	1	1	7	5	Antonín	Vašut	Ing.		40	zástupce vedoucího v železniční dopravě TŽ	Staré Město	99	7	0	M
8102	552551	1	2	901	5	Štěpánka	Paličková			63	zdravotní sestra	Staré Město	99	80	0	F
8102	552551	1	3	902	5	Jindřich	Hrčka			51	technik	Staré Město	99	80	0	M
8102	552551	1	4	1	5	Rostislav	Velička			42	obráběč kovů	Staré Město	99	1	0	M
8102	552551	1	1	7	6	Vladimíra	Recmanová			37	vychovatelka ZŠ	Staré Město	99	7	0	F
8102	552551	1	2	901	6	Karel	Špok			47	elektrikář	Staré Město	99	80	0	M
8102	552551	1	3	902	6	Monika	Adámková	Ing. arch.		48	úředník	Staré Město	99	80	0	F
8102	552551	1	4	1	6	Dalibor	Hučka	Ing.		36	konstruktér	Staré Město	99	1	0	M
8102	552551	1	1	7	7	Jakub	Křístek	Bc.		31	zaměstnanec Policie ČR	Staré Město	99	7	0	M
8102	552551	1	2	901	7	Aleš	Nytra			41	řidič	Staré Město	99	80	0	M
8102	552551	1	3	902	7	David	Chrápek			38	obchodní zástupce	Staré Město	99	80	0	M
8102	552551	1	4	1	7	Marie	Ručková			57	důchodce	Staré Město	1	1	0	F
8102	552551	1	1	7	8	Emil	Kuboš			69	OSVČ	Staré Město	99	7	0	M
8102	552551	1	2	901	8	Michaela	Nováková			47	podnikatelka	Staré Město	99	80	0	F
8102	552551	1	3	902	8	Jiří	Gola			32	podnikatel	Staré Město	99	80	0	M
8102	552551	1	4	1	8	Jarmila	Hučková			66	důchodce	Staré Město	1	1	0	F
8102	552551	1	1	7	9	Petr	Staszko	Ing.		35	IT technik	Staré Město	99	7	0	M
8102	552551	1	2	901	9	Robert	Karásek			39	řidič	Staré Město	99	80	0	M
8102	552551	1	3	902	9	Bohumír	Najdek			58	skladník	Staré Město	99	80	0	M
8102	552551	1	4	1	9	Rostislav	Janek			40	zámečník	Staré Město	99	1	0	M
