OKRES	KODZASTUP	COBVODU	POR_STR_HL	OSTRANA	PORCISLO	JMENO	PRIJMENI	POHLAVI	TITULPRED	TITULZA	VEK	POVOLANI	BYDLISTEN	PSTRANA	NSTRANA	PLATNOST
6101	569658	1	1	902	1	Karel	Kameník	M	Ing.		57	starosta	Úsobí	99	80	0
6101	569658	1	1	902	2	Jan	Čermák	M	MUDr.		43	lékař	Chyška	99	80	0
6101	569658	1	1	902	3	Jiří	Dušek	M	Ing.		37	technolog	Úsobí	99	80	0
6101	569658	1	1	902	4	Bohumila	Bártová	F			48	účetní	Úsobí	99	80	0
6101	569658	1	1	902	5	Tomáš	Pavel	M			27	hasič	Úsobí	99	80	0
6101	569658	1	1	902	6	Ondřej	Nejedlý	M			25	soukromý podnikatel	Chyška	99	80	0
6101	569658	1	1	902	7	Zuzana	Nejedlá	F			47	zdravotní sestra	Chyška	99	80	0
6101	569658	1	1	902	8	Hana	Hanzliková	F			47	účetní	Úsobí	99	80	0
6101	569658	1	1	902	9	Soňa	Jelínková	F			39	nutriční terapeut	Úsobí	99	80	0
6101	569658	1	1	902	10	Jiří	Rathouz	M	Ing.		53	technik	Úsobí	99	80	0
6101	569658	1	1	902	11	Iva	Jančovičová	F			49	operátor	Úsobí	99	80	0
6101	569658	1	2	901	1	Karel	Heřmánek	M	Ing.		57	technik	Úsobí	99	80	0
6101	569658	1	2	901	2	Zdeněk	Domša	M	Ing.		55	předseda zemědělského družstva	Úsobí	47	80	0
6101	569658	1	2	901	3	Božena	Kučerová	F	Mgr.		44	učitelka	Úsobí	99	80	0
6101	569658	1	2	901	4	Roman	Krupauer	M			45	elektromontér	Úsobí	99	80	0
6101	569658	1	2	901	5	Karel	Krupauer	M			34	mistr	Úsobí	99	80	0
6101	569658	1	2	901	6	Petr	Šorf	M			40	technolog	Úsobí	99	80	0
6101	569658	1	2	901	7	Petr	Novák	M			46	řidič MKD	Úsobí	99	80	0
6101	569658	1	2	901	8	Zdeněk	Dáňa	M			45	traktorista	Chyška	99	80	0
6101	569658	1	2	901	9	Jan	Heřmánek	M			27	OSVČ	Úsobí	99	80	0
6101	569658	1	2	901	10	Ondřej	Koubský	M			22	předák lakovací linky	Úsobí	99	80	0
6101	569658	1	2	901	11	Jana	Váchová	F			43	střihačka	Úsobí	99	80	0
