OKRES	KODZASTUP	COBVODU	POR_STR_HL	OSTRANA	PORCISLO	JMENO	PRIJMENI	TITULPRED	TITULZA	VEK	POVOLANI	BYDLISTEN	PSTRANA	NSTRANA	PLATNOST	POHLAVI
6205	586749	1	1	902	1	Pavel	Nenička	Ing.		31	koordinátor odpad. hospodářství a bezpeč. práce	Vlkoš	99	80	0	M
6205	586749	1	2	901	1	Milan	Sluka			47	místostarosta	Vlkoš	99	80	0	M
6205	586749	1	3	903	1	Tomáš	Just	Mgr.		42	zástupce ředitele ZŠ	Vlkoš	99	80	0	M
6205	586749	1	4	721	1	Martin	Bušina	Mgr.		43	rodinný terapeut a supervizor	Vlkoš	99	721	0	M
6205	586749	1	5	53	1	Jiří	Flora	Ing.		40	starosta	Vlkoš	53	53	0	M
6205	586749	1	1	902	2	Radek	Lunga		DiS.	32	obchodní zástupce	Vlkoš	99	80	0	M
6205	586749	1	2	901	2	Luděk	Panák			59	živnostník	Vlkoš	99	80	0	M
6205	586749	1	3	903	2	Radek	Zálešák			45	elektrikář	Vlkoš	99	80	0	M
6205	586749	1	5	53	2	David	Vyhňák	Ing.		35	podnikatel	Vlkoš	99	53	0	M
6205	586749	1	1	902	3	Milena	Horáková			45	obchodní referentka	Vlkoš	99	80	0	F
6205	586749	1	2	901	3	Ludmila	Ondrůšková			60	důchodkyně	Vlkoš	99	80	0	F
6205	586749	1	3	903	3	Ladislav	Svoboda			25	vedoucí kompostárny	Vlkoš	99	80	0	M
6205	586749	1	5	53	3	Vlastimil	Vlček	Ing.		52	technik	Vlkoš	99	53	0	M
6205	586749	1	1	902	4	Martin	Štipčák			23	student	Vlkoš	99	80	0	M
6205	586749	1	2	901	4	Petr	Vondál			43	živnostník	Vlkoš	99	80	0	M
6205	586749	1	3	903	4	Jaroslav	Kozák			60	učitel OV	Vlkoš	99	80	0	M
6205	586749	1	5	53	4	Radka	Otépková			41	poštovní doručovatelka	Vlkoš	99	53	0	F
6205	586749	1	1	902	5	Richard	Vašíček			35	podnikatel	Vlkoš	99	80	0	M
6205	586749	1	2	901	5	Radka	Štipčáková			45	poštovní doručovatelka	Vlkoš	99	80	0	F
6205	586749	1	3	903	5	Jaroslava	Neničková	Mgr.		45	učitelka ZŠ	Vlkoš	99	80	0	F
6205	586749	1	5	53	5	Richard	Košacký			41	živnostník	Vlkoš	99	53	0	M
6205	586749	1	1	902	6	Antonín	Novák			60	podnikatel	Vlkoš	99	80	0	M
6205	586749	1	2	901	6	Michaela	Bílá			40	finanční poradce	Vlkoš	99	80	0	F
6205	586749	1	3	903	6	Marie	Bušinová	Mgr.		42	učitelka ZŠ na MD	Vlkoš	99	80	0	F
6205	586749	1	5	53	6	Miroslava	Frolcová	Ing.		54	účetní	Vlkoš	99	53	0	F
6205	586749	1	1	902	7	Miroslav	Různa			67	důchodce	Vlkoš	99	80	0	M
6205	586749	1	2	901	7	René	Slezák			47	živnostník	Vlkoš	99	80	0	M
6205	586749	1	3	903	7	Zlata	Holakovská			48	OSVČ	Vlkoš	99	80	0	F
6205	586749	1	5	53	7	Radek	Pavlačka			45	podnikatel	Vlkoš	99	53	0	M
6205	586749	1	1	902	8	Radim	Novák			34	řidič	Vlkoš	99	80	0	M
6205	586749	1	2	901	8	Josef	Matyáš			58	učitel odborného výcviku	Vlkoš	99	80	0	M
6205	586749	1	3	903	8	Ladislav	Ovsík			50	obchodník	Vlkoš	99	80	0	M
6205	586749	1	5	53	8	František	Bábík			48	živnostník	Vlkoš	99	53	0	M
6205	586749	1	1	902	9	Jan	Sluka	Ing.		50	podnikatel	Vlkoš	99	80	0	M
6205	586749	1	2	901	9	Pavel	Vrána	Ing.		47	výrobní ředitel	Vlkoš	99	80	0	M
6205	586749	1	3	903	9	Miroslav	Novosad			49	zedník	Vlkoš	99	80	0	M
6205	586749	1	5	53	9	Miroslav	Ingr			58	dělník	Vlkoš	99	53	0	M
