OKRES	KODZASTUP	COBVODU	POR_STR_HL	OSTRANA	PORCISLO	JMENO	PRIJMENI	TITULPRED	TITULZA	VEK	POVOLANI	BYDLISTEN	PSTRANA	NSTRANA	PLATNOST	POHLAVI
7101	553301	1	1	903	1	Pavel	Mrnůštík	Ing.		51	technik - vedoucí provozu	Hradec-Nová Ves	99	80	0	M
7101	553301	1	2	904	1	Pavel	Stejskal			44	starosta	Hradec-Nová Ves	53	80	0	M
7101	553301	1	3	158	1	Vít	Vavrečka			44	řidič - montér	Hradec-Nová Ves	99	158	0	M
7101	553301	1	4	901	1	Miroslav	Šoltys			32	vedoucí, stavební technik	Hradec-Nová Ves	99	80	0	M
7101	553301	1	5	902	1	Vladimíra	Stiaková			53	zdravotní sestra	Hradec-Nová Ves	99	80	0	F
7101	553301	1	1	903	2	Jan	Stiak			54	živnostník	Hradec-Nová Ves	99	80	0	M
7101	553301	1	2	904	2	Radek	Šula			48	technik	Hradec-Nová Ves	99	80	0	M
7101	553301	1	3	158	2	Martin	Sedlák			30	zaměstnanec OÚ	Hradec-Nová Ves	99	158	0	M
7101	553301	1	4	901	2	Evelyna	Vozábalová			59	vedoucí Jeskyní na Špičáku	Hradec-Nová Ves	99	80	0	F
7101	553301	1	5	902	2	Tomáš	Baier	Bc.		31	technik	Hradec-Nová Ves	99	80	0	M
7101	553301	1	1	903	3	Ivana	Hrašková			46	živnostník	Hradec-Nová Ves	99	80	0	F
7101	553301	1	2	904	3	Zdeněk	Červenka			36	jednatel	Hradec-Nová Ves	99	80	0	M
7101	553301	1	3	158	3	Libuše	Havelková			48	prodavačka	Hradec-Nová Ves	99	158	0	F
7101	553301	1	4	901	3	František	Zoubek			43	živnostník	Hradec-Nová Ves	99	80	0	M
7101	553301	1	5	902	3	Gabriela	Morongová			34	lisařka	Hradec-Nová Ves	99	80	0	F
7101	553301	1	1	903	4	Jan	Koryťák			62	důchodce	Hradec-Nová Ves	99	80	0	M
7101	553301	1	2	904	4	Pavel	Míček	Ing.		53	IT specialista	Hradec-Nová Ves	99	80	0	M
7101	553301	1	3	158	4	Vojtěch	Hraško	Ing.		49	elektrikář	Hradec-Nová Ves	99	158	0	M
7101	553301	1	4	901	4	Drahomír	Zeman			50	soustružník	Hradec-Nová Ves	99	80	0	M
7101	553301	1	5	902	4	Oldřich	Lukeš			49	soustružník	Hradec-Nová Ves	99	80	0	M
7101	553301	1	1	903	5	Ivana	Foitová			58	zástupce vedoucí - průvodkyně	Hradec-Nová Ves	99	80	0	F
7101	553301	1	2	904	5	Dušan	Morong			41	velitel jednotky SDH	Hradec-Nová Ves	99	80	0	M
7101	553301	1	3	158	5	Lucie	Dostálová			31	učitelka v MŠ	Hradec-Nová Ves	99	158	0	F
7101	553301	1	4	901	5	Jana	Mocková			50	účetní	Hradec-Nová Ves	99	80	0	F
7101	553301	1	5	902	5	Radek	Laňka			33	provozní elektrikář	Hradec-Nová Ves	99	80	0	M
7101	553301	1	1	903	6	Petr	Jirchář			46	živnostník	Hradec-Nová Ves	99	80	0	M
7101	553301	1	2	904	6	Jan	Kubík	Ing.		55	ředitel nakladatelství	Hradec-Nová Ves	99	80	0	M
7101	553301	1	3	158	6	Marcela	Koláčková			41	administrativní pracovnice	Hradec-Nová Ves	99	158	0	F
7101	553301	1	4	901	6	Radovan	Laš			46	mechanik	Hradec-Nová Ves	99	80	0	M
7101	553301	1	5	902	6	Josef	Točoň			48	podnikatel	Hradec-Nová Ves	99	80	0	M
7101	553301	1	1	903	7	Leona	Mazurová			47	prodavačka	Hradec-Nová Ves	99	80	0	F
7101	553301	1	2	904	7	Jana	Vaníčková			67	místostarostka	Hradec-Nová Ves	53	80	0	F
7101	553301	1	3	158	7	Anna	Strýčková			54	asistentka pedagoga	Hradec-Nová Ves	99	158	0	F
7101	553301	1	4	901	7	Štefan	Mocko			22	student	Hradec-Nová Ves	99	80	0	M
7101	553301	1	5	902	7	Radomír	Mádr			53	podnikatel	Hradec-Nová Ves	99	80	0	M
