OKRES	KODZASTUP	COBVODU	POR_STR_HL	OSTRANA	PORCISLO	JMENO	PRIJMENI	POHLAVI	TITULPRED	TITULZA	VEK	POVOLANI	BYDLISTEN	PSTRANA	NSTRANA	PLATNOST
3103	547166	1	1	389	1	Josef	Petrik	M			47	jednatel společnosti	Slavonice	53	53	0
3103	547166	1	1	389	2	Zdeňka	Chadimová	F	Mgr.		59	knihovnice	Slavonice	99	80	0
3103	547166	1	1	389	3	Michal	Soukup	M			37	strojmistr	Slavonice	99	80	0
3103	547166	1	1	389	4	Michal	Dostál	M			41	jednatel	Slavonice	53	53	0
3103	547166	1	1	389	5	Miroslava	Nevrklová	F			59	turistický průvodce	Slavonice	99	80	0
3103	547166	1	1	389	6	Miroslav	Kadrnoška	M			44	stavbyvedoucí	Slavonice	99	80	0
3103	547166	1	1	389	7	Petr	Havlík	M			51	živnostník	Slavonice	99	53	0
3103	547166	1	1	389	8	Roman	Fuka	M			35	živnostník	Slavonice	99	80	0
3103	547166	1	1	389	9	Otto	Lupač	M			59	kuchař	Slavonice	53	53	0
3103	547166	1	1	389	10	Zdeněk	Žampa	M	Ing.		57	živnostník	Slavonice	53	53	0
3103	547166	1	1	389	11	Libor	Svoboda	M			46	voják z povolání	Slavonice	99	80	0
3103	547166	1	1	389	12	Ladislav	Chalupa	M			44	živnostník	Slavonice	53	53	0
3103	547166	1	1	389	13	Michal	Petrik	M			25	řezník	Slavonice	53	53	0
3103	547166	1	1	389	14	Nikola	Rybárová	F			23	prodavačka	Slavonice	99	53	0
3103	547166	1	1	389	15	Jan	Böhm	M			25	elektrikář	Slavonice	99	80	0
3103	547166	1	2	47	1	Karel	Pavlů	M	Ing.		53	státní zaměstnanec	Slavonice	99	47	0
3103	547166	1	2	47	2	Alena	Novotná	F			55	vedoucí provozu	Slavonice	47	47	0
3103	547166	1	2	47	3	Josef	Urban	M			64	starosta města, technik	Slavonice	47	47	0
3103	547166	1	2	47	4	Radka	Bulantová	F			35	zdravotní sestra	Slavonice	47	47	0
3103	547166	1	2	47	5	Čestmír	Palán	M			63	administrativní pracovník	Slavonice	99	47	0
3103	547166	1	2	47	6	Věra	Fialová	F	Mgr.		39	pracovnice infocentra	Slavonice	99	47	0
3103	547166	1	2	47	7	František	Hejda	M			60	technik	Slavonice	47	47	0
3103	547166	1	2	47	8	Stanislav	Prokeš	M			62	učitel	Slavonice	47	47	0
3103	547166	1	2	47	9	Jiří	Ležák	M	Ing.		60	zemědělský inženýr	Slavonice	47	47	0
3103	547166	1	2	47	10	František	Hejda	M			23	operátor výroby	Slavonice	99	47	0
3103	547166	1	2	47	11	Jaroslav	Pova	M			67	lesní technik	Slavonice	47	47	0
3103	547166	1	2	47	12	Miroslav	Brychta	M			59	opravář zemědělských strojů	Slavonice	47	47	0
3103	547166	1	2	47	13	Vojtěch	Čerstvý	M			64	řidič autobusu	Slavonice	47	47	0
3103	547166	1	2	47	14	Miloš	Fiala	M			70	železničář	Slavonice	47	47	0
3103	547166	1	2	47	15	Jaroslav	Zuzák	M	Ing.		73	technik	Slavonice	47	47	0
3103	547166	1	3	7	1	Arnošt	Hamrle	M			67	podnikatel	Slavonice	7	7	0
3103	547166	1	3	7	2	Jaromír	Vítů	M			68	důchodce	Slavonice	7	7	0
3103	547166	1	3	7	3	Lenka	Janáková	F			37	zdravotní sestra	Slavonice	7	7	0
3103	547166	1	3	7	4	Petr	Kotulán	M			60	podnikatel	Slavonice	7	7	0
3103	547166	1	3	7	5	Marcela	Sobotková	F			44	mistrová	Slavonice	7	7	0
3103	547166	1	3	7	6	Josef	Březina	M			45	podnikatel	Slavonice	7	7	0
3103	547166	1	3	7	7	Veronika	Luksová	F	Mgr.		25	sociální pracovnice	Slavonice	7	7	0
3103	547166	1	3	7	8	Sylva	Kučerová	F	Mgr.		45	vedoucí odboru MěÚ	Slavonice	99	7	0
3103	547166	1	3	7	9	Tomáš	Mach	M			34	obchodník	Slavonice	99	7	0
3103	547166	1	3	7	10	Jindřich	Švrček	M			67	důchodce	Slavonice	7	7	0
3103	547166	1	3	7	11	Jana	Minářová	F			71	důchodkyně	Slavonice	7	7	0
3103	547166	1	3	7	12	Oldřich	Růna	M			64	důchodce	Slavonice	99	7	0
3103	547166	1	3	7	13	Dana	Peschelová	F			48	dělnice	Slavonice	99	7	0
3103	547166	1	3	7	14	Karel	Čaňo	M			66	důchodce	Stálkov	99	7	0
3103	547166	1	3	7	15	Ivana	Böhmová	F			48	kuchařka	Slavonice	99	7	0
3103	547166	1	4	901	1	Jiří	Pšenčík	M	Ing.		52	konstruktér	Slavonice	99	80	0
3103	547166	1	4	901	2	Jiří	Vláčil	M	Ing.		49	obalový technik	Slavonice	99	80	0
3103	547166	1	4	901	3	Radim	Jindrák	M			41	policista	Slavonice	99	80	0
3103	547166	1	4	901	4	Radek	Kučera	M			43	dělník	Slavonice	99	80	0
3103	547166	1	4	901	5	Jiří	Matoušek	M			36	dělník	Vlastkovec	99	80	0
3103	547166	1	4	901	6	Ladislav	Burghard	M			46	řidič	Slavonice	99	80	0
3103	547166	1	4	901	7	Jaroslav	Kryzan	M			48	podnikatel	Mutišov	99	80	0
3103	547166	1	4	901	8	Josef	Smažil	M			58	údržbář	Slavonice	99	80	0
3103	547166	1	4	901	9	Jaroslav	Kovář	M			41	podnikatel	Slavonice	99	80	0
3103	547166	1	4	901	10	Ladislav	Chalupa	M			28	team leader	Slavonice	99	80	0
3103	547166	1	4	901	11	Petr	Voldřich	M			49	podnikatel	Slavonice	99	80	0
3103	547166	1	4	901	12	Milan	Trávníček	M			22	dělník	Slavonice	99	80	0
3103	547166	1	4	901	13	Zdeněk	Bohuslav	M			28	mistr	Slavonice	99	80	0
3103	547166	1	4	901	14	Jiří	Svoboda	M			65	podnikatel	Slavonice	99	80	0
3103	547166	1	4	901	15	Jan	Šplíchal	M			61	podnikatel	Slavonice	99	80	0
3103	547166	1	5	166	1	Luboš	Kryzan	M			59	zemědělský technik	Slavonice	166	166	0
3103	547166	1	5	166	2	Martin	Ceplecha	M	akad. soch.		60	sochař	Maříž	99	166	0
3103	547166	1	5	166	3	Jiří	Kálal	M			38	státní zaměstnanec	Slavonice	99	166	0
3103	547166	1	5	166	4	Pavel	Kryzan	M			34	řidič - strojník	Slavonice	99	166	0
3103	547166	1	6	902	1	Hynek	Blažek	M	Ing.		48	místostarosta	Slavonice	99	80	0
