OKRES	KODZASTUP	COBVODU	POR_STR_HL	OSTRANA	PORCISLO	JMENO	PRIJMENI	TITULPRED	TITULZA	VEK	POVOLANI	BYDLISTEN	PSTRANA	NSTRANA	PLATNOST	POHLAVI
3103	508152	1	1	1	1	Miloš	Šícha			60	důchodce	Střížovice	1	1	0	M
3103	508152	1	2	129	1	Zdeněk	Kantor	Ing.		57	starosta obce	Vlčice	99	129	0	M
3103	508152	1	1	1	2	Lucie	Šíchová			26	OSVČ	Střížovice	99	1	0	F
3103	508152	1	2	129	2	Karel	Hájek			59	technik	Vlčice	99	129	0	M
3103	508152	1	1	1	3	Miroslav	Horálek			30	vrchní mistr	Střížovice	99	1	0	M
3103	508152	1	2	129	3	Miroslav	Kubů			57	dělník	Střížovice	99	129	0	M
3103	508152	1	1	1	4	Šárka	Havlíčková			31	OSVČ	Vlčice	99	1	0	F
3103	508152	1	2	129	4	Jaroslava	Molzerová			60	důchodkyně	Vlčice	99	129	0	F
3103	508152	1	1	1	5	Jiří	Petrů			31	seřizovač	Vlčice	99	1	0	M
3103	508152	1	2	129	5	Eva	Kozáková			57	podnikatelka	Vlčice	99	129	0	F
3103	508152	1	1	1	6	Josef	Marek			59	opravář	Budkov	1	1	0	M
3103	508152	1	2	129	6	Jiří	Holocsi			50	seřizovač	Vlčice	99	129	0	M
3103	508152	1	1	1	7	Jakub	Stankovský	Ing.		26	manažer	Střížovice	99	1	0	M
3103	508152	1	2	129	7	Miroslav	Svoboda			60	řidič	Střížovice	99	129	0	M
3103	508152	1	1	1	8	Jana	Horálková			27	mateřská dov.	Střížovice	99	1	0	F
3103	508152	1	2	129	8	Aneta	Nováková	Bc.		23	porodní asistentka	Vlčice	99	129	0	F
3103	508152	1	1	1	9	František	Boček			49	dělník	Vlčice	99	1	0	M
3103	508152	1	2	129	9	Jan	Anderl			56	dělník	Vlčice	99	129	0	M
