OKRES	KODZASTUP	COBVODU	POR_STR_HL	OSTRANA	PORCISLO	JMENO	PRIJMENI	POHLAVI	TITULPRED	TITULZA	VEK	POVOLANI	BYDLISTEN	PSTRANA	NSTRANA	PLATNOST
4102	555762	1	1	470	1	Vladislav	Syrovátka	M			49	technik	Žlutice	99	166	0
4102	555762	1	1	470	2	Olga	Ulrychová	F	Mgr.		48	překladatelka	Veselov	99	80	0
4102	555762	1	1	470	3	Karel	Kroutil	M			47	lesní správce	Žlutice	99	80	0
4102	555762	1	1	470	4	Miloslav	Sýkora	M	Mgr.		50	učitel	Veselov	99	80	0
4102	555762	1	1	470	5	Petr	Charvát	M	Bc.		23	student	Žlutice	99	80	0
4102	555762	1	1	470	6	Ervín	Kesl	M			55	podnikatel	Žlutice	99	80	0
4102	555762	1	1	470	7	Alena	Adámková	F			34	koordinátorka VPP	Žlutice	99	80	0
4102	555762	1	1	470	8	Květa	Sedláčková	F			38	podnikatelka	Žlutice	99	80	0
4102	555762	1	1	470	9	Václav	Barták	M			29	support administrátor	Žlutice	99	80	0
4102	555762	1	1	470	10	Gabriela	Tymrová	F			39	účetní	Žlutice	99	80	0
4102	555762	1	1	470	11	Václav	Přech	M	Ing.		71	důchodce	Žlutice	99	80	0
4102	555762	1	1	470	12	Alena	Košnářová	F			58	zaměstnanec	Žlutice	99	80	0
4102	555762	1	1	470	13	Martin	Straka	M			25	barman - číšník	Žlutice	99	80	0
4102	555762	1	1	470	14	Milan	Kryl	M			50	vychovatel	Žlutice	99	80	0
4102	555762	1	1	470	15	Marie	Kučerová	F			45	poštovní úřednice	Žlutice	99	80	0
4102	555762	1	2	427	1	Petr	Businský	M			39	vedoucí závodu	Žlutice	99	143	0
4102	555762	1	2	427	2	Luděk	Svoboda	M	Mgr.		45	ředitel školy	Žlutice	99	80	0
4102	555762	1	2	427	3	Luboš	Pilný	M			52	podnikatel	Žlutice	99	80	0
4102	555762	1	2	427	4	Zuzana	Kroutilová	F			53	záchranář	Žlutice	99	80	0
4102	555762	1	2	427	5	Jiří	Hanzlíček	M			45	technický pracovník	Žlutice	99	80	0
4102	555762	1	2	427	6	Hana	Vitáková	F			56	účetní	Žlutice	99	80	0
4102	555762	1	2	427	7	Eva	Kuncová	F	Mgr.		32	obchodní zástupce	Žlutice	99	80	0
4102	555762	1	2	427	8	Václav	Suda	M	Bc.		46	odborný referent	Žlutice	99	80	0
4102	555762	1	2	427	9	Martina	Petrů	F			49	OSVČ	Protivec	99	80	0
4102	555762	1	2	427	10	Soňa	Bošková	F			36	pracovnice v elektrovýrobě	Žlutice	99	80	0
4102	555762	1	2	427	11	Václava	Schrecková	F			64	prodavačka	Žlutice	99	80	0
4102	555762	1	2	427	12	Josef	Jirsa	M			68	důchodce	Žlutice	99	80	0
4102	555762	1	2	427	13	Zdeněk	Petřík	M			47	podnikatel	Žlutice	99	80	0
4102	555762	1	2	427	14	Denisa	Slavíková	F	Mgr.		40	zástupce ředitele školy	Žlutice	99	80	0
4102	555762	1	2	427	15	Jiří	Schöpp	M			34	technik	Žlutice	99	80	0
4102	555762	1	3	901	1	Jaroslav	Zeman	M			44	elektromontér	Žlutice	99	80	0
4102	555762	1	3	901	2	Jaroslava	Voglová	F			59	ekonomka	Žlutice	99	80	0
4102	555762	1	3	901	3	Josef	Sedláček	M			42	instalatér	Žlutice	99	80	0
4102	555762	1	3	901	4	Marek	Veselý	M			37	automechanik	Žlutice	99	80	0
4102	555762	1	3	901	5	Pavel	Bílek	M			45	dozorce	Žlutice	99	80	0
4102	555762	1	3	901	6	Pavel	Kaňka	M			43	řidič	Žlutice	99	80	0
4102	555762	1	3	901	7	Luboš	Štědronský	M			26	elektromontér	Žlutice	99	80	0
4102	555762	1	3	901	8	Jan	Vorel	M			33	skladník	Žlutice	99	80	0
4102	555762	1	3	901	9	Pavel	Štědronský	M			22	elektromontér	Žlutice	99	80	0
4102	555762	1	3	901	10	Martina	Bachmannová	F			44	kadeřnice	Žlutice	99	80	0
4102	555762	1	3	901	11	Stanislava	Míčková	F			37	servírka	Žlutice	99	80	0
4102	555762	1	3	901	12	Miloslav	Hanek	M			46	státní zaměstnanec	Žlutice	99	80	0
4102	555762	1	3	901	13	Pavlína	Hanketová	F			46	účetní	Žlutice	99	80	0
4102	555762	1	3	901	14	Jaroslav	Koliha	M			47	záchranář	Žlutice	99	80	0
4102	555762	1	3	901	15	Libor	Janíček	M	Mgr.		33	manažer neziskovky	Žlutice	99	80	0
4102	555762	1	4	716	1	Petr	Keřka	M	Ing.		47	dopravní inženýr	Žlutice	99	716	0
4102	555762	1	4	716	2	Martin	Bílý	M			42	technik drážních staveb	Žlutice	99	716	0
4102	555762	1	4	716	3	Marcela	Businská	F			39	úřednice	Žlutice	99	716	0
4102	555762	1	4	716	4	Václav	Bradáč	M	Ing.		65	zemědělský inženýr	Žlutice	99	716	0
4102	555762	1	4	716	5	Petr	Smrčka	M			71	důchodce	Žlutice	99	716	0
4102	555762	1	4	716	6	Jan	Schmid	M			22	technik výrobních zařízení	Žlutice	99	716	0
4102	555762	1	4	716	7	Václav	Němec	M			65	důchodce	Žlutice	99	716	0
4102	555762	1	4	716	8	Petr	Manych	M			29	technik silnoproudých zařízení	Žlutice	99	716	0
4102	555762	1	4	716	9	Martin	Nepraš	M			39	řidič	Žlutice	99	716	0
4102	555762	1	4	716	10	Dana	Kopelentová	F			49	kosmetička	Žlutice	99	716	0
4102	555762	1	4	716	11	Petr	Smrčka	M			45	svářeč	Žlutice	99	716	0
4102	555762	1	4	716	12	Jaroslav	Smítka	M			55	řidič	Žlutice	99	716	0
4102	555762	1	4	716	13	Jiří	Keřka	M			69	důchodce	Žlutice	99	716	0
4102	555762	1	4	716	14	Dagmar	Schmidová	F			46	účetní	Žlutice	99	716	0
4102	555762	1	4	716	15	Iveta	Smrčková	F			35	poštovní doručovatelka	Žlutice	99	716	0
4102	555762	1	5	112	1	Jaroslav	Růžek	M	Ing.		47	elektrotechnik	Žlutice	99	112	0
4102	555762	1	5	112	2	Hana	Hnyková	F	MUDr.		50	zubní lékařka	Žlutice	99	112	0
4102	555762	1	5	112	3	Radek	Štěrba	M	Bc.		43	státní zaměstnanec	Žlutice	99	112	0
4102	555762	1	5	112	4	Zdeňka	Mašková	F			33	pedikérka	Žlutice	99	112	0
4102	555762	1	5	112	5	Miloslav	Bubník	M			44	technik VaK	Žlutice	99	112	0
4102	555762	1	5	112	6	Martina	Bártová	F			43	účetní	Žlutice	99	112	0
4102	555762	1	5	112	7	Jana	Pagáčová	F			42	zdravotní sestra	Žlutice	99	112	0
4102	555762	1	5	112	8	Štěpánka	Vopatová	F			39	pracovník v sociálních službách	Žlutice	99	112	0
4102	555762	1	5	112	9	Zdeněk	Straka	M			59	technik	Žlutice	47	112	0
4102	555762	1	5	112	10	Pavla	Mutinská	F	Bc.		22	studentka	Žlutice	99	112	0
4102	555762	1	5	112	11	Marie	Balintová	F			60	důchodkyně	Žlutice	99	112	0
4102	555762	1	5	112	12	Vladimír	Mutinský	M	Ing.		59	projektant	Žlutice	99	112	0
4102	555762	1	5	112	13	Petra	Vojtová	F			48	dentální hygienička	Žlutice	99	112	0
4102	555762	1	5	112	14	Jaroslava	Homolová	F			65	důchodkyně	Žlutice	99	112	0
4102	555762	1	5	112	15	Pavel	Bank	M			68	důchodce	Žlutice	99	112	0
4102	555762	1	6	721	1	Miroslava	Mutinská	F	PhDr.		53	učitelka	Žlutice	99	721	0
4102	555762	1	6	721	2	Jitka	Brodská	F	Mgr.		40	účetní	Žlutice	99	721	0
4102	555762	1	6	721	3	Dagmar	Hutkayová	F	Ing.		48	OSVČ	Žlutice	99	721	0
4102	555762	1	6	721	4	Jaroslav	Vojta	M	Ing.		48	vedoucí provozu - Úprava vody	Žlutice	99	721	0
4102	555762	1	6	721	5	Michal	Hnyk	M	Ing.		54	OSVČ	Žlutice	99	721	0
4102	555762	1	6	721	6	Miroslav	Homola	M	Ing.		65	šafář	Žlutice	99	721	0
4102	555762	1	6	721	7	Jaroslav	Novák	M	Ing.		59	OSVČ	Žlutice	99	721	0
4102	555762	1	6	721	8	Petr	Sulek	M			43	OSVČ	Žlutice	99	721	0
4102	555762	1	6	721	9	Alena	Fialová	F			55	účetní	Žlutice	99	721	0
4102	555762	1	6	721	10	Ilona	Šimkaninová	F			52	zdravotní sestra	Žlutice	99	721	0
4102	555762	1	6	721	11	Klára	Petriláková	F			45	zootechnik	Žlutice	99	721	0
4102	555762	1	6	721	12	Ivana	Bradáčová	F	Ing.		63	důchodce	Žlutice	99	721	0
4102	555762	1	6	721	13	Romana	Borusíková	F	Ing.		54	kulturně-výchovný pracovník	Žlutice	99	721	0
4102	555762	1	6	721	14	František	Lebeda	M			61	stavební technik	Žlutice	99	721	0
4102	555762	1	6	721	15	Miroslav	Bárta	M			53	správní inspektor	Žlutice	99	721	0
4102	555762	1	7	1	1	Václav	Slavík	M	Mgr. Bc.		40	starosta, učitel	Žlutice	1	1	0
4102	555762	1	7	1	2	Alois	Minář	M			47	vedoucí závodu	Žlutice	1	1	0
4102	555762	1	7	1	3	Emílie	Špidrová	F			60	vychovatelka	Žlutice	99	1	0
4102	555762	1	7	1	4	Vladimír	Hustovský	M			61	inspektor prodeje	Žlutice	99	1	0
4102	555762	1	7	1	5	Viktorie	Vrbová	F			21	studentka	Žlutice	99	1	0
4102	555762	1	7	1	6	Martin	Skala	M			28	vedoucí skladu	Žlutice	99	1	0
4102	555762	1	7	1	7	Marie	Hykšová	F			54	prodavačka	Žlutice	99	1	0
4102	555762	1	7	1	8	Kateřina	Poulová	F			25	zdravotní sestra	Žlutice	99	1	0
4102	555762	1	7	1	9	Martin	Oláh	M			29	asistent prevence kriminality	Žlutice	99	1	0
4102	555762	1	7	1	10	Terezie	Bremová	F			51	učitelka	Žlutice	99	1	0
4102	555762	1	7	1	11	Eva	Hovorková	F			44	vedoucí vychovatelka	Žlutice	99	1	0
4102	555762	1	7	1	12	Pavel	Biel	M			39	přípravář	Žlutice	99	1	0
4102	555762	1	7	1	13	Přemysl	Šitta	M			35	stavbyvedoucí	Žlutice	99	1	0
4102	555762	1	7	1	14	Jan	Štípek	M			57	technik	Žlutice	99	1	0
4102	555762	1	7	1	15	Ivana	Horská	F			36	podnikatelka	Žlutice	99	1	0
4102	555762	1	8	53	1	Rostislav	Pilný	M			36	podnikatel	Žlutice	99	53	0
4102	555762	1	8	53	2	Jaromír	Fejt	M			39	podnikatel	Žlutice	53	53	0
4102	555762	1	8	53	3	Hilmar	Biel	M			73	důchodce	Žlutice	53	53	0
4102	555762	1	8	53	4	Jan	Hutkay	M			50	podnikatel	Žlutice	99	53	0
4102	555762	1	8	53	5	Tomáš	Ries	M			33	podnikatel	Žlutice	99	53	0
4102	555762	1	8	53	6	Bedřiška	Pilná	F			63	ekonomka	Žlutice	99	53	0
4102	555762	1	8	53	7	Kateřina	Votočková	F			36	řidička	Žlutice	53	53	0
4102	555762	1	8	53	8	Jana	Vaněčková	F			22	studentka	Žlutice	99	53	0
4102	555762	1	8	53	9	Daniel	Hnyk	M			21	student	Žlutice	99	53	0
4102	555762	1	8	53	10	Jana	Jedličková	F			72	úřednice	Žlutice	53	53	0
4102	555762	1	8	53	11	Marta	Wašková	F			73	důchodkyně	Žlutice	53	53	0
4102	555762	1	8	53	12	Jaroslav	Faldus	M			41	truhlář	Žlutice	99	53	0
4102	555762	1	8	53	13	Stanislava	Outolná	F			44	pracovnice školy	Žlutice	53	53	0
4102	555762	1	8	53	14	Vlastimil	Jiřinec	M			41	mechanik	Žlutice	53	53	0
4102	555762	1	8	53	15	Pavel	Drapák	M			65	důchodce	Žlutice	53	53	0
4102	555762	1	9	714	1	Miroslav	Zeman	M	Mgr.		32	programátor řídicích systémů	Žlutice	99	714	0
4102	555762	1	9	714	2	Roman	Pagáč	M			51	vedoucí technik	Žlutice	99	714	0
4102	555762	1	9	714	3	Miroslav	Košnář	M			60	nezaměstnaný	Žlutice	99	714	0
4102	555762	1	9	714	4	Dana	Krylová	F		DiS.	48	sociální pracovnice	Žlutice	99	714	0
4102	555762	1	9	714	5	Jiří	Lacina	M			66	důchodce	Žlutice	99	714	0
