OKRES	KODZASTUP	COBVODU	POR_STR_HL	OSTRANA	PORCISLO	JMENO	PRIJMENI	TITULPRED	TITULZA	VEK	POVOLANI	BYDLISTEN	PSTRANA	NSTRANA	PLATNOST	POHLAVI
8103	599158	1	1	7	1	Zdeněk	Skotnica	Bc.		37	učitel základní školy	Těrlicko - Horní Těrlicko	7	7	0	M
8103	599158	1	2	1	1	Josef	Macura	Ing.		61	místostarosta	Těrlicko - Hradiště	1	1	0	M
8103	599158	1	3	401	1	Martin	Polášek	Bc.		43	starosta, člen zast. Moravskoslez. kraje, ekonom	Těrlicko - Horní Těrlicko	88	88	0	M
8103	599158	1	4	47	1	Břetislav	Židek			51	strojvedoucí	Těrlicko - Horní Těrlicko	99	47	0	M
8103	599158	1	5	53	1	Jan	Kolář			45	OSVČ - řeznictví	Těrlicko - Horní Těrlicko	53	53	0	M
8103	599158	1	6	721	1	Milan	Malatinský	Ing.		50	podnikatel v oboru stavebnictví	Těrlicko - Horní Těrlicko	99	721	0	M
8103	599158	1	7	392	1	Barbara	Smugala	Mgr.		51	ředitelka školy	Těrlicko - Horní Těrlicko	99	72	0	F
8103	599158	1	1	7	2	Marcel	Olšar			46	úředník státní správy a samosprávy	Těrlicko - Horní Těrlicko	7	7	0	M
8103	599158	1	2	1	2	Jaromír	Žvak	Ing.		50	podnikatel-obchodník	Těrlicko - Horní Těrlicko	99	1	0	M
8103	599158	1	3	401	2	Vanda	Bielecká	JUDr.		61	právník	Těrlicko - Horní Těrlicko	99	80	0	F
8103	599158	1	4	47	2	Irena	Pospěchová			56	učitelka	Těrlicko - Hradiště	99	47	0	F
8103	599158	1	5	53	2	Vladimír	Vlček		DiS.	36	manažer námořní a letecké dopravy	Těrlicko - Horní Těrlicko	53	53	0	M
8103	599158	1	6	721	2	Martin	Šotek			37	jednatel společnosti-prodej autodoplňků	Těrlicko - Horní Těrlicko	99	721	0	M
8103	599158	1	7	392	2	Tadeáš	Parzyk			63	důchodce	Těrlicko - Horní Těrlicko	99	72	0	M
8103	599158	1	1	7	3	Renata	Dudová	Mgr.		63	důchodce, býv. ředitelka ZŠ	Těrlicko - Horní Těrlicko	7	7	0	F
8103	599158	1	2	1	3	Eva	Bilanová	Ing.		53	ved. účetní	Těrlicko - Horní Těrlicko	1	1	0	F
8103	599158	1	3	401	3	Anna	Mašinská			54	administrativní pracovník	Těrlicko - Hradiště	88	88	0	F
8103	599158	1	4	47	3	Lubomír	Huserek			40	technik	Těrlicko - Hradiště	47	47	0	M
8103	599158	1	5	53	3	Ivan	Šnapka	Ing.		50	stavební inženýr	Těrlicko - Horní Těrlicko	99	53	0	M
8103	599158	1	6	721	3	Richard	Špaček	MUDr.		31	lékař - gynekolog	Těrlicko - Horní Těrlicko	99	721	0	M
8103	599158	1	7	392	3	Marek	David			20	student	Těrlicko - Horní Těrlicko	99	80	0	M
8103	599158	1	1	7	4	Miroslav	Futerko			58	státní zaměstnanec PČR	Těrlicko - Horní Těrlicko	7	7	0	M
8103	599158	1	2	1	4	Petr	Tajsler			26	řezník-uzenář	Těrlicko - Hradiště	99	1	0	M
8103	599158	1	3	401	4	Iveta	Chalupová	Mgr.		48	ředitelka školy	Těrlicko - Dolní Těrlicko	88	88	0	F
8103	599158	1	4	47	4	Tomáš	Adámek			31	seřizovač	Těrlicko - Hradiště	99	47	0	M
8103	599158	1	5	53	4	Lukáš	Mervart			31	zaměstnanec soukromé firmy	Těrlicko - Horní Těrlicko	53	53	0	M
8103	599158	1	6	721	4	Kateřina	Klimšová	Ing.		46	ekonomka	Těrlicko - Horní Těrlicko	99	721	0	F
8103	599158	1	7	392	4	Irena	Wlosoková	Mgr.		31	knihovnice	Těrlicko - Horní Těrlicko	99	72	0	F
8103	599158	1	1	7	5	Jaroslav	Goj	Mgr.		38	středoškolský učitel	Těrlicko - Horní Těrlicko	99	7	0	M
8103	599158	1	2	1	5	Jiří	Valíček	Ing.		53	technik	Těrlicko - Horní Těrlicko	99	1	0	M
8103	599158	1	3	401	5	Vavřinec	Fójcik	Ing.		54	inženýr železniční dopravy	Těrlicko - Horní Těrlicko	99	80	0	M
8103	599158	1	4	47	5	Miluše	Sojková			35	OSVČ	Těrlicko - Horní Těrlicko	99	47	0	F
8103	599158	1	5	53	5	Roman	Węglorz			47	jednatel firmy	Těrlicko - Horní Těrlicko	53	53	0	M
8103	599158	1	6	721	5	Nataša	Malatinská	RNDr.		50	doktorka přírodních věd	Těrlicko - Horní Těrlicko	99	721	0	F
8103	599158	1	7	392	5	Helena	Glacová			33	referentka inkasa	Těrlicko - Horní Těrlicko	99	80	0	F
8103	599158	1	1	7	6	Kateřina	Lichtblauová			24	student VŠ - Slezská univerzita	Těrlicko - Hradiště	7	7	0	F
8103	599158	1	2	1	6	Marian	Farnik			40	správce IT	Těrlicko - Hradiště	99	1	0	M
8103	599158	1	3	401	6	Karel	Sobel			42	strážný	Těrlicko - Hradiště	88	88	0	M
8103	599158	1	4	47	6	Jiří	Barabosz			67	důchodce	Těrlicko - Horní Těrlicko	47	47	0	M
8103	599158	1	5	53	6	Antonín	Waszek			51	inspektor jakosti	Těrlicko - Horní Těrlicko	53	53	0	M
8103	599158	1	6	721	6	Jana	Mojžyszková			49	technická pracovnice	Těrlicko - Horní Těrlicko	99	721	0	F
8103	599158	1	7	392	6	Hedvika	Sperlingová			75	důchodkyně	Těrlicko - Horní Těrlicko	99	72	0	F
8103	599158	1	1	7	7	Josef	Malysiak			57	dělník ve skladu	Těrlicko - Dolní Těrlicko	7	7	0	M
8103	599158	1	2	1	7	Pavel	Říčan			68	důchodce	Těrlicko - Horní Těrlicko	99	1	0	M
8103	599158	1	3	401	7	Stanislav	Putniorz			55	fyzioterapeut	Těrlicko - Horní Těrlicko	99	80	0	M
8103	599158	1	4	47	7	Jiřina	Gašková			62	důchodce	Těrlicko - Hradiště	47	47	0	F
8103	599158	1	5	53	7	Karel	Ilek			58	frézař	Těrlicko - Horní Těrlicko	53	53	0	M
8103	599158	1	6	721	7	Kristina	Czechová			55	loutkoherečka	Těrlicko - Horní Těrlicko	99	721	0	F
8103	599158	1	7	392	7	Barbara	Smigová			33	fyzioterapeutka	Těrlicko - Horní Těrlicko	99	80	0	F
8103	599158	1	1	7	8	Renata	Bubová			45	péče o osobu blízkou	Těrlicko - Horní Těrlicko	7	7	0	F
8103	599158	1	2	1	8	Anna	Krzystková	MUDr.		53	lékařka	Těrlicko - Horní Těrlicko	99	1	0	F
8103	599158	1	3	401	8	Jiří	Nutil	Ing.		25	strojní inženýr	Těrlicko - Horní Těrlicko	99	80	0	M
8103	599158	1	4	47	8	Daniel	Židek			21	elektrotechnik	Těrlicko - Horní Těrlicko	99	47	0	M
8103	599158	1	5	53	8	Martin	Chvojka			44	vedoucí pracovník	Těrlicko - Horní Těrlicko	99	53	0	M
8103	599158	1	6	721	8	Zdeněk	Klvaček			39	horník	Těrlicko - Horní Těrlicko	99	721	0	M
8103	599158	1	7	392	8	Karel	Juroszek			59	manipulant rozvodny	Těrlicko - Hradiště	99	80	0	M
8103	599158	1	1	7	9	Lukáš	Skoč			27	operátor (ASCARI)	Těrlicko - Horní Těrlicko	7	7	0	M
8103	599158	1	2	1	9	Josef	Sliwka			68	důchodce	Těrlicko - Hradiště	99	1	0	M
8103	599158	1	3	401	9	Radomíra	Jašková	Mgr.		48	ředitelka školy	Těrlicko - Horní Těrlicko	99	80	0	F
8103	599158	1	4	47	9	Jarmila	Ohlídalová			61	důchodce	Těrlicko - Horní Těrlicko	99	47	0	F
8103	599158	1	5	53	9	Lucie	Babičová			20	studentka	Těrlicko - Horní Těrlicko	99	53	0	F
8103	599158	1	6	721	9	Lydie	Vašková	Mgr.		66	zástupkyně ředitele základní školy v důchodu	Těrlicko - Horní Těrlicko	99	721	0	F
8103	599158	1	7	392	9	Zbigniew	Folwarczny			37	servisní technik	Těrlicko - Dolní Těrlicko	99	80	0	M
8103	599158	1	1	7	10	Renata	Barteczková			45	pracovník v sociálních službách	Těrlicko - Horní Těrlicko	99	7	0	F
8103	599158	1	2	1	10	Zdeněk	Pawlica			47	technik	Těrlicko - Horní Těrlicko	99	1	0	M
8103	599158	1	3	401	10	Martin	Kubeczka	Ing.		35	policista	Těrlicko - Horní Těrlicko	99	80	0	M
8103	599158	1	4	47	10	René	Grutman			43	elektrotechnik	Těrlicko - Horní Těrlicko	99	47	0	M
8103	599158	1	5	53	10	Tereza	Šnapková			23	studentka	Těrlicko - Horní Těrlicko	99	53	0	F
8103	599158	1	6	721	10	Markéta	Gertnerová			18	studentka	Těrlicko - Horní Těrlicko	99	721	0	F
8103	599158	1	7	392	10	František	Morawiec			67	důchodce	Těrlicko - Horní Těrlicko	99	80	0	M
8103	599158	1	1	7	11	Hana	Kubíčková			57	referent odboru kontroly	Těrlicko - Hradiště	7	7	0	F
8103	599158	1	2	1	11	Jan	Smiga	Mgr.		35	úředník	Těrlicko - Horní Těrlicko	99	1	0	M
8103	599158	1	3	401	11	Roman	Čmiel	Ing.		49	soudní znalec	Těrlicko - Dolní Těrlicko	99	80	0	M
8103	599158	1	4	47	11	Tomáš	Jurosz			44	řidič	Těrlicko - Hradiště	99	47	0	M
8103	599158	1	5	53	11	Miroslav	Koláček			67	důchodce	Těrlicko - Horní Těrlicko	99	53	0	M
8103	599158	1	6	721	11	Pavel	Mojžyszek			50	bagrista	Těrlicko - Horní Těrlicko	99	721	0	M
8103	599158	1	7	392	11	Jan	Przywara			58	grafik PC	Těrlicko - Hradiště	99	72	0	M
8103	599158	1	1	7	12	Milan	Schneider			55	technolog	Těrlicko - Horní Těrlicko	7	7	0	M
8103	599158	1	2	1	12	Martin	Turoň			46	technik	Těrlicko - Horní Těrlicko	99	1	0	M
8103	599158	1	3	401	12	Ján	Majer	MUDr.		54	primář	Těrlicko - Horní Těrlicko	99	80	0	M
8103	599158	1	4	47	12	Josef	Grutman			72	důchodce	Těrlicko - Horní Těrlicko	47	47	0	M
