OKRES	KODZASTUP	COBVODU	POR_STR_HL	OSTRANA	PORCISLO	JMENO	PRIJMENI	TITULPRED	TITULZA	VEK	POVOLANI	BYDLISTEN	PSTRANA	NSTRANA	PLATNOST	POHLAVI
7201	588903	1	1	47	1	Jiří	Mrázek	Ing.		63	podnikatel	Prusinovice	99	47	0	M
7201	588903	1	2	7	1	František	Mikeška			58	dělník	Prusinovice	99	7	0	M
7201	588903	1	3	901	1	Květoslava	Smolková			60	starostka	Prusinovice	99	80	0	F
7201	588903	1	4	1	1	Alois	Večeřa			51	podnikatel Sanita Car s.r.o.	Prusinovice	99	1	0	M
7201	588903	1	1	47	2	Olga	Nedbalová	Ing.		44	ved. obchod. ref.	Prusinovice	99	47	0	F
7201	588903	1	2	7	2	Jaroslav	Koplík	MVDr.		59	veterinární lékař, OSVČ	Prusinovice	99	7	0	M
7201	588903	1	3	901	2	Leoš	Mach	Mgr.		45	farář ČCE	Prusinovice	99	80	0	M
7201	588903	1	4	1	2	Zbyněk	Žákovský			40	zootechnik	Prusinovice	99	1	0	M
7201	588903	1	1	47	3	Milan	Janík			62	technik	Prusinovice	47	47	0	M
7201	588903	1	2	7	3	Ivana	Sklenářová			44	mzdová účetní	Prusinovice	99	7	0	F
7201	588903	1	3	901	3	Miroslav	Tobolík			35	OSVČ	Prusinovice	99	80	0	M
7201	588903	1	4	1	3	Petr	Janů			34	elektrikář	Prusinovice	99	1	0	M
7201	588903	1	1	47	4	Josef	Hausknecht			60	důchodce	Prusinovice	99	47	0	M
7201	588903	1	2	7	4	Marie	Koplíková			57	účetní	Prusinovice	99	7	0	F
7201	588903	1	3	901	4	Monika	Kudlová			40	zaměstnanec	Prusinovice	99	80	0	F
7201	588903	1	4	1	4	David	Dvorník	Ing.		32	technik IT	Prusinovice	99	1	0	M
7201	588903	1	1	47	5	Josef	Sklenář			61	důchodce	Prusinovice	47	47	0	M
7201	588903	1	2	7	5	Marek	Bečka			22	zootechnik	Prusinovice	99	7	0	M
7201	588903	1	3	901	5	Lubomír	Papežík			63	důchodce	Prusinovice	99	80	0	M
7201	588903	1	4	1	5	Ingrid	Vaculíková			45	pracovník v soc. službách OCH Bystřice p.Host.	Prusinovice	1	1	0	F
7201	588903	1	1	47	6	Josef	Pumprla			61	důchodce	Prusinovice	99	47	0	M
7201	588903	1	2	7	6	Romana	Kneislová			51	prodavačka	Prusinovice	99	7	0	F
7201	588903	1	3	901	6	Daniela	Mrázková			47	zaměstnanec	Prusinovice	99	80	0	F
7201	588903	1	4	1	6	Jaroslav	Karásek	Ing.		47	technik	Prusinovice	99	1	0	M
7201	588903	1	1	47	7	Jaromír	Navrátil			52	dělník	Prusinovice	47	47	0	M
7201	588903	1	2	7	7	Ludmila	Beránková			52	poštovní doručovatelka	Prusinovice	7	7	0	F
7201	588903	1	3	901	7	Ivan	Mikulík			45	zaměstnanec	Prusinovice	99	80	0	M
7201	588903	1	4	1	7	Martin	Lipner			23	brusič	Prusinovice	99	1	0	M
7201	588903	1	4	1	8	Věra	Zmeškalová			47	úřednice	Prusinovice	99	1	0	F
7201	588903	1	4	1	9	Marie	Vybíralová			42	ekonomka	Prusinovice	99	1	0	F
