OKRES	KODZASTUP	COBVODU	POR_STR_HL	OSTRANA	PORCISLO	JMENO	PRIJMENI	POHLAVI	TITULPRED	TITULZA	VEK	POVOLANI	BYDLISTEN	PSTRANA	NSTRANA	PLATNOST
5103	564044	1	1	903	1	Jiří	Horák	M			58	starosta města	Hejnice	99	80	0
5103	564044	1	1	903	2	Jan	Kašpar	M	Mgr.		53	ředitel základní školy	Hejnice	99	80	0
5103	564044	1	1	903	3	Alena	Dvořáková	F	Ing.		59	ředitelka střední školy	Hejnice	99	80	0
5103	564044	1	1	903	4	Libor	Juklíček	M			50	vedoucí provozu ASA	Hejnice	99	80	0
5103	564044	1	1	903	5	Petr	Zoreník	M			33	policista	Hejnice	99	80	0
5103	564044	1	1	903	6	Milan	Pecháček	M			49	mechanik SME	Hejnice	99	80	0
5103	564044	1	1	903	7	Vlastimil	Zoreník	M			33	duchovní	Hejnice	99	80	0
5103	564044	1	1	903	8	Michaela	Štainbruchová	F	Mgr.		48	učitelka	Hejnice	99	80	0
5103	564044	1	1	903	9	Roman	Finkous	M	Bc.		41	logistik	Hejnice	99	80	0
5103	564044	1	1	903	10	Helmut	Michel	M			57	řemeslník	Ferdinandov	99	80	0
5103	564044	1	1	903	11	Marie	Kolačná	F	Mgr.		40	učitelka	Hejnice	99	80	0
5103	564044	1	1	903	12	Milan	Hubáček	M	Mgr.		62	zástupce ředitele ZŠ	Hejnice	99	80	0
5103	564044	1	1	903	13	Michaela	Čumpelíková	F	Mgr.		44	učitelka	Hejnice	99	80	0
5103	564044	1	1	903	14	Alena	Kusá	F			58	vedoucí mateřské školy	Hejnice	99	80	0
5103	564044	1	1	903	15	Milan	Hradil	M	Ing.		57	učitel	Hejnice	99	80	0
5103	564044	1	2	901	1	Jaroslav	Demčák	M			36	místostarosta města Hejnice, člen rady města	Ferdinandov	99	80	0
5103	564044	1	2	901	2	Kryštof	Špidla	M	Mgr.	Ph.D.	38	profesor Gymnázia Frýdlant, zastupitel města	Hejnice	99	80	0
5103	564044	1	2	901	3	Dagmar	Berková	F			44	farmaceutická laborantka Lékárny Hejnice	Hejnice	99	80	0
5103	564044	1	2	901	4	Jan	Gašpierik	M			40	mistr ve firmě Magna Bohemia, člen rady města	Hejnice	99	80	0
5103	564044	1	2	901	5	Alena	Henclová	F			55	vedoucí mzdová účetní společnosti Knorr-Bremse	Ferdinandov	99	80	0
5103	564044	1	2	901	6	Petr	Návesník	M			41	instruktor fitness MINA, zastupitel města	Hejnice	99	80	0
5103	564044	1	2	901	7	Jiří	Šimon	M			34	vedoucí směny-seřizovač CNC v TRW Frýdlant	Hejnice	99	80	0
5103	564044	1	2	901	8	Pavel	Zoreník	M			39	vychovatel Lesnické školy Hejnice,zastupitel města	Hejnice	99	80	0
5103	564044	1	2	901	9	Antonín	Nosek	M			37	vychovatel Domova mládeže Zeyerova v Liberci	Hejnice	99	80	0
5103	564044	1	2	901	10	Jiří	Jirounek	M			50	profesionální hasič HZS Liberec, stanice Raspenava	Hejnice	99	80	0
5103	564044	1	2	901	11	Anna	Votavová	F			21	studentka ekonomie na TU v Liberci	Hejnice	99	80	0
5103	564044	1	2	901	12	Milan	Polanský	M			34	provozovatel restaurace Dělnický dům Hejnice	Hejnice	99	80	0
5103	564044	1	2	901	13	Luděk	Mazánek	M			45	učitel OV Lesnické školy Hejnice	Hejnice	99	80	0
5103	564044	1	2	901	14	Michal	Nový	M			36	OSVČ, Autodoprava a zemní práce Nový Hejnice	Hejnice	99	80	0
5103	564044	1	2	901	15	Eva	Veitová	F			64	důchodkyně, spoluprovozovatelka autokempu Hejnice	Hejnice	99	80	0
5103	564044	1	3	902	1	Lucie	Podhorová	F	Ing.	MSc.	36	personalistka	Hejnice	99	80	0
5103	564044	1	3	902	2	Petr	Kozlovský	M	Mgr.		34	pedagog	Hejnice	99	80	0
5103	564044	1	3	902	3	Martin	Špetlík	M	Ing.		31	živnostník	Hejnice	99	80	0
5103	564044	1	3	902	4	Šárka	Mazánková	F	Mgr.		45	ochrana přírody	Hejnice	99	80	0
5103	564044	1	3	902	5	Dalibor	Zlámal	M			49	živnostník	Hejnice	99	80	0
5103	564044	1	3	902	6	Ludvík	Špetlík	M			61	živnostník	Hejnice	99	80	0
5103	564044	1	3	902	7	Jan	Heinzl	M	PhDr.		35	jednatel	Hejnice	99	80	0
5103	564044	1	3	902	8	Bohumil	Voráček	M			54	kontrolor	Hejnice	99	80	0
5103	564044	1	3	902	9	Ilona	Hrdličková	F			63	senior	Hejnice	99	80	0
5103	564044	1	3	902	10	Libor	Stejskal	M	PhDr.	Ph.D.	37	vědecký pracovník	Hejnice	99	80	0
5103	564044	1	3	902	11	Jaroslav	Mrňávek	M			68	senior	Ferdinandov	99	80	0
5103	564044	1	3	902	12	Ondřej	Holec	M	Ing.		28	stavbyvedoucí	Hejnice	99	80	0
5103	564044	1	3	902	13	Boris	Hnik	M			60	školník	Hejnice	99	80	0
