OKRES	KODZASTUP	COBVODU	POR_STR_HL	OSTRANA	PORCISLO	JMENO	PRIJMENI	POHLAVI	TITULPRED	TITULZA	VEK	POVOLANI	BYDLISTEN	PSTRANA	NSTRANA	PLATNOST
5103	564397	1	1	901	1	Jan	Vacek	M	Ing.		26	referent marketingu	Rynoltice	99	80	0
5103	564397	1	1	901	2	Michal	Svoboda	M			40	manažer obchodního centra	Nová Starost	99	80	0
5103	564397	1	1	901	3	Martin	Kotek	M			42	OSVČ	Nová Starost	99	80	0
5103	564397	1	1	901	4	Ondřej	Špaček	M			40	OSVČ	Rynoltice	99	80	0
5103	564397	1	1	901	5	Soňa	Starečková Postlová	F			33	žena v domácnosti	Rynoltice	99	80	0
5103	564397	1	1	901	6	Karel	Mařík	M	Mgr.		64	specialista IPPC a OH	Polesí	99	80	0
5103	564397	1	1	901	7	Jiří	Postl	M			58	operátor linky	Rynoltice	99	80	0
5103	564397	1	1	901	8	Jana	Kotková	F			63	důchodkyně	Nová Starost	99	80	0
5103	564397	1	1	901	9	Jaroslav	Vacek	M			30	seřizovač	Rynoltice	99	80	0
5103	564397	1	1	901	10	Iveta	Pospíšilová	F	Mgr.		43	učitelka	Rynoltice	99	80	0
5103	564397	1	1	901	11	Martina	Dianová	F			43	předák směny	Rynoltice	99	80	0
5103	564397	1	1	901	12	Nikola	Zeidlerová	F			27	mateřská dovolená	Rynoltice	99	80	0
5103	564397	1	1	901	13	Jaroslav	Klimeš	M			34	OSVČ	Rynoltice	99	80	0
5103	564397	1	1	901	14	Tomáš	Hanzl	M			42	OSVČ	Rynoltice	99	80	0
5103	564397	1	1	901	15	Jiří	Mádr	M			41	OSVČ	Rynoltice	99	80	0
5103	564397	1	2	902	1	Libor	Koucký	M	Ing.		48	obchodní manažer hotelu	Rynoltice	99	80	0
5103	564397	1	2	902	2	Petra	Urbanová	F	Mgr.		34	učitelka ZŠ	Jítrava	99	80	0
5103	564397	1	2	902	3	Petr	Schlösinger	M	Ing.		47	technik	Jítrava	99	80	0
5103	564397	1	2	902	4	Markéta	Žatečková	F			33	referentka odbytu	Jítrava	99	80	0
5103	564397	1	2	902	5	Pavel	Žatečka	M	Ing.		33	controller	Jítrava	99	80	0
5103	564397	1	2	902	6	Eva	Strapková	F			46	obchodní zástupce	Jítrava	99	80	0
5103	564397	1	2	902	7	Miroslav	Lednický	M			62	soustružník	Jítrava	99	80	0
5103	564397	1	2	902	8	Roman	Prokop	M			40	technik	Jítrava	99	80	0
5103	564397	1	2	902	9	Libor	Konývka	M			54	řidič	Jítrava	99	80	0
5103	564397	1	2	902	10	Roman	Najmon	M			52	OSVČ	Jítrava	99	80	0
5103	564397	1	2	902	11	Lucie	Pflégrová	F	Ing.		32	OSVČ	Jítrava	99	80	0
5103	564397	1	2	902	12	Stanislav	Záhon	M			64	v důchodu	Jítrava	99	80	0
5103	564397	1	2	902	13	Karolína	Konývková	F			22	koordinátor dopravy	Jítrava	99	80	0
5103	564397	1	2	902	14	Karel	Fröml	M			42	OSVČ	Jítrava	99	80	0
5103	564397	1	2	902	15	Miroslav	Urban	M			44	seřizovač strojů	Jítrava	99	80	0
5103	564397	1	3	903	1	Miloš	Sehnal	M			48	mistr ve výrobě	Rynoltice	99	80	0
5103	564397	1	3	903	2	Jaroslav	Švanda	M			59	soukromý autodopravce	Rynoltice	99	80	0
5103	564397	1	3	903	3	Irena	Kubínková	F			54	zdravotní sestra	Rynoltice	99	80	0
5103	564397	1	3	903	4	Martina	Patková	F	Bc.		47	učitelka mateřské školy	Rynoltice	99	80	0
5103	564397	1	3	903	5	Michal	Stebelský	M			35	soukromý zemědělec	Rynoltice	99	80	0
5103	564397	1	3	903	6	Rudolf	Valný	M			67	důchodce	Jítrava	99	80	0
5103	564397	1	3	903	7	Pavlína	Zemanová	F			31	obsluha čerpací stanice	Rynoltice	99	80	0
5103	564397	1	3	903	8	Roman	Marek	M			39	slévač	Rynoltice	99	80	0
5103	564397	1	3	903	9	Jan	Krobauer	M			22	údržbář	Rynoltice	99	80	0
5103	564397	1	3	903	10	Ivan	Stebelský	M			66	důchodce	Rynoltice	99	80	0
5103	564397	1	3	903	11	Jana	Krajňaková	F			51	invalidní důchodce	Rynoltice	99	80	0
5103	564397	1	3	903	12	Michaela	Patková	F			26	účetní	Rynoltice	99	80	0
5103	564397	1	3	903	13	David	Sehnal	M			27	bankovní specialista	Rynoltice	99	80	0
5103	564397	1	3	903	14	Emília	Krajhanzlová	F			56	invalidní důchodce	Polesí	99	80	0
5103	564397	1	3	903	15	Michaela	Kvapilová	F			56	účetní	Rynoltice	99	80	0
