OKRES	KODZASTUP	COBVODU	POR_STR_HL	OSTRANA	PORCISLO	JMENO	PRIJMENI	POHLAVI	TITULPRED	TITULZA	VEK	POVOLANI	BYDLISTEN	PSTRANA	NSTRANA	PLATNOST
4205	567078	1	1	47	1	Patrik	Studnička	M			40	státní zaměstnanec	Brandov	99	47	0
4205	567078	1	1	47	2	Jiří	Vokřál	M	Ing. Bc.		43	státní zaměstnanec	Brandov	99	47	0
4205	567078	1	1	47	3	Richard	Schandara	M			46	OSVČ	Brandov	99	47	0
4205	567078	1	1	47	4	Michal	Váhal	M			41	technik	Brandov	99	47	0
4205	567078	1	1	47	5	Petra	Vokřálová	F	Ing.		42	vedoucí školní jídelny	Brandov	99	47	0
4205	567078	1	1	47	6	Marie	Myšáková	F			49	dělnice	Brandov	99	47	0
4205	567078	1	1	47	7	Robert	Strnad	M			50	řidič	Brandov	99	47	0
4205	567078	1	2	901	1	Jiří	Mooz	M			49	podnikatel	Brandov	99	80	0
4205	567078	1	2	901	2	Václav	Wild	M			68	důchodce	Brandov	99	80	0
4205	567078	1	2	901	3	Jiří	Mooz	M			25	záchranář	Brandov	99	80	0
4205	567078	1	2	901	4	Eliška	Šrettrová	F			42	technik	Brandov	99	80	0
4205	567078	1	2	901	5	Libuše	Wildová	F			67	důchodce	Brandov	99	80	0
4205	567078	1	2	901	6	Danuše	Grögerová	F			52	důchodce	Brandov	99	80	0
4205	567078	1	2	901	7	Marek	Hotový	M			27	živnostník	Brandov	99	80	0
4205	567078	1	3	902	1	Pavel	Riedl	M			41	řidič	Brandov	99	80	0
4205	567078	1	3	902	2	Ilona	Vítrová	F			46	čalounice	Brandov	99	80	0
4205	567078	1	3	902	3	Zbyněk	Vítr	M			51	řidič	Brandov	99	80	0
4205	567078	1	3	902	4	Petr	Lifka	M			52	údržbář	Brandov	99	80	0
4205	567078	1	3	902	5	Martin	Myšák	M			25	důlní zámečník	Brandov	99	80	0
4205	567078	1	3	902	6	Jiří	Hofman	M			49	řidič	Brandov	99	80	0
4205	567078	1	3	902	7	Klára	Orltová	F			21	studentka	Brandov	99	80	0
