OKRES	KODZASTUP	COBVODU	POR_STR_HL	OSTRANA	PORCISLO	JMENO	PRIJMENI	TITULPRED	TITULZA	VEK	POVOLANI	BYDLISTEN	PSTRANA	NSTRANA	PLATNOST	POHLAVI
8104	547000	1	1	1	1	Pavel	Hasalík			55	starosta	Životice u Nového Jičína	99	1	0	M
8104	547000	1	2	7	1	Josef	Surovec			63	důchodce	Životice u Nového Jičína	99	7	0	M
8104	547000	1	1	1	2	Gerald	Černoch			46	živnostník	Životice u Nového Jičína	1	1	0	M
8104	547000	1	2	7	2	Olga	Lošáková			36	operátor výroby	Životice u Nového Jičína	99	7	0	F
8104	547000	1	1	1	3	Monika	Hajná			42	místostarosta	Životice u Nového Jičína	1	1	0	F
8104	547000	1	2	7	3	Radek	Žerdík			48	OSVČ	Životice u Nového Jičína	99	7	0	M
8104	547000	1	1	1	4	Markéta	Mřihladová	Mgr.		39	pedagog	Životice u Nového Jičína	99	1	0	F
8104	547000	1	2	7	4	Jindřich	Žlebek			57	OSVČ	Životice u Nového Jičína	99	7	0	M
8104	547000	1	1	1	5	Vlasta	Kroutilová			62	důchodce	Životice u Nového Jičína	99	1	0	F
8104	547000	1	2	7	5	Jaroslav	Pítr			46	vedoucí provozu	Životice u Nového Jičína	99	7	0	M
8104	547000	1	1	1	6	Radomír	Hlaváček			46	živnostník	Životice u Nového Jičína	99	1	0	M
8104	547000	1	2	7	6	Jiří	Kunc			64	důchodce	Životice u Nového Jičína	99	7	0	M
8104	547000	1	1	1	7	Martin	Hromádka	Ing.		35	lesní inženýr	Životice u Nového Jičína	99	1	0	M
8104	547000	1	2	7	7	Josef	Třetina			66	důchodce	Životice u Nového Jičína	99	7	0	M
8104	547000	1	1	1	8	Tomáš	Černoch	Bc.		42	nákupčí	Životice u Nového Jičína	99	1	0	M
8104	547000	1	2	7	8	Jarmila	Thiniusová			45	operátor výroby	Životice u Nového Jičína	99	7	0	F
8104	547000	1	1	1	9	Zdeněk	Novotný	Ing.		50	manažer	Životice u Nového Jičína	99	1	0	M
8104	547000	1	2	7	9	Alena	Pítrová			48	dělnice	Životice u Nového Jičína	99	7	0	F
