OKRES	KODZASTUP	COBVODU	POR_STR_HL	OSTRANA	PORCISLO	JMENO	PRIJMENI	TITULPRED	TITULZA	VEK	POVOLANI	BYDLISTEN	PSTRANA	NSTRANA	PLATNOST	POHLAVI
5302	555134	1	1	538	1	František	Brendl			38	náměstek primátorky města Pardubic	Studánka	756	756	0	M
5302	555134	1	2	792	1	Vítězslav	Němec	Ing.		54	zaměstnanec ČOI	Studánka	99	792	0	M
5302	555134	1	3	449	1	Štěpánka	Fraňková	MUDr.		49	primátorka města, lékařka	Rosice	129	129	0	F
5302	555134	1	4	714	1	Michael	Bartoš	MUDr.		52	lékař	Bílé Předměstí	714	714	0	M
5302	555134	1	5	47	1	Václav	Snopek	Mgr.	CSc.	63	sociolog	Zelené Předměstí	47	47	0	M
5302	555134	1	6	5	1	Jiří	Čáslavka	Mgr.		42	ekonom	Bílé Předměstí	5	5	0	M
5302	555134	1	7	522	1	Jiří	Lejhanec	Ing.		49	podnikatel	Zelené Předměstí	99	80	0	M
5302	555134	1	8	53	1	Jiří	Janků	Ing.		37	ředitel společnosti, zakl. STARTUP CENTRA GoUP!	Zelené Předměstí	53	53	0	M
5302	555134	1	9	768	1	Martin	Charvát	Ing.		41	stavební inženýr, místopředseda představenstva RFP	Rosice	768	768	0	M
5302	555134	1	10	88	1	Ladislava	Karbanová	Bc.	DiS.	61	zaměst. statut. města Pardubice - MO Pardubice VI	Lány na Důlku	88	88	0	F
5302	555134	1	11	480	1	Jan	Němec			43	radní města Pardubice, člen představenstva EBA	Polabiny	721	721	0	M
5302	555134	1	12	7	1	Vladimír	Ninger	MUDr.	Ph.D.	50	ředitel nemocnice a lékař	Bílé Předměstí	7	7	0	M
5302	555134	1	13	339	1	František	Weisbauer	Ing.		51	ekolog	Cihelna	1	1	0	M
5302	555134	1	14	537	1	Filip	Sedlák	Mgr.		30	obchodní zástupce, sportovní trenér, fotograf	Bílé Předměstí	782	782	0	M
5302	555134	1	15	483	1	Miloslav	Tamchyna	Ing.		64	majitel společností, podnikatel	Bílé Předměstí	724	724	0	M
5302	555134	1	16	1073	1	Petr	Králíček			33	starosta MO VI	Popkovice	790	790	0	M
5302	555134	1	17	155	1	Jiří	Topolský			51	podnikatel	Dražkovice	99	155	0	M
5302	555134	1	1	538	2	Milan	Košař	Ing. arch.		68	architekt	Bílé Předměstí	99	756	0	M
5302	555134	1	2	792	2	Ladislav	Minařík	Ing.		60	emeritní velitel letectva AČR	Zelené Předměstí	99	792	0	M
5302	555134	1	3	449	2	Petr	Beneš	Ing.		52	ředitel správní společnosti a daňový poradce	Zelené Předměstí	99	80	0	M
5302	555134	1	4	714	2	Zdeněk	Přikryl	Ing.		48	živnostník	Polabiny	714	714	0	M
5302	555134	1	5	47	2	Pavel	Studnička			61	trenér atletiky	Nové Jesenčany	47	47	0	M
5302	555134	1	6	5	2	Olga	Pavlů			36	vedoucí rodinného centra	Zelené Předměstí	5	5	0	F
5302	555134	1	7	522	2	Jan	Kristl	Ing.		54	ekonom	Zelené Předměstí	99	80	0	M
5302	555134	1	8	53	2	Petr	Klimpl	Ing.		59	ředitel Úřadu práce v Pardubicích, trenér mládeže	Zelené Předměstí	53	53	0	M
5302	555134	1	9	768	2	Helena	Dvořáčková	Ing.		57	projektant, jednatel projekční společnosti	Svítkov	768	768	0	F
5302	555134	1	10	88	2	Dušan	Kvasnička	Mgr.		29	administrativní prac. handicap centra Křižovatka	Zelené Předměstí	99	88	0	M
5302	555134	1	11	480	2	Libor	Slezák	Ing.	CSc.	61	specialista v radiolokaci	Lány na Důlku	721	721	0	M
5302	555134	1	12	7	2	Vítězslav	Novohradský	MUDr.	Ph.D.	55	všeobecné praktické lékařství	Studánka	7	7	0	M
5302	555134	1	13	339	2	Drahomíra	Peřinová	MUDr.		61	pediatr	Studánka	99	181	0	F
5302	555134	1	14	537	2	Petr	Novotný	Ing.	Ph.D., MBA	50	dopr. inženýr, projektant, autor dopr. řešení	Zelené Předměstí	99	80	0	M
5302	555134	1	15	483	2	Marcela	Kozerová	Mgr.		69	předseda MO Svazu tělesně postižených	Polabiny	724	724	0	F
