OKRES	KODZASTUP	COBVODU	POR_STR_HL	OSTRANA	PORCISLO	JMENO	PRIJMENI	POHLAVI	TITULPRED	TITULZA	VEK	POVOLANI	BYDLISTEN	PSTRANA	NSTRANA	PLATNOST
3104	562165	1	1	902	1	Jiří	Kloboučník	M			43	truhlář	Zvíkovské Podhradí	99	80	0
3104	562165	1	1	902	2	Rostislav	Matuška	M			41	podnikatel	Zvíkovské Podhradí	99	80	0
3104	562165	1	1	902	3	Petr	Grill	M			36	poříčný	Zvíkovské Podhradí	99	80	0
3104	562165	1	1	902	4	Karel	Keřka	M			62	důchodce	Zvíkovské Podhradí	99	80	0
3104	562165	1	1	902	5	Josef	Kozelka	M			39	podnikatel	Zvíkovské Podhradí	99	80	0
3104	562165	1	1	902	6	Lukáš	Rentka	M			25	podnikatel	Zvíkovské Podhradí	99	80	0
3104	562165	1	1	902	7	Jan	Klimenda	M			24	truhlář	Zvíkovské Podhradí	99	80	0
3104	562165	1	1	902	8	Blanka	Kloboučníková	F			41	kuchařka	Zvíkovské Podhradí	99	80	0
3104	562165	1	1	902	9	Luboš	Kantor	M			46	dělník	Zvíkovské Podhradí	99	80	0
3104	562165	1	2	901	1	Miluše	Klimendová	F			49	podnikatelka	Zvíkovské Podhradí	99	80	0
3104	562165	1	2	901	2	Helena	Žydková-Smolková	F			61	vedoucí vychovatelka	Zvíkovské Podhradí	99	80	0
3104	562165	1	2	901	3	Olga	Suchanová	F			47	prodavačka	Zvíkovské Podhradí	99	80	0
3104	562165	1	2	901	4	Martina	Průšová	F			43	podnikatelka	Zvíkovské Podhradí	99	80	0
3104	562165	1	2	901	5	Jarmila	Jáchymová	F			49	servírka	Zvíkovské Podhradí	99	80	0
3104	562165	1	2	901	6	Helena	Fiřtová	F			35	na mateřské dovolené	Zvíkovské Podhradí	99	80	0
3104	562165	1	2	901	7	Božena	Vanická	F			44	uklízečka v MŠ	Zvíkovské Podhradí	99	80	0
3104	562165	1	2	901	8	Radka	Matušková	F			40	kuchařka	Zvíkovské Podhradí	99	80	0
3104	562165	1	2	901	9	Marie	Kubičková	F			52	vychovatelka	Zvíkovské Podhradí	99	80	0
3104	562165	1	3	801	1	Josef	Bárta	M			44	provozní	Zvíkovské Podhradí	99	80	0
3104	562165	1	4	802	1	František	Blažek	M			68	důchodce	Zvíkovské Podhradí	99	80	0
