OKRES	KODZASTUP	COBVODU	POR_STR_HL	OSTRANA	PORCISLO	JMENO	PRIJMENI	POHLAVI	TITULPRED	TITULZA	VEK	POVOLANI	BYDLISTEN	PSTRANA	NSTRANA	PLATNOST
7104	517909	1	1	1	1	Marek	Mynář	M			51	technik	Střítež nad Ludinou	99	1	0
7104	517909	1	1	1	2	Josef	Hynčica	M			55	traktorista	Střítež nad Ludinou	99	1	0
7104	517909	1	1	1	3	Bohumír	Škrhla	M			57	podnikatel	Střítež nad Ludinou	99	1	0
7104	517909	1	1	1	4	Hynek	Šatánek	M			45	opravář	Střítež nad Ludinou	99	1	0
7104	517909	1	1	1	5	Jaromír	Hapala	M			46	traktorista	Střítež nad Ludinou	99	1	0
7104	517909	1	1	1	6	Libor	Mík	M			50	podnikatel	Střítež nad Ludinou	99	1	0
7104	517909	1	1	1	7	Václav	Čoček	M			52	podnikatel	Střítež nad Ludinou	99	1	0
7104	517909	1	1	1	8	Jan	Šenk	M			47	elektrikář	Střítež nad Ludinou	99	1	0
7104	517909	1	1	1	9	Ivo	Kubica	M			50	zámečník	Střítež nad Ludinou	99	1	0
7104	517909	1	2	166	1	Zdeněk	Lév	M			51	místostarosta	Střítež nad Ludinou	99	166	0
7104	517909	1	2	166	2	Jana	Černá	F			51	referentka	Střítež nad Ludinou	99	166	0
7104	517909	1	2	166	3	Miloslav	Konečný	M			29	technik	Střítež nad Ludinou	99	166	0
7104	517909	1	2	166	4	Jana	Stržínková	F	Bc.		31	administrativní pracovnice	Střítež nad Ludinou	99	166	0
7104	517909	1	2	166	5	Vladimír	Sedláček	M	Ing.		50	systémový specialista	Střítež nad Ludinou	99	166	0
7104	517909	1	2	166	6	Petr	Švec	M	Ing.		49	technik	Střítež nad Ludinou	99	166	0
7104	517909	1	2	166	7	Eva	Wolframová	F	Mgr.		48	učitelka	Střítež nad Ludinou	99	166	0
7104	517909	1	2	166	8	Luboš	Bartoš	M	Ing.	Ph.D.	54	středoškolský učitel	Střítež nad Ludinou	99	166	0
7104	517909	1	2	166	9	Martina	Hapalová	F			42	referentka	Střítež nad Ludinou	99	166	0
7104	517909	1	3	53	1	Petr	Pajdla	M	Ing.		49	starosta	Střítež nad Ludinou	53	53	0
7104	517909	1	3	53	2	Jiří	Jordán	M	Mgr.		41	ředitel základní školy	Střítež nad Ludinou	99	53	0
7104	517909	1	3	53	3	Radim	Haitl	M			36	řezník	Střítež nad Ludinou	99	53	0
7104	517909	1	3	53	4	Hana	Mrkvová	F			56	podnikatelka	Střítež nad Ludinou	53	53	0
7104	517909	1	3	53	5	František	Holík	M			49	obchodní zástupce	Střítež nad Ludinou	99	53	0
7104	517909	1	3	53	6	Monika	Čočková	F	Mgr.		40	učitelka ZUŠ	Střítež nad Ludinou	99	53	0
7104	517909	1	3	53	7	Martin	Perůtka	M			29	hasič	Střítež nad Ludinou	99	53	0
7104	517909	1	3	53	8	Michal	Haitl	M			34	živnostník	Střítež nad Ludinou	99	53	0
7104	517909	1	3	53	9	Pavla	Maléřová	F			47	účetní	Střítež nad Ludinou	99	53	0
