OKRES	KODZASTUP	COBVODU	POR_STR_HL	OSTRANA	PORCISLO	JMENO	PRIJMENI	TITULPRED	TITULZA	VEK	POVOLANI	BYDLISTEN	PSTRANA	NSTRANA	PLATNOST	POHLAVI
3206	559725	1	1	905	1	Miroslav	Kroc	Ing. Mgr.		47	ekonom	Stupno	99	80	0	M
3206	559725	1	2	907	1	Václav	Procházka			54	zedník	Břasy	99	80	0	M
3206	559725	1	3	801	1	Václav	Fait			70	důchodce	Břasy	99	80	0	M
3206	559725	1	4	903	1	Tomáš	Hůlka	Ing.		38	vedoucí odboru školství a kultury	Stupno	99	80	0	M
3206	559725	1	5	906	1	Jan	Špilar	Ing.		43	manažer	Kříše	99	80	0	M
3206	559725	1	6	47	1	Marta	Prokopová			43	prodavačka	Břasy	99	47	0	F
3206	559725	1	7	908	1	Marek	Peer			40	řidič	Břasy	99	80	0	M
3206	559725	1	8	902	1	Petr	Kounovský	Mgr.		50	ředitel domova soc. služeb	Stupno	99	80	0	M
3206	559725	1	9	7	1	Jan	Kugler			47	strojvedoucí	Stupno	7	7	0	M
3206	559725	1	10	901	1	František	Bláha			61	starosta obce	Stupno	99	80	0	M
3206	559725	1	11	904	1	Petr	Kuncl			46	inspektor	Vranovice	99	80	0	M
3206	559725	1	1	905	2	Martin	Caletka	Mgr.		31	muzejník	Břasy	99	80	0	M
3206	559725	1	2	907	2	Jan	Lukáč			39	dělník	Břasy	99	80	0	M
3206	559725	1	4	903	2	Jana	Maixnerová	Bc.		63	knihovnice	Stupno	99	80	0	F
3206	559725	1	5	906	2	Jan	Dach			37	podnikatel	Stupno	99	80	0	M
3206	559725	1	6	47	2	Karel	Vlček			71	důchodce	Břasy	47	47	0	M
3206	559725	1	7	908	2	Marcel	Zrůst			39	řidič	Břasy	99	80	0	M
3206	559725	1	8	902	2	Miroslav	Kašák			73	důchodce	Kříše	99	80	0	M
3206	559725	1	9	7	2	Jaroslav	Šperl			45	dělník	Stupno	7	7	0	M
3206	559725	1	10	901	2	Robert	Fousek			62	řidič	Stupno	99	80	0	M
3206	559725	1	11	904	2	Vladimír	Vávra			43	soukromý zemědělec	Vranovice	99	80	0	M
3206	559725	1	1	905	3	Jaroslav	Ryba			49	živnostník	Stupno	99	80	0	M
3206	559725	1	2	907	3	Petr	Fridrich			52	OSVČ	Břasy	99	80	0	M
3206	559725	1	4	903	3	Ctirad	Zikmund			42	ředitel výrobního závodu	Stupno	99	80	0	M
3206	559725	1	5	906	3	Radek	Franta			34	technik kvality	Kříše	99	80	0	M
3206	559725	1	6	47	3	Ludmila	Tomášková			64	důchodce	Kříše	47	47	0	F
3206	559725	1	7	908	3	Tomáš	Prokop			41	podnikatel	Břasy	99	80	0	M
3206	559725	1	8	902	3	Jaroslav	Kolek			56	podnikatel	Břasy	99	80	0	M
3206	559725	1	9	7	3	Roman	Jindřich			40	prodavač, odborný poradce	Stupno	7	7	0	M
3206	559725	1	10	901	3	Leona	Holubová			54	ekonomka	Stupno	99	80	0	F
