OKRES	KODZASTUP	COBVODU	POR_STR_HL	OSTRANA	PORCISLO	JMENO	PRIJMENI	TITULPRED	TITULZA	VEK	POVOLANI	BYDLISTEN	PSTRANA	NSTRANA	PLATNOST	POHLAVI
5204	576859	1	1	480	1	Libor	Koldinský			49	jednatel společnosti	Týniště nad Orlicí	721	721	0	M
5204	576859	1	2	53	1	Jiří	Tůma	Mgr.		58	podnikatel	Týniště nad Orlicí	53	53	0	M
5204	576859	1	3	7	1	Luboš	Rydrych			36	dělník	Týniště nad Orlicí	7	7	0	M
5204	576859	1	4	901	1	Jana	Galbičková	Ing.		45	OSVČ	Týniště nad Orlicí	99	80	0	F
5204	576859	1	5	47	1	Jan	Vaník	MUDr.		70	lékař	Týniště nad Orlicí	47	47	0	M
5204	576859	1	6	1	1	Veronika	Čepelková	Mgr.		33	vedoucí diecézního centra pro seniory	Týniště nad Orlicí	1	1	0	F
5204	576859	1	7	515	1	Pavel	Nadrchal			46	odborný lesní hospodář	Týniště nad Orlicí	99	80	0	M
5204	576859	1	8	902	1	Ivan	Ládr	Mgr. Ing.		47	jednatel firmy na dekoraci skla	Týniště nad Orlicí	714	714	0	M
5204	576859	1	1	480	2	Michal	Vik			50	referent správy majetku	Týniště nad Orlicí	99	721	0	M
5204	576859	1	2	53	2	Irena	Černínová	PharmDr.		50	lékárnice	Týniště nad Orlicí	53	53	0	F
5204	576859	1	3	7	2	Josef	Otava	MUDr.		48	lékař	Týniště nad Orlicí	99	7	0	M
5204	576859	1	4	901	2	Bohuslav	Forejtek			69	důchodce	Týniště nad Orlicí	99	80	0	M
5204	576859	1	5	47	2	Marie	Ondráčková			62	pojišťovací zprostředkovatelka	Týniště nad Orlicí	47	47	0	F
5204	576859	1	6	1	2	Tereza	Otavová			20	studentka práv	Týniště nad Orlicí	99	1	0	F
5204	576859	1	7	515	2	Dagmar	Stodůlková			44	zubní technička	Týniště nad Orlicí	99	80	0	F
5204	576859	1	8	902	2	Jiří	Záliš	Ing.		50	specialista v oblasti odpadů	Týniště nad Orlicí	99	80	0	M
5204	576859	1	1	480	3	Lukáš	Drozdík	Ing.		36	profesionální hasič	Týniště nad Orlicí	99	721	0	M
5204	576859	1	2	53	3	Vojtěch	Kerhart	Mgr.		48	informatik	Týniště nad Orlicí	99	53	0	M
5204	576859	1	3	7	3	Vladimíra	Lesenská	Ing.		50	ředitelka pracovního úřadu	Týniště nad Orlicí	7	7	0	F
5204	576859	1	4	901	3	Marek	Winkler			42	podnikatel	Týniště nad Orlicí	99	80	0	M
5204	576859	1	5	47	3	Miloslav	Beránek	Mgr.		70	učitel	Týniště nad Orlicí	99	47	0	M
5204	576859	1	6	1	3	Aneta	Kubcová	Bc.		26	klientský poradce	Týniště nad Orlicí	99	1	0	F
5204	576859	1	7	515	3	Markéta	Píšová	Ing. Bc.		30	vysokoškolský pedagog	Petrovice	99	80	0	F
5204	576859	1	8	902	3	Štěpán	Sedláček			26	spoluvlastník společ. navrhující webové aplikace	Týniště nad Orlicí	99	80	0	M
5204	576859	1	1	480	4	Libor	Stolín			46	ředitel kulturního centra	Týniště nad Orlicí	721	721	0	M
5204	576859	1	2	53	4	Jan	Kupec			36	vedoucí pracovník	Týniště nad Orlicí	53	53	0	M
5204	576859	1	3	7	4	Josef	Matějus	Mgr.	Ph.D.	38	učitel	Týniště nad Orlicí	7	7	0	M
5204	576859	1	4	901	4	Jaroslav	Pokorný			48	hlavní správce sport. klubu	Týniště nad Orlicí	99	80	0	M
5204	576859	1	5	47	4	Ladislav	Winzberger		DiS.	55	dělník	Týniště nad Orlicí	47	47	0	M
5204	576859	1	6	1	4	Soňa	Štěpánková	Mgr.		36	učitelka	Týniště nad Orlicí	99	1	0	F
5204	576859	1	7	515	4	Jana	Kalousová			50	ředitelka DDM Sluníčko	Týniště nad Orlicí	99	80	0	F
5204	576859	1	8	902	4	Matěj	Stráník			25	hudebník a organizátor kulturních akcí	Týniště nad Orlicí	99	80	0	M
5204	576859	1	1	480	5	Jan	Beránek	MUDr.		48	zubní lékař	Štěpánovsko	99	721	0	M
5204	576859	1	2	53	5	Simona	Pechová	Ing.		36	účetní	Týniště nad Orlicí	99	53	0	F
5204	576859	1	3	7	5	Silvie	Dušková			41	pokladní ČD	Týniště nad Orlicí	7	7	0	F
5204	576859	1	4	901	5	Jana	Tichá	Mgr.		47	sociální pracovnice	Týniště nad Orlicí	99	80	0	F
5204	576859	1	5	47	5	Jana	Kupcová			56	zdravotní sestra	Týniště nad Orlicí	47	47	0	F
5204	576859	1	6	1	5	Lenka	Maryšková	Mgr.		37	vysokoškolský pedagog	Týniště nad Orlicí	99	1	0	F
5204	576859	1	7	515	5	Vladimír	Polášek			47	provozní vedoucí motorestu	Týniště nad Orlicí	99	80	0	M
5204	576859	1	8	902	5	Dušan	Unger			52	fotograf, grafik	Týniště nad Orlicí	99	80	0	M
5204	576859	1	1	480	6	Alena	Ullrichová	Bc.		56	ředitelka mateřské školy	Týniště nad Orlicí	99	721	0	F
5204	576859	1	2	53	6	Josef	Tošovský	Ing.		59	podnikatel	Týniště nad Orlicí	53	53	0	M
5204	576859	1	3	7	6	Miroslav	Vystavěl	PaedDr.		58	sociální pracovník	Týniště nad Orlicí	7	7	0	M
5204	576859	1	4	901	6	Rostislav	Beneš			47	podnikatel	Týniště nad Orlicí	99	80	0	M
5204	576859	1	5	47	6	Zdeněk	Zahálka			55	zaměstnanec prodejny	Týniště nad Orlicí	99	47	0	M
5204	576859	1	6	1	6	Vendula	Patrná	Bc.		25	bankovní úřednice	Týniště nad Orlicí	99	1	0	F
5204	576859	1	7	515	6	Barbora	Brandejsová			24	rocková zpěvačka	Týniště nad Orlicí	99	80	0	F
5204	576859	1	8	902	6	Jindra	Koldinská	Bc.		46	poradkyně v oblasti sociálních služeb	Týniště nad Orlicí	99	80	0	F
5204	576859	1	1	480	7	Josef	Zaňka			49	technik ve strojírenství	Týniště nad Orlicí	99	721	0	M
5204	576859	1	2	53	7	Lubomír	Imrich			55	podnikatel	Týniště nad Orlicí	99	53	0	M
5204	576859	1	3	7	7	Ladislav	Bagári			65	masér	Týniště nad Orlicí	99	7	0	M
5204	576859	1	4	901	7	Libuše	Tomanová	MUDr.		58	zubní lékařka	Týniště nad Orlicí	99	80	0	F
5204	576859	1	5	47	7	René	Kalina			43	zaměstnanec města Hradec Králové	Týniště nad Orlicí	99	47	0	M
5204	576859	1	6	1	7	Jiřina	Šlechtová			60	sociální pracovnice	Křivice	99	1	0	F
5204	576859	1	7	515	7	Petr	Mňuk			50	strojní technolog	Týniště nad Orlicí	99	80	0	M
5204	576859	1	8	902	7	Tereza	Bednářová	Bc.		35	zahradnice, nyní na mateřské dovolené	Týniště nad Orlicí	99	80	0	F
5204	576859	1	1	480	8	Petr	Musil	Ing.		47	konstruktér	Týniště nad Orlicí	99	721	0	M
5204	576859	1	2	53	8	František	Brandejs			47	zaměstnanec a.s.	Týniště nad Orlicí	53	53	0	M
5204	576859	1	3	7	8	Daniel	Nedomanský			22	student	Týniště nad Orlicí	99	7	0	M
5204	576859	1	4	901	8	Ladislav	Štěpán			43	podnikatel	Týniště nad Orlicí	99	80	0	M
5204	576859	1	5	47	8	Jaroslav	Hloupý			45	OSVČ	Týniště nad Orlicí	47	47	0	M
5204	576859	1	6	1	8	Irena	Janečková	Ing.		28	technický pracovník	Rašovice	99	1	0	F
5204	576859	1	7	515	8	Josef	Brát	Ing.		44	referent ochrany ohrožených druhů	Týniště nad Orlicí	99	80	0	M
5204	576859	1	8	902	8	Josef	Veselka		MBA	47	poradce v oblasti sociálních služeb	Týniště nad Orlicí	99	80	0	M
5204	576859	1	1	480	9	Jiří	Zaňka	Ing.		48	projektant ve strojírenství	Týniště nad Orlicí	99	721	0	M
5204	576859	1	2	53	9	Jiřina	Bednářová	Bc.		56	taneční pedagožka	Týniště nad Orlicí	99	53	0	F
5204	576859	1	3	7	9	Zdeněk	Malý			72	důchodce	Týniště nad Orlicí	7	7	0	M
5204	576859	1	4	901	9	Jiří	Tyahur	Ing.		53	voják z povolání	Týniště nad Orlicí	99	80	0	M
5204	576859	1	5	47	9	Stanislav	Černohous	Ing.		52	OSVČ	Týniště nad Orlicí	99	47	0	M
5204	576859	1	6	1	9	Michaela	Rázková	Mgr.		26	organizátorka elegance bez bariér	Týniště nad Orlicí	99	1	0	F
5204	576859	1	7	515	9	Zdeněk	Derner			39	OSVČ	Týniště nad Orlicí	99	80	0	M
5204	576859	1	8	902	9	Milan	Kopecký	Mgr.		49	podnikatel se zahrádkářskými potřebami	Týniště nad Orlicí	99	80	0	M
