OKRES	KODZASTUP	COBVODU	POR_STR_HL	OSTRANA	PORCISLO	JMENO	PRIJMENI	POHLAVI	TITULPRED	TITULZA	VEK	POVOLANI	BYDLISTEN	PSTRANA	NSTRANA	PLATNOST
5104	577499	1	1	901	1	Osvald	Süss	M			49	starosta obce	Roztoky u Jilemnice	99	80	0
5104	577499	1	1	901	2	Jaroslav	Šimůnek	M			49	ředitel společnosti	Roztoky u Jilemnice	99	80	0
5104	577499	1	1	901	3	Stanislav	Vodnárek	M			56	dělník	Roztoky u Jilemnice	99	80	0
5104	577499	1	1	901	4	Martin	Šolc	M			44	elektrikář	Roztoky u Jilemnice	99	80	0
5104	577499	1	1	901	5	Petr	Janovský	M			42	vedoucí střediska	Roztoky u Jilemnice	99	80	0
5104	577499	1	1	901	6	Václav	Čermák	M			55	soukromý zemědělec	Roztoky u Jilemnice	99	80	0
5104	577499	1	1	901	7	Petr	Šolc	M			57	řidič	Roztoky u Jilemnice	99	80	0
5104	577499	1	1	901	8	Luboš	Jerych	M			43	zaměstnanec MV ČR	Roztoky u Jilemnice	99	80	0
5104	577499	1	1	901	9	Jan	Lánský	M	Bc.		34	regionální manažer	Roztoky u Jilemnice	99	80	0
5104	577499	1	2	902	1	Jakub	Nýdrle	M	Ing.		28	podnikatel	Roztoky u Jilemnice	99	80	0
5104	577499	1	2	902	2	Pavel	Kysela	M		DiS.	37	konstruktér	Roztoky u Jilemnice	99	80	0
5104	577499	1	2	902	3	Aleš	Hnyk	M			39	logistik	Roztoky u Jilemnice	99	80	0
5104	577499	1	2	902	4	Markéta	Maďarčíková	F		DiS.	45	vedoucí záchranné služby	Roztoky u Jilemnice	99	80	0
5104	577499	1	2	902	5	David	Mečíř	M			33	OSVČ	Roztoky u Jilemnice	99	80	0
5104	577499	1	2	902	6	Jiří	Kužel	M	Bc.		29	elektroprojektant	Roztoky u Jilemnice	99	80	0
5104	577499	1	2	902	7	Jakub	Illner	M			30	nákupčí dřevní hmoty	Roztoky u Jilemnice	99	80	0
5104	577499	1	2	902	8	Radek	Pištora	M			42	vedoucí logistiky	Roztoky u Jilemnice	99	80	0
5104	577499	1	2	902	9	Lenka	Hujerová	F			37	mistrová	Roztoky u Jilemnice	99	80	0
