OKRES	KODZASTUP	COBVODU	POR_STR_HL	OSTRANA	PORCISLO	JMENO	PRIJMENI	TITULPRED	TITULZA	VEK	POVOLANI	BYDLISTEN	PSTRANA	NSTRANA	PLATNOST	POHLAVI
3106	529982	1	1	902	1	Radim	Paulus	Ing.		40	příslušník HZS	Chlum	99	80	0	M
3106	529982	1	2	901	1	Jiří	Oulehle			39	podnikatel	Chlum	99	80	0	M
3106	529982	1	1	902	2	Luboš	Šourek			40	podnikatel	Chlum	99	80	0	M
3106	529982	1	2	901	2	Petr	Thorovský			38	řidič	Chlum	99	80	0	M
3106	529982	1	1	902	3	Václav	Maroušek	Ing.		40	průmyslový inženýr	Chlum	99	80	0	M
3106	529982	1	2	901	3	Milan	Hanzlík			34	řidič	Chlum	99	80	0	M
3106	529982	1	1	902	4	Vlasta	Čapková			62	účetní	Chlum	99	80	0	F
3106	529982	1	2	901	4	Miroslav	Habada			31	podnikatel	Chlum	99	80	0	M
3106	529982	1	1	902	5	Roman	Šourek			47	podnikatel	Chlum	99	80	0	M
3106	529982	1	2	901	5	Michal	Prokoš			30	zámečník	Chlum	99	80	0	M
3106	529982	1	1	902	6	Jiří	Bláha			57	podnikatel	Chlum	99	80	0	M
3106	529982	1	2	901	6	Martina	Prokopová			32	konstruktérka	Chlum	99	80	0	F
3106	529982	1	1	902	7	Václav	Pěč			59	technik	Chlum	99	80	0	M
3106	529982	1	2	901	7	Naděžda	Vanáčová			39	prodavačka	Chlum	99	80	0	F
3106	529982	1	1	902	8	Jaroslava	Habadová			52	přední dělnice	Chlum	99	80	0	F
3106	529982	1	2	901	8	Martin	Marek			41	podnikatel	Chlum	99	80	0	M
3106	529982	1	1	902	9	Václav	Chocholoušek			70	důchodce	Chlum	99	80	0	M
3106	529982	1	2	901	9	Jiří	Týc			35	svářeč	Chlum	99	80	0	M
