OKRES	KODZASTUP	COBVODU	POR_STR_HL	OSTRANA	PORCISLO	JMENO	PRIJMENI	TITULPRED	TITULZA	VEK	POVOLANI	BYDLISTEN	PSTRANA	NSTRANA	PLATNOST	POHLAVI
3106	551775	1	1	808	1	Josef	Holý			55	provozní zámečník	Škůdra	99	80	0	M
3106	551775	1	2	807	1	Jiří	Rychtář			40	truhlář	Škůdra	99	80	0	M
3106	551775	1	3	806	1	František	Rejšek			38	údržbář	Strašice	99	80	0	M
3106	551775	1	4	810	1	Jaroslav	Rychtář			45	dělník	Strašice	99	80	0	M
3106	551775	1	5	805	1	Pavel	Maršoun			58	svářeč	Strašice	99	80	0	M
3106	551775	1	6	803	1	František	Komrska			45	údržbář	Strašice	99	80	0	M
3106	551775	1	7	802	1	Václav	Křiváček			41	údržbář	Škůdra	99	80	0	M
3106	551775	1	8	804	1	Václav	Dolíška			42	tiskař	Škůdra	99	80	0	M
3106	551775	1	9	809	1	Petr	Hanzlík			41	konstruktér	Strašice	99	80	0	M
3106	551775	1	10	801	1	Pavel	Mráz			53	řidič	Strašice	99	80	0	M
