OKRES	KODZASTUP	COBVODU	POR_STR_HL	OSTRANA	PORCISLO	JMENO	PRIJMENI	POHLAVI	TITULPRED	TITULZA	VEK	POVOLANI	BYDLISTEN	PSTRANA	NSTRANA	PLATNOST
3107	552054	1	1	7	1	Ivana	Pokorná	F	Ing.		52	nezávislá ekonomika	Bechyně	99	7	0
3107	552054	1	1	7	2	David	Buchtel	M			29	kuchař	Bechyně	7	7	0
3107	552054	1	1	7	3	Radovan	Železný	M		DiS.	29	vedoucí skladu	Bechyně	7	7	0
3107	552054	1	1	7	4	Milan	Buchtel	M			57	invalidní důchodce	Bechyně	7	7	0
3107	552054	1	1	7	5	Vladimír	Železný	M			52	mistr	Bechyně	99	7	0
3107	552054	1	1	7	6	Vlastmil	Pásler	M			31	OSVČ	Bechyně	99	7	0
3107	552054	1	1	7	7	Květa	Sládková	F			61	předsedkyně odborů	Bechyně	99	7	0
3107	552054	1	1	7	8	Aleš	Růžička	M	Mgr.		60	učitel gymnázia	Bechyně	99	7	0
3107	552054	1	1	7	9	Josef	Severa	M			29	řidič kamionu	Bechyně	99	7	0
3107	552054	1	1	7	10	Petr	Pokorný	M			55	dělník	Bechyně	99	7	0
3107	552054	1	1	7	11	Miroslav	Přichystal	M			62	důchodce	Bechyně	99	7	0
3107	552054	1	1	7	12	Aleš	Měkuta	M			33	kuchař	Bechyně	99	7	0
3107	552054	1	1	7	13	Jana	Přichystalová	F			53	dělnice	Bechyně	99	7	0
3107	552054	1	1	7	14	Alois	Jelínek	M			51	invalidní důchodce	Bechyně	99	7	0
3107	552054	1	1	7	15	Josef	Severa	M			68	důchodce	Bechyně	99	7	0
3107	552054	1	2	768	1	Zdeněk	Pánek	M	Ing.		56	obchodní manažer	Bechyně	99	768	0
3107	552054	1	2	768	2	Petra	Picková	F			44	jednatelka společnosti	Bechyně	768	768	0
3107	552054	1	2	768	3	Jiří	Rejlek	M	Ing.		50	projektant	Bechyně	99	768	0
3107	552054	1	2	768	4	Jiří	Fábera	M			40	podnikatel	Hvožďany	99	768	0
3107	552054	1	2	768	5	Klára	Kabátová	F	Mgr.		28	učitelka základní školy	Bechyně	99	768	0
3107	552054	1	2	768	6	Zdeněk	Barták	M			50	keramik	Bechyně	99	768	0
3107	552054	1	2	768	7	Zuzana	Krystková	F	Bc.		29	pedagožka volného času	Bechyně	99	768	0
3107	552054	1	2	768	8	Roman	Bareš	M			43	hasič	Bechyně	99	768	0
3107	552054	1	2	768	9	Vlastislav	Hovorka	M			39	cestmistr	Hvožďany	99	768	0
3107	552054	1	2	768	10	Andrea	Podlipská	F			42	obchodní zástupkyně	Bechyně	99	768	0
3107	552054	1	2	768	11	Vlasta	Sušerová	F			65	seniorka	Bechyně	99	768	0
