OKRES	KODZASTUP	COBVODU	POR_STR_HL	OSTRANA	PORCISLO	JMENO	PRIJMENI	TITULPRED	TITULZA	VEK	POVOLANI	BYDLISTEN	PSTRANA	NSTRANA	PLATNOST	POHLAVI
3107	530042	1	1	806	1	Milan	Přibyl			34	projektant	Katov	99	80	0	M
3107	549631	1	1	7	1	Romana	Cimpová			50	finanční poradce	Nadějkov	99	7	0	F
3107	551601	1	1	801	1	Martin	Hruška			25	soukromý zemědělec	Turovec	99	80	0	M
3107	552046	1	1	529	1	Michaela	Petrová	Ing.		35	učitelka, členka zastupit. města, skautská vedoucí	Čekanice	5	5	0	F
3107	552054	1	1	7	1	Ivana	Pokorná	Ing.		52	nezávislá ekonomika	Bechyně	99	7	0	F
3107	552097	1	1	901	1	Šárka	Čížková			47	zaměstnanec české pošty	Borkovice	99	80	0	F
3107	552101	1	1	824	1	Josef	Vanžura			44	provozní zámečník	Sychrov	99	80	0	M
3107	552127	1	1	901	1	Hana	Křepelková			47	dojička	Horní Světlá	99	80	0	F
3107	552135	1	1	806	1	Hana	Burianová			46	zaměstnankyně obce	Březnice	99	80	0	F
3107	552143	1	1	906	1	Roman	Čížek	Ing.		31	OSVČ	Budislav	99	80	0	M
3107	552208	1	1	902	1	Jana	Vacková			53	učitelka MŠ	Záříčí	99	80	0	F
3107	552224	1	1	806	1	Jan	Hána			22	strojník	Dobronice u Bechyně	99	80	0	M
3107	552241	1	1	901	1	Pavel	Rothbauer			59	starosta	Mašovice	99	80	0	M
3107	552275	1	1	7	1	Jiří	Kopáček	Ing.	CSc.	57	soukromý podnikatel v potravinářství	Dráchov	99	7	0	M
3107	552283	1	1	902	1	Zdeněk	Krátký	Mgr.		55	manažer	Dražice	99	80	0	M
3107	552291	1	1	806	1	Petr	Hák			52	podnikatel	Dražičky	99	80	0	M
3107	552321	1	1	901	1	Libuše	Černá	Ing.		36	učitelka odborných předmětů	Vyhnanice	99	80	0	F
3107	552453	1	1	808	1	Jaromír	Bílý			42	řidič, strojník	Chotěmice	99	80	0	M
3107	552461	1	1	902	1	Miroslava	Bauerová	Ing.		61	vodohospodář	Červené Záhoří	99	80	0	F
3107	552470	1	1	805	1	Jan	Punčochář			24	zedník	Choustník	99	80	0	M
3107	552496	1	1	53	1	Pavel	Eybert	Mgr.		65	starosta, senátor	Chýnov	53	53	0	M
3107	552534	1	1	901	1	Jiří	Popelka	Ing.		37	soukromý podnikatel	Božejovice	99	80	0	M
3107	552585	1	1	805	1	Anna	Pospíšilová			31	provozní vedoucí, t.č. r. dovolená	Košice	99	80	0	F
3107	552666	1	1	905	1	Martin	Šimota			27	podnikatel	Malšice	99	80	0	M
3107	552704	1	1	901	1	Jaroslav	Větrovský	Mgr.		46	učitel	Mladá Vožice	99	80	0	M
3107	552712	1	1	802	1	Věra	Urbanová			58	důchodce	Mlýny	99	80	0	F
3107	552721	1	1	902	1	Lubomír	Luňák			42	živnostník	Myslkovice	99	80	0	M
3107	552747	1	1	902	1	Jan	Smetana			46	OSVČ	Nemyšl	99	80	0	M
3107	552763	1	1	803	1	Tomáš	Janů			31	opravář	Nová Ves u Chýnova	99	80	0	M
3107	552798	1	1	812	1	Zdeněk	Zelený	Ing.		71	inženýr energetiky	Oldřichov	99	80	0	M
3107	552801	1	1	801	1	František	Kodad			70	důchodce - autorizovaný stavební technik	Opařany	99	80	0	M
3107	552828	1	1	768	1	Pavel	Korbel	Ing.		59	stavební inženýr, OSVČ	Planá nad Lužnicí	768	768	0	M
3107	552852	1	1	808	1	Alena	Macháčková			39	účetní	Pohnání	99	80	0	F
3107	552861	1	1	901	1	Josef	Havel			33	traktorista ZD Pojbuky	Pojbuky	99	80	0	M
3107	552895	1	1	901	1	Petr	Mašek			48	starosta	Hrušova Lhota	99	80	0	M
3107	552917	1	1	902	1	Vladimír	Fleischhans			30	živnostník	Lažany	99	80	0	M
3107	552925	1	1	805	1	Pavel	Nohava			52	farmář	Radětice	99	80	0	M
3107	552933	1	1	901	1	Jana	Hnojnová			44	zdravotní sestra	Radimovice u Želče	99	80	0	F
3107	552941	1	1	804	1	Luboš	Oulický			29	OSVČ	Radkov	99	80	0	M
3107	552976	1	1	809	1	Martin	Zeman			30	technik	Rataje	99	80	0	M
3107	552992	1	1	902	1	Imrich	Kutný	Ing.		58	důchodce	Ratibořské Hory	99	80	0	M
3107	553018	1	1	801	1	Josef	Havel	Ing.		59	uchazeč o zaměstnání, veden na ÚP	Roudná	99	80	0	M
3107	553034	1	1	806	1	Pavel	Čítek			45	dělník	Řepeč	99	80	0	M
3107	553069	1	1	53	1	Olga	Matějková	Mgr.		36	asistentka ředitele, učitelka	Sezimovo Ústí	53	53	0	F
3107	553077	1	1	905	1	Martin	Brt		DiS.	23	student	Rybova Lhota	99	80	0	M
