OKRES	KODZASTUP	COBVODU	POR_STR_HL	OSTRANA	PORCISLO	JMENO	PRIJMENI	TITULPRED	TITULZA	VEK	POVOLANI	BYDLISTEN	PSTRANA	NSTRANA	PLATNOST	POHLAVI
3207	561011	1	1	902	1	Vladimír	Svoboda	Ing.		50	zástupce vedoucího pobočky Pozemkového úřadu	Lestkov	99	80	0	M
3207	561011	1	2	901	1	Renata	Šilingová			66	důchodkyně	Lestkov	99	80	0	F
3207	561011	1	1	902	2	Václav	Sejpka			62	strážný - vrátný	Lestkov	99	80	0	M
3207	561011	1	2	901	2	Pavel	Šulan			23	student	Lestkov	99	80	0	M
3207	561011	1	1	902	3	Daniela	Holoubková	Bc.		33	účetní	Domaslav	99	80	0	F
3207	561011	1	2	901	3	František	Vacata			37	zaměstnanec	Lestkov	99	80	0	M
3207	561011	1	1	902	4	Josef	Majer			42	silomistr	Stan	99	80	0	M
3207	561011	1	2	901	4	Milena	Hubková Náhlovská			51	OSVČ	Domaslav	99	80	0	F
3207	561011	1	1	902	5	Jiří	Janot			54	strojník - řidič	Lestkov	99	80	0	M
3207	561011	1	2	901	5	Jiří	Tuček			62	zaměstnanec	Lestkov	99	80	0	M
3207	561011	1	1	902	6	Robert	Šebesta			48	obráběč kovů	Lestkov	99	80	0	M
3207	561011	1	2	901	6	Ladislav	Červeňák			68	důchodce	Vysoké Jamné	47	80	0	M
3207	561011	1	1	902	7	Dagmar	Mixanová	Ing.		59	OSVČ	Stan	99	80	0	F
3207	561011	1	2	901	7	Jaroslav	Podolák			60	zaměstnanec	Lestkov	99	80	0	M
3207	561011	1	1	902	8	Marie	Bezpalcová			59	dělnice	Lestkov	99	80	0	F
3207	561011	1	2	901	8	Vít	Kočegura			27	zaměstnanec	Lestkov	99	80	0	M
3207	561011	1	1	902	9	Michaela	Kalinová	Bc.		28	zootechnička	Stan	99	80	0	F
3207	561011	1	2	901	9	Eva	Petráková			23	zaměstnanec	Lestkov	99	80	0	F
