OKRES	KODZASTUP	COBVODU	POR_STR_HL	OSTRANA	PORCISLO	JMENO	PRIJMENI	TITULPRED	TITULZA	VEK	POVOLANI	BYDLISTEN	PSTRANA	NSTRANA	PLATNOST	POHLAVI
6104	590410	1	1	1	1	Jiřina	Bláhová			56	podnikatelka	Budkov	1	1	0	F
6104	590410	1	2	901	1	Milan	Brychta			46	správce dětského domova	Budkov	99	80	0	M
6104	590410	1	3	902	1	Miloslav	Záškoda			65	důchodce	Budkov	99	80	0	M
6104	590410	1	1	1	2	František	Špaček			45	zedník	Budkov	99	1	0	M
6104	590410	1	2	901	2	Tomáš	Jelínek			31	truhlář	Budkov	99	80	0	M
6104	590410	1	3	902	2	Stanislav	Müller			33	podnikatel	Budkov	99	80	0	M
6104	590410	1	1	1	3	Jiří	Virgl			41	dělník	Budkov	99	1	0	M
6104	590410	1	2	901	3	Dušan	Böhm			40	živnostník	Budkov	99	80	0	M
6104	590410	1	3	902	3	Marie	Kadrnožková			47	vychovatelka	Budkov	99	80	0	F
6104	590410	1	1	1	4	Pavel	Sláma			48	podnikatel	Budkov	99	1	0	M
6104	590410	1	2	901	4	Jaroslav	Šimka			36	skladník	Budkov	99	80	0	M
6104	590410	1	3	902	4	Markéta	Nesibová			30	podnikatelka	Budkov	99	80	0	F
6104	590410	1	1	1	5	Alena	Šimková			46	kuchařka	Budkov	99	1	0	F
6104	590410	1	2	901	5	Bohumíra	Smolejová			34	výtvarník	Budkov	99	80	0	F
6104	590410	1	3	902	5	Jaroslav	Pokorný			38	podnikatel	Budkov	99	80	0	M
6104	590410	1	1	1	6	Vladimíra	Alexová			48	prodavačka	Budkov	99	1	0	F
6104	590410	1	2	901	6	Petr	Navara			31	kovoobráběč	Budkov	99	80	0	M
6104	590410	1	3	902	6	Luboš	Minařík			32	obecní pracovník	Budkov	99	80	0	M
6104	590410	1	1	1	7	Pavla	Janíčková			42	kuchařka	Budkov	99	1	0	F
6104	590410	1	2	901	7	Alena	Navarová			43	švadlena	Budkov	99	80	0	F
6104	590410	1	3	902	7	Milan	Kotačka	Ing.		54	revírník	Budkov	99	80	0	M
6104	590410	1	1	1	8	Milada	Slabá			46	kuchařka	Budkov	1	1	0	F
6104	590410	1	2	901	8	Petr	Nekula			28	hasič	Budkov	99	80	0	M
