OKRES	KODZASTUP	COBVODU	POR_STR_HL	OSTRANA	PORCISLO	JMENO	PRIJMENI	POHLAVI	TITULPRED	TITULZA	VEK	POVOLANI	BYDLISTEN	PSTRANA	NSTRANA	PLATNOST
6104	591866	1	1	901	1	Milan	Votava	M			39	technik	Třebenice	99	80	0
6104	591866	1	1	901	2	Ladislav	Svoboda	M	Bc.		42	záchranář	Třebenice	99	80	0
6104	591866	1	1	901	3	Petr	Novák	M			48	OSVČ	Třebenice	99	80	0
6104	591866	1	1	901	4	Jitka	Vávrová	F			41	dělnice	Chroustov	99	80	0
6104	591866	1	1	901	5	Josef	Bárta	M			47	vedoucí prodejny	Třebenice	99	80	0
6104	591866	1	1	901	6	Vlastimil	Fiala	M			52	OSVČ	Třebenice	99	80	0
6104	591866	1	1	901	7	Marie	Vávrová	F			58	technik	Třebenice	99	80	0
6104	591866	1	1	901	8	Michal	Topil	M			30	OSVČ	Třebenice	99	80	0
6104	591866	1	1	901	9	Jaroslav	Fučík	M			49	technik	Třebenice	99	80	0
6104	591866	1	2	902	1	Jan	Novák	M	Mgr.		25	specialista řízení radiačních rizik	Třebenice	99	80	0
6104	591866	1	2	902	2	Tomáš	Chvátal	M			25	opravář zemědělských strojů	Třebenice	99	80	0
6104	591866	1	2	902	3	David	Čtveráček	M			23	řidič stavebních strojů	Třebenice	99	80	0
6104	591866	1	2	902	4	Oldřich	Řezáč	M			31	technik vodárenské společnosti	Třebenice	99	80	0
