OKRES	KODZASTUP	COBVODU	POR_STR_HL	OSTRANA	PORCISLO	JMENO	PRIJMENI	TITULPRED	TITULZA	VEK	POVOLANI	BYDLISTEN	PSTRANA	NSTRANA	PLATNOST	POHLAVI
4207	501298	1	1	796	1	Miroslav	Král	Mgr.		38	ředitel muzea	Severní Terasa	796	796	0	M
4207	502081	1	1	768	1	Yveta	Tomková			40	státní zaměstnanec	Neštěmice	768	768	0	F
4207	502316	1	1	721	1	Jiří	Randák	Ing.		57	manažer	Střekov	721	721	0	M
4207	530620	1	1	714	1	Miroslava	Bechyňová	Mgr.		41	středoškolská učitelka	Přestanov	99	714	0	F
4207	546186	1	1	792	1	Martin	Kohout			46	podnikatel	Ryjice	99	792	0	M
4207	546925	1	1	801	1	Pavel	Zedek			47	dělník	Stebno	99	80	0	M
4207	553697	1	1	166	1	Jana	Oubrechtová	Mgr.		51	učitelka	Trmice	99	166	0	F
4207	554804	1	1	1021	1	Zdeněk	Rybář	Ing.		48	ekonom	Bukov	1021	1021	0	M
4207	555223	1	1	903	1	Karel	Kováč			40	OSVČ	Velké Chvojno	99	80	0	M
4207	567892	1	1	721	1	Martin	Fišer	Bc.		27	student VŠ, OSVČ	Ústí nad Labem-centrum	721	721	0	M
4207	567931	1	1	785	1	Viktor	Zeman	JUDr.		71	podnikatel	Dolní Zálezly	99	785	0	M
4207	567957	1	1	902	1	Dana	Černá			51	učitelka MŠ	Habrovany	99	80	0	F
4207	567973	1	1	904	1	Ladislav	Ptáček			64	důchodce	Homole u Panny	99	80	0	M
4207	568007	1	1	5	1	Jaroslav	Šams	Bc.	DiS.	40	státní zaměstnanec	Chabařovice	99	5	0	M
4207	568015	1	1	7	1	Marián	Melicher	JUDr.		66	právník	Chlumec	7	7	0	M
4207	568023	1	1	902	1	Jan	Dvořák	MUDr.		51	lékař	Chuderov	99	80	0	M
4207	568058	1	1	166	1	Pavel	Šebek			56	živnostník a zastupitel	Libouchec	99	166	0	M
4207	568091	1	1	901	1	Renata	Zvoníčková			45	starostka obce	Malé Březno	99	80	0	F
4207	568104	1	1	902	1	Jana	Ortová			29	referent	Malečov	99	80	0	F
4207	568147	1	1	902	1	Zdeněk	Kutina			60	starosta obce	Petrovice	99	80	0	M
4207	568155	1	1	129	1	Petr	Hadraba			52	starosta	Slavošov	99	129	0	M
4207	568201	1	1	901	1	Josef	Macháček			56	starosta obce	Stadice	99	80	0	M
4207	568287	1	1	901	1	Zdeňka	Košvancová			46	učitelka	Tašov	99	80	0	F
4207	568295	1	1	903	1	Rudolf	Fiala			59	starosta obce	Varvažov	99	80	0	M
4207	568309	1	1	901	1	František	Ritschel			58	řidič	Tisá	99	80	0	M
4207	568350	1	1	902	1	Bohumil	Zatloukal			37	technik	Velké Březno	99	80	0	M
4207	568384	1	1	796	1	Radek	Kubala			42	chemik	Zubrnice	99	796	0	M
4207	501298	1	2	7	1	Josef	Macík			53	starosta	Severní Terasa	7	7	0	M
4207	502081	1	2	796	1	Michal	Mohr			42	vedoucí obchodu	Neštěmice	796	796	0	M
4207	502316	1	2	562	1	Jiří	Němeček	Ing. arch.		33	architekt, zakladatel obč. sdružení Váš Střekov	Střekov	99	5	0	M
4207	530620	1	2	480	1	Petr	Macek			38	vedoucí expedice	Přestanov	99	80	0	M
4207	546186	1	2	47	1	Vít	Benetka			34	sanitář	Ryjice	99	47	0	M
4207	546925	1	2	901	1	Martina	Čechová			44	úřednice	Podlešín	99	80	0	F
4207	553697	1	2	427	1	Rudolf	Slavíček			37	OSVČ	Koštov	99	143	0	M
4207	554804	1	2	1013	1	Lubomír	Barák			60	živnostník	Ústí nad Labem - centrum	1013	1013	0	M
4207	555223	1	2	904	1	Václav	Svoboda			58	technik	Arnultovice	99	80	0	M
4207	567892	1	2	768	1	Jiří	Mach	Ing.		66	strojní inženýr	Klíše	99	768	0	M
4207	567931	1	2	129	1	Miroslav	Suchý			64	starosta	Dolní Zálezly	99	129	0	M
4207	567957	1	2	901	1	Jana	Bouchoucha Lésková	Ing.		35	mateřská dovolená	Habrovany	99	80	0	F
4207	567973	1	2	903	1	Daniel	Tausche			38	státní zaměstnanec	Homole u Panny	99	80	0	M
4207	568007	1	2	129	1	Josef	Kusebauch	Mgr.		50	starosta, ředitel školy	Chabařovice	129	129	0	M
4207	568015	1	2	901	1	Zdeňka	Boháčková	Ing.		55	finanční poradce	Žandov	99	80	0	F
4207	568023	1	2	901	1	Josef	Šindelář			47	učitel	Chuderov	99	80	0	M
4207	568058	1	2	47	1	Ladislav	Tafi			65	technik	Libouchec	47	47	0	M
4207	568091	1	2	902	1	Roman	Franta			59	řidič	Malé Březno	99	80	0	M
4207	568104	1	2	901	1	Petr	Kůstka ml.			46	starosta	Malečov	99	80	0	M
4207	568147	1	2	53	1	Matěj	Žák			20	tesař	Krásný Les	99	53	0	M
4207	568155	1	2	166	1	Eva	Šubotníková			57	účetní	Povrly	99	166	0	F
4207	568201	1	2	902	1	Alfréd	Dytrt	Ing.		58	ředitel gymnázia	Řehlovice	99	80	0	M
4207	568295	1	2	902	1	Jan	Doubrava	Ing. Bc.		34	vrchní komisař HZSČR	Varvažov	99	80	0	M
4207	568309	1	2	112	1	Tomáš	Kratochvíl	Ing.		63	podnikatel	Tisá	99	112	0	M
4207	568350	1	2	901	1	Jan	Fiala	Ing.		44	stavební inženýr	Velké Březno	99	80	0	M
4207	568384	1	2	47	1	Jiří	Capljuk	Mgr.		59	učitel	Zubrnice	47	47	0	M
4207	501298	1	3	518	1	Květa	Rybárová			62	vedoucí ČSŽ Ústí nad Labem	Severní Terasa	99	747	0	F
4207	502081	1	3	7	1	Ivana	Fišerová			44	hospodářský referent	Krásné Březno	7	7	0	F
