OKRES	KODZASTUP	COBVODU	POR_STR_HL	OSTRANA	PORCISLO	JMENO	PRIJMENI	POHLAVI	TITULPRED	TITULZA	VEK	POVOLANI	BYDLISTEN	PSTRANA	NSTRANA	PLATNOST
7203	544990	1	1	470	1	Josef	Daněk	M			53	starosta obce	Valašská Polanka	166	166	0
7203	544990	1	1	470	2	Stanislav	Machač	M			53	podnikatel	Valašská Polanka	99	166	0
7203	544990	1	1	470	3	Jaromír	Kašpar	M			46	správce budov	Valašská Polanka	99	166	0
7203	544990	1	1	470	4	Rostislav	Zrník	M			42	lakýrník	Valašská Polanka	99	166	0
7203	544990	1	1	470	5	Zdeněk	Hyžák	M			22	frézař CNC	Valašská Polanka	99	166	0
7203	544990	1	1	470	6	František	Gargulák	M			56	traktorista mechanizátor	Valašská Polanka	99	166	0
7203	544990	1	1	470	7	Josef	Ondra	M			44	truhlář	Valašská Polanka	99	166	0
7203	544990	1	1	470	8	Alice	Žurková	F	Ing.		48	ekonom	Valašská Polanka	99	166	0
7203	544990	1	1	470	9	Lubomír	Žák	M			53	spojový mechanik	Valašská Polanka	99	80	0
7203	544990	1	2	129	1	Aleš	Černotík	M	Mgr.		38	učitel ZŠ	Valašská Polanka	99	129	0
7203	544990	1	2	129	2	Petr	Filgas	M	Mgr.		30	zástupce ředitele ZŠ	Valašská Polanka	99	129	0
7203	544990	1	2	129	3	Jiří	Dušek	M			35	mistr výroby	Valašská Polanka	99	129	0
7203	544990	1	2	129	4	Martin	Šeliga	M			29	geodet	Valašská Polanka	99	129	0
7203	544990	1	2	129	5	Jan	Kozubík	M			24	řidič sanitky	Valašská Polanka	99	129	0
7203	544990	1	2	129	6	Jakub	Kolínek	M	Ing.		32	sportovní manager	Valašská Polanka	99	129	0
7203	544990	1	2	129	7	Eva	Šafaříková	F			37	v domácnosti	Valašská Polanka	99	129	0
7203	544990	1	2	129	8	David	Tajzler	M			25	nástrojař	Valašská Polanka	99	129	0
7203	544990	1	2	129	9	Zdenka	Gergelová	F			28	mateřská dovolená	Valašská Polanka	99	129	0
7203	544990	1	3	47	1	František	Káčer	M			65	důchodce	Valašská Polanka	47	47	0
7203	544990	1	3	47	2	Rostislav	Januš	M			60	dělník	Valašská Polanka	99	47	0
7203	544990	1	4	1	1	Jan	Kozubík st.	M			47	místostarosta	Valašská Polanka	1	1	0
7203	544990	1	4	1	2	Marie	Sádlíková	F			47	IT administrátor	Valašská Polanka	99	1	0
7203	544990	1	4	1	3	František	Šeliga	M			60	tesař	Valašská Polanka	1	1	0
7203	544990	1	4	1	4	František	Blažek	M			63	technik	Valašská Polanka	99	1	0
7203	544990	1	4	1	5	Pavla	Kozubíková	F			42	pečovatelka	Valašská Polanka	1	1	0
7203	544990	1	4	1	6	Marek	Matůš	M	Ing.		37	programátor	Valašská Polanka	99	1	0
