OKRES	KODZASTUP	COBVODU	POR_STR_HL	OSTRANA	PORCISLO	JMENO	PRIJMENI	TITULPRED	TITULZA	VEK	POVOLANI	BYDLISTEN	PSTRANA	NSTRANA	PLATNOST	POHLAVI
7204	585203	1	1	901	1	Jan	Chudárek	Ing.		38	starosta obce	Držková	99	80	0	M
7204	585203	1	2	1	1	Lubomír	Marušák			22	student VÚT Brno	Držková	99	1	0	M
7204	585203	1	1	901	2	Petr	Dočkal			41	soukromý zemědělec	Držková	99	80	0	M
7204	585203	1	2	1	2	Jana	Červenková			43	účetní	Držková	99	1	0	F
7204	585203	1	1	901	3	David	Flám			25	pracovník v zemědělství	Držková	99	80	0	M
7204	585203	1	2	1	3	Radka	Maršálková			39	účetní	Držková	99	1	0	F
7204	585203	1	1	901	4	Jaromír	Šála			47	obchodní vedoucí	Držková	99	80	0	M
7204	585203	1	2	1	4	Jaroslav	Hruška			65	důchodce	Držková	99	1	0	M
7204	585203	1	1	901	5	Lumír	Kőgler			36	soukromý podnikatel	Držková	99	80	0	M
7204	585203	1	2	1	5	Zuzana	Pařenicová			33	SEŠ v domácnosti	Držková	99	1	0	F
7204	585203	1	1	901	6	Jiří	Minařík			49	dělník	Držková	99	80	0	M
7204	585203	1	2	1	6	Ladislav	Zuzaník			49	prodavač	Držková	99	1	0	M
7204	585203	1	1	901	7	Zdeněk	Gavenda			36	skladník	Držková	99	80	0	M
7204	585203	1	2	1	7	Zdeněk	Tomeček			49	vedoucí dřevovýroby	Držková	99	1	0	M
7204	585203	1	1	901	8	Petr	Vysloužil			38	truhlář	Držková	99	80	0	M
7204	585203	1	2	1	8	Jana	Flámová			56	pomocná síla v kuchyni	Držková	99	1	0	F
7204	585203	1	1	901	9	Michal	Minařík			25	dělník v kovovýrobě	Držková	99	80	0	M
7204	585203	1	2	1	9	Rostislav	Černoch			62	inv. důchodce	Držková	99	1	0	M
