OKRES	KODZASTUP	COBVODU	POR_STR_HL	OSTRANA	PORCISLO	JMENO	PRIJMENI	POHLAVI	TITULPRED	TITULZA	VEK	POVOLANI	BYDLISTEN	PSTRANA	NSTRANA	PLATNOST
6204	584584	1	1	901	1	Jaroslav	Komosný	M			50	starosta	Krumvíř	99	80	A
6204	584584	1	1	901	2	Miroslav	Ledahudec	M	Ing.		48	státní zaměstnanec	Krumvíř	99	80	A
6204	584584	1	1	901	3	Ondřej	Luskač	M	Mgr.		29	učitel	Krumvíř	99	80	A
6204	584584	1	1	901	4	Jaroslav	Hrabec	M			49	projektant	Krumvíř	99	80	A
6204	584584	1	1	901	5	Ladislav	Foretník	M			55	soukromý podnikatel	Krumvíř	99	80	A
6204	584584	1	1	901	6	Zdeněk	Luskač	M			48	technik	Krumvíř	99	80	A
6204	584584	1	1	901	7	Radim	Heča	M	Ing.		33	jednatel, gen. řed. vinařství	Krumvíř	99	80	A
6204	584584	1	1	901	8	Lukáš	Kobylka	M			33	OSVČ	Krumvíř	99	80	A
6204	584584	1	1	901	9	Ilona	Jakubčíková	F			24	studentka	Krumvíř	99	80	A
6204	584584	1	1	901	10	Petra	Hečová	F	Bc.		31	účetní	Krumvíř	99	80	A
6204	584584	1	1	901	11	Vítězslav	Charvát	M	MgA.		28	marketing a PR man. ND Brno	Krumvíř	99	80	A
6204	584584	1	1	901	12	Zdeněk	Miklík	M	Ing.		29	agronom	Krumvíř	99	80	A
6204	584584	1	1	901	13	Libor	Vytrhlík	M			56	technik	Krumvíř	99	80	A
6204	584584	1	1	901	14	Vít	Mandelík	M			50	elektromechanik	Krumvíř	99	80	A
6204	584584	1	1	901	15	Petr	Zvonič	M			54	sklepmistr	Krumvíř	99	80	A
6204	584584	1	2	210	1	Martin	Valihrach	M			32	vinař	Krumvíř	1	1	A
6204	584584	1	2	210	2	Tomáš	Vostřák	M			39	ekonom	Krumvíř	1	1	A
6204	584584	1	2	210	3	Petr	Svoboda	M			37	obchodní zástupce	Krumvíř	1	1	A
6204	584584	1	2	210	4	Michaela	Procházková	F	Mgr.		48	učitelka	Krumvíř	99	1	A
6204	584584	1	2	210	5	Zdeněk	Burýšek	M	Bc.		38	bezpečnostní technik	Krumvíř	99	1	A
6204	584584	1	2	210	6	Pavel	Vašíček	M			49	elektrotechnik	Krumvíř	53	53	A
6204	584584	1	2	210	7	Ondřej	Němeček	M			42	úředník	Krumvíř	53	53	A
6204	584584	1	2	210	8	Vojtěch	Veselý	M			21	návěstní technik	Krumvíř	99	53	A
6204	584584	1	2	210	9	Andrea	Houšťová	F	Ing.		29	vedoucí týmu účetních	Krumvíř	99	1	A
6204	584584	1	2	210	10	Kateřina	Valihrachová	F	Mgr.		26	speciální pedagožka	Krumvíř	99	1	A
6204	584584	1	2	210	11	Martin	Řehák	M	Ing.		41	manažer kvality	Krumvíř	99	1	A
6204	584584	1	2	210	12	Richard	Klimovič	M	Ing.		40	podnikatel	Krumvíř	99	1	A
6204	584584	1	2	210	13	Aneta	Němečková	F	Mgr.		31	učitelka	Krumvíř	99	53	A
6204	584584	1	2	210	14	Marcel	Němeček	M			39	hasič	Krumvíř	99	53	A
6204	584584	1	2	210	15	Michal	Svoboda	M			28	účetní	Krumvíř	99	1	A
6204	584584	1	3	47	1	Jiří	Herrmann	M	Ing.		43	konstruktér	Krumvíř	47	47	A
6204	584584	1	3	47	2	Lubomír	Koníček	M			64	důchodce	Krumvíř	47	47	A
6204	584584	1	3	47	3	Stanislav	Vytrhlík	M			57	frézař	Krumvíř	99	47	A
6204	584584	1	3	47	4	Bohumil	Peloušek	M			80	důchodce	Krumvíř	99	47	A
6204	584584	1	3	47	5	Jaromír	Šorš	M			58	soukr. podnikatel	Krumvíř	99	47	A
6204	584584	1	3	47	6	Anna	Křikavová	F			68	důchodce	Krumvíř	99	47	A
6204	584584	1	3	47	7	Vlastimil	Lexa	M			47	dělník	Krumvíř	99	47	A
6204	584584	1	3	47	8	Lubomír	Sekanina	M			59	dělník	Krumvíř	47	47	A
6204	584584	1	3	47	9	Josef	Kobylka	M			60	řidič	Krumvíř	47	47	A
6204	584584	1	3	47	10	Josef	Sekanina	M			71	důchodce	Krumvíř	99	47	A
6204	584584	1	3	47	11	Mojmír	Šefčík	M			63	opravář	Krumvíř	99	47	A
6204	584584	1	3	47	12	Josef	Páleník	M			76	důchodce	Krumvíř	47	47	A
6204	584584	1	3	47	13	Petr	Boháč	M			53	dělník	Krumvíř	99	47	A
6204	584584	1	3	47	14	Ladislav	Kolouch	M			71	důchodce	Krumvíř	99	47	A
6204	584584	1	3	47	15	Šárka	Foretníková	F	Mgr.		44	učitelka	Krumvíř	99	47	A
