OKRES	KODZASTUP	COBVODU	POR_STR_HL	OSTRANA	PORCISLO	JMENO	PRIJMENI	POHLAVI	TITULPRED	TITULZA	VEK	POVOLANI	BYDLISTEN	PSTRANA	NSTRANA	PLATNOST
6204	584665	1	1	47	1	Rostislav	Varmuža	M			33	OSVČ	Moravská Nová Ves	99	47	A
6204	584665	1	1	47	2	Zdeněk	Hřebačka	M			77	důchodce	Moravská Nová Ves	47	47	A
6204	584665	1	1	47	3	Karol	Mráz	M			50	invalidní důchodce	Moravská Nová Ves	47	47	A
6204	584665	1	1	47	4	Hedvika	Němcová	F			60	šička	Moravská Nová Ves	47	47	A
6204	584665	1	1	47	5	Miroslav	Zugar	M			69	důchodce	Moravská Nová Ves	47	47	A
6204	584665	1	1	47	6	Zuzana	Ištvánková	F			34	zástupce vedoucí prodejny	Moravská Nová Ves	99	47	A
6204	584665	1	1	47	7	Jaroslav	Oliverius	M			60	dělník	Moravská Nová Ves	99	47	A
6204	584665	1	1	47	8	Michaela	Čechová	F			39	skladnice	Moravská Nová Ves	99	47	A
6204	584665	1	1	47	9	František	Adámek	M	Bc.		70	důchodce	Moravská Nová Ves	47	47	A
6204	584665	1	1	47	10	Roman	Salajka	M			40	dělník	Moravská Nová Ves	99	47	A
6204	584665	1	1	47	11	Ludmila	Paníková	F			34	dělnice	Moravská Nová Ves	99	47	A
6204	584665	1	1	47	12	Rostislav	Varmuža	M			62	dělník	Moravská Nová Ves	99	47	A
6204	584665	1	1	47	13	Matej	Mráz	M			28	ostraha	Moravská Nová Ves	99	47	A
6204	584665	1	1	47	14	Petr	Blaha	M			44	dělník	Moravská Nová Ves	99	47	A
6204	584665	1	1	47	15	Pavel	Ištvánek	M			59	vedoucí ostrahy	Moravská Nová Ves	99	47	A
6204	584665	1	2	902	1	Igor	Antal	M	Ing.		59	místostarosta, Městys Moravská Nová Ves	Moravská Nová Ves	99	80	A
6204	584665	1	2	902	2	Radek	Vaněk	M	Ing.		47	správce databázových systémů, IBM GSDC ČR	Moravská Nová Ves	99	80	A
6204	584665	1	2	902	3	Tomáš	Sládek	M	Ing.		43	manažer klíčových zákazníků, Autocont CZ	Moravská Nová Ves	99	80	A
6204	584665	1	2	902	4	Petr	Příkazský	M	Ing.		46	státní zaměstnanec, Policie ČR	Moravská Nová Ves	99	80	A
6204	584665	1	2	902	5	Lukáš	Frýdek	M			38	servisní poradce, Porsche Inter Auto CZ	Moravská Nová Ves	99	80	A
6204	584665	1	2	902	6	Pavel	Časný	M			50	oblastní manažer, DAF Truck CZ	Moravská Nová Ves	99	80	A
6204	584665	1	2	902	7	Radek	Magyar	M			45	soukromý podnikatel	Moravská Nová Ves	99	80	A
6204	584665	1	2	902	8	Jakub	Vája	M	Bc.		33	soukromý podnikatel	Moravská Nová Ves	99	80	A
6204	584665	1	2	902	9	Pavel	Zugar	M	Ing.		45	soukromý podnikatel	Moravská Nová Ves	99	80	A
6204	584665	1	2	902	10	Zuzana	Psotová	F			26	odborný referent, OSSZ Břeclav	Moravská Nová Ves	99	80	A
6204	584665	1	2	902	11	Jiří	Frýdek	M	Ing.		71	důchodce	Moravská Nová Ves	99	80	A
6204	584665	1	2	902	12	Květoslav	Hřebačka	M			46	elektromechanik, VZV Hodonín	Moravská Nová Ves	99	80	A
6204	584665	1	2	902	13	Miroslava	Jančálková	F	Mgr.		45	učitelka 1. stupně ZŠ Moravská Nová Ves	Moravská Nová Ves	99	80	A
6204	584665	1	2	902	14	Miroslava	Ježková	F			44	soukromý podnikatel	Moravská Nová Ves	99	80	A
6204	584665	1	2	902	15	Vlastimil	Zugar	M			46	technik ČOV, Služby, p.o. Moravská Nová Ves	Moravská Nová Ves	99	80	A
6204	584665	1	3	480	1	Marek	Košut	M	Mgr. Bc.		37	starosta	Moravská Nová Ves	721	721	A
6204	584665	1	3	480	2	Eva	Gréeová	F			62	fyzioterapeut	Moravská Nová Ves	99	80	A
6204	584665	1	3	480	3	Hana	Janulíková	F	Mgr.		48	učitelka ZŠ	Moravská Nová Ves	99	721	A
6204	584665	1	3	480	4	Jaroslav	Nešpor	M			38	vinař	Moravská Nová Ves	99	80	A
6204	584665	1	3	480	5	Břetislav	Hřebačka	M			39	OSVČ	Moravská Nová Ves	99	80	A
