OKRES	KODZASTUP	COBVODU	POR_STR_HL	OSTRANA	PORCISLO	JMENO	PRIJMENI	POHLAVI	TITULPRED	TITULZA	VEK	POVOLANI	BYDLISTEN	PSTRANA	NSTRANA	PLATNOST
6202	551082	1	1	768	1	Antonín	Brzobohatý	M	Ing.		62	jednatel společnosti	Brno-Bohunice	768	768	A
6202	551082	1	1	768	2	Jan	Novotný	M	Ing.	Ph.D.	33	vědecký pracovník	Brno-Bohunice	768	768	A
6202	551082	1	1	768	3	Vít	Prýgl	M			58	vedoucí odboru DPMB	Brno-Bohunice	768	768	A
6202	551082	1	1	768	4	Dana	Hermanová	F	JUDr.		59	právnička	Brno-Bohunice	768	768	A
6202	551082	1	1	768	5	Martin	Soušek	M			28	obchodní zástupce	Brno-Bohunice	768	768	A
6202	551082	1	1	768	6	Martin	Urbánek	M			19	student	Brno-Bohunice	768	768	A
6202	551082	1	1	768	7	Robert	Jantač	M	Mgr.		39	podnikatel	Brno-Bohunice	99	768	A
6202	551082	1	1	768	8	Petr	Zourek	M			41	technik	Brno-Bohunice	99	768	A
6202	551082	1	1	768	9	Lubora	Bednaříková	F	Mgr.		56	podnikatelka	Brno-Bohunice	768	768	A
6202	551082	1	1	768	10	Taťjana	Krýslová	F	Ing.		63	důchodkyně	Brno-Bohunice	768	768	A
6202	551082	1	1	768	11	Petr	Wagner	M	Ing.		53	ředitel společnosti	Brno-Bohunice	99	768	A
6202	551082	1	1	768	12	Marie	Trundová	F			63	důchodkyně	Brno-Bohunice	99	768	A
6202	551082	1	1	768	13	Lenka	Juríková	F			42	customer care	Brno-Bohunice	99	768	A
6202	551082	1	1	768	14	Petra	Zajíčková	F			42	OSVČ	Brno-Bohunice	99	768	A
6202	551082	1	1	768	15	František	Michl	M			66	účetní	Brno-Bohunice	99	768	A
6202	551082	1	1	768	16	Ladislav	Vašát	M			66	důchodce	Brno-Bohunice	99	768	A
6202	551082	1	1	768	17	Dominik	Šmerek	M			19	student	Brno-Bohunice	99	768	A
6202	551082	1	1	768	18	Vendula	Brzobohatá	F	Mgr.		37	jednatelka společnosti	Brno-Bohunice	99	768	A
6202	551082	1	1	768	19	Jaroslava	Prýglová	F			52	personalistka	Brno-Bohunice	99	768	A
6202	551082	1	1	768	20	Luboš	Pisinger	M			61	recepční	Brno-Bohunice	99	768	A
6202	551082	1	1	768	21	Ladislav	Urbánek	M			65	důchodce	Brno-Bohunice	99	768	A
6202	551082	1	2	1357	1	Robert	Kotzian	M	Mgr. Ing.	Ph.D.	44	právník	Brno-Bohunice	1200	1200	A
6202	551082	1	2	1357	2	Eva	Duřpektová	F	PhDr.		33	konzultantka ve veřejné správě	Brno-Bohunice	1200	1200	A
6202	551082	1	2	1357	3	Miloš	Vrážel	M	Ing.		58	vedoucí úřadu městské části	Brno-Bohunice	99	80	A
6202	551082	1	2	1357	4	František	Kročil	M			58	živnostník	Brno-Bohunice	99	1200	A
6202	551082	1	2	1357	5	Vladimír	Adam	M	Ing.		73	důchodce	Brno-Bohunice	99	1200	A
6202	551082	1	2	1357	6	Petra	Zapletalová	F			42	personalistka a mzdová účetní	Brno-Bohunice	99	1200	A
6202	551082	1	2	1357	7	Zdeněk	Novoměstský	M			55	malíř-natěrač	Brno-Bohunice	99	1200	A
6202	551082	1	2	1357	8	Nataša	Hubatková	F	Mgr.		51	sociální pracovnice	Brno-Bohunice	99	1200	A
6202	551082	1	2	1357	9	Vlasta	Němečková	F			68	fyzioterapeut	Brno-Bohunice	99	1200	A
6202	551082	1	2	1357	10	Jaroslava	Průšová	F			61	zdravotní sestra	Brno-Bohunice	99	1200	A
6202	551082	1	2	1357	11	Jarmila	Jimramovská	F	PhDr.		59	vychovatelka	Brno-Bohunice	99	1200	A
6202	551082	1	2	1357	12	Vladimír	Žaža	M	Ing.		54	programátor PLC	Brno-Bohunice	99	1200	A
6202	551082	1	2	1357	13	Pavel	Pučegl	M	Ing.		35	projektant, vedoucí čety optických sítí	Brno-Bohunice	99	1200	A
6202	551082	1	2	1357	14	Lukáš	Drchal	M			36	technik údržby	Brno-Bohunice	99	80	A
6202	551082	1	2	1357	15	Patrik	Pflug	M			43	řidič MHD	Brno-Bohunice	99	80	A
6202	551082	1	2	1357	16	Dan	Gric	M			54	technik údržby	Brno-Bohunice	99	80	A
6202	551082	1	2	1357	17	Helena	Repková	F	MUDr.		58	lékařka	Brno-Bohunice	99	80	A
6202	551082	1	2	1357	18	Denisa	Leberová	F	PharmDr.		41	lékárník	Brno-Bohunice	99	1200	A
6202	551082	1	2	1357	19	Hana	Hanušová	F			38	telefonní operátorka	Brno-Bohunice	99	80	A
6202	551082	1	2	1357	20	Milena	Kotzianová	F	MUDr.		71	učitelka	Brno-Bohunice	99	1200	A
6202	551082	1	2	1357	21	Blanka	Adamová	F	doc. MUDr.	Ph.D.	47	lékařka	Brno-Bohunice	99	1200	A
