OKRES	KODZASTUP	COBVODU	POR_STR_HL	OSTRANA	PORCISLO	JMENO	PRIJMENI	TITULPRED	TITULZA	VEK	POVOLANI	BYDLISTEN	PSTRANA	NSTRANA	PLATNOST	POHLAVI
6202	551252	1	1	371	1	Stanislav	Dvořák	Ing.		60	místostarosta	Brno-Maloměřice a Obřany	7	7	A	M
6202	551252	1	2	721	1	Zuzana	Kyliánová	Ing.		62	jednatel firmy	Brno-Maloměřice a Obřany	721	721	A	F
6202	551252	1	3	355	1	Klára	Liptáková	Ing.		48	starostka Maloměřic a Obřan	Brno-Maloměřice a Obřany	1	1	A	F
6202	551252	1	4	53	1	Michaela	Chalupová	JUDr.		59	právník	Brno-Maloměřice a Obřany	53	53	A	F
6202	551252	1	5	901	1	Vladimír	Pavelka	Ing.		56	středoškolský učitel	Brno-Maloměřice a Obřany	99	80	A	M
6202	551252	1	6	47	1	Vilém	Ožana	Mgr.		51	pedagog	Brno-Maloměřice a Obřany	47	47	A	M
6202	551252	1	7	801	1	Zuzana	Rožcová	Ing.		63	úřednice	Brno-Maloměřice a Obřany	99	80	A	F
6202	551252	1	8	166	1	Eva	Juhová	Ing.		31	manažer v sociálním podniku	Brno-Maloměřice a Obřany	99	166	A	F
6202	551252	1	1	371	2	Petr	Vorel	Mgr.		73	pedagog v.v.	Brno-Maloměřice a Obřany	7	7	A	M
6202	551252	1	2	721	2	Petr	Vaněk			47	OSVČ	Brno-Maloměřice a Obřany	99	721	A	M
6202	551252	1	3	355	2	Ivan	Emr			60	středoškolský učitel	Brno-Maloměřice a Obřany	1	1	A	M
6202	551252	1	4	53	2	Petr	Havlíček	Ing.		49	jednatel	Brno-Maloměřice a Obřany	53	53	A	M
6202	551252	1	5	901	2	Helena	Sokolová	Ing.		33	středoškolská učitelka, OSVČ	Brno-Maloměřice a Obřany	99	80	A	F
6202	551252	1	6	47	2	Stanislav	Burian			35	dělník	Brno-Maloměřice a Obřany	99	47	A	M
6202	551252	1	8	166	2	Irena	Matonohová	JUDr.		45	právnička	Brno-Maloměřice a Obřany	166	166	A	F
6202	551252	1	1	371	3	Michal	Kačírek	Mgr.		47	mediální manažer	Brno-Maloměřice a Obřany	7	7	A	M
6202	551252	1	2	721	3	Ivana	Olbertová			51	finanční účetní	Brno-Maloměřice a Obřany	99	721	A	F
6202	551252	1	3	355	3	Martin	Knoz	JUDr.		56	ředitel a.s.	Brno-Maloměřice a Obřany	99	1	A	M
6202	551252	1	4	53	3	Petr	Pavlica			48	produktový manažer	Brno-Maloměřice a Obřany	53	53	A	M
6202	551252	1	5	901	3	Pavel	Gryc			38	obchodně technický manager	Brno-Maloměřice a Obřany	99	80	A	M
6202	551252	1	6	47	3	Gabriela	Kyselková			48	zdravotní sestra	Brno-Maloměřice a Obřany	99	47	A	F
6202	551252	1	8	166	3	Dominik	Vyšinka			18	student	Brno-Maloměřice a Obřany	99	166	A	M
6202	551252	1	1	371	4	Richard	Elleder	Ing.		41	technický ředitel	Brno-Maloměřice a Obřany	7	7	A	M
6202	551252	1	2	721	4	Miroslav	Šimčík	Ing.		79	důchodce	Brno-Maloměřice a Obřany	99	721	A	M
6202	551252	1	3	355	4	Jaroslav	Hronek			63	servisní technik	Brno-Maloměřice a Obřany	99	1	A	M
6202	551252	1	4	53	4	Lubomír	Chalupa	Ing.		60	technik	Brno-Maloměřice a Obřany	53	53	A	M
6202	551252	1	5	901	4	Monika	Macejová			51	technický pracovník	Brno-Maloměřice a Obřany	99	80	A	F
6202	551252	1	6	47	4	Jozef	Mečiar	RNDr.		59	geograf	Brno-Maloměřice a Obřany	99	47	A	M
6202	551252	1	8	166	4	Kateřina	Ledererová			27	administrativní pracovník	Brno-Maloměřice a Obřany	99	166	A	F
6202	551252	1	1	371	5	Barbora	Duchanová	Mgr.		35	sociální pracovnice	Brno-Maloměřice a Obřany	7	7	A	F
6202	551252	1	2	721	5	Romana	Černá			46	zdravotní sestra	Brno-Maloměřice a Obřany	99	721	A	F
6202	551252	1	3	355	5	Vít	Pleva			56	elektrotechnik	Brno-Maloměřice a Obřany	1	1	A	M
6202	551252	1	4	53	5	Jarmila	Kocmanová			78	projektantka	Brno-Maloměřice a Obřany	53	53	A	F
6202	551252	1	5	901	5	Jiří	Macháček			47	technik	Brno-Maloměřice a Obřany	99	80	A	M
6202	551252	1	6	47	5	Jiří	Janko			70	dělník - důchodce	Brno-Maloměřice a Obřany	47	47	A	M
6202	551252	1	8	166	5	Ondřej	Herzán	Mgr.		35	pedagog	Brno-Maloměřice a Obřany	166	166	A	M
