OKRES	KODZASTUP	COBVODU	POR_STR_HL	OSTRANA	PORCISLO	JMENO	PRIJMENI	TITULPRED	TITULZA	VEK	POVOLANI	BYDLISTEN	PSTRANA	NSTRANA	PLATNOST	POHLAVI
6202	551244	1	1	721	1	Ondřej	Vít	Mgr.		38	právník, fotbalový trenér pro děti a mládež	Brno-Řečkovice a Mokrá Hora	721	721	A	M
6202	551244	1	2	463	1	Jiří	Růžička	Ing.		70	starosta TJ Sokol Brno-Řečkovice	Brno-Řečkovice a Mokrá Hora	99	158	A	M
6202	551244	1	3	364	1	Česlav	Ulrich			40	chemik	Brno-Řečkovice a Mokrá Hora	99	5	A	M
6202	551244	1	4	768	1	René	Černý	Mgr.		47	místostarosta	Brno-Řečkovice a Mokrá Hora	768	768	A	M
6202	551244	1	5	1101	1	Dana	Filipi			48	manažerka v Městském divadle Brno	Brno-Řečkovice a Mokrá Hora	53	53	A	F
6202	551244	1	6	47	1	Ladislav	Býček	Ing.		73	důchodce	Brno-Řečkovice a Mokrá Hora	47	47	A	M
6202	551244	1	7	7	1	Marek	Viskot	Mgr. Bc.		35	starosta městské části	Brno-Řečkovice a Mokrá Hora	7	7	A	M
6202	551244	1	8	355	1	Jiří	Prchal			45	zaměstnanec obchodní firmy	Brno-Řečkovice a Mokrá Hora	1	1	A	M
6202	551244	1	1	721	2	Dana	Malíková	Mgr.		52	pedagog, členka redakční rady Řeči	Brno-Řečkovice a Mokrá Hora	721	721	A	F
6202	551244	1	2	463	2	Marek	Gut	Ing.		48	oblastní manažer	Brno-Řečkovice a Mokrá Hora	99	80	A	M
6202	551244	1	3	364	2	Martin	Vach	Mgr.		38	odborník v oboru informačních technologií	Brno-Řečkovice a Mokrá Hora	5	5	A	M
6202	551244	1	4	768	2	Vladislav	Musil	Prof. Ing.	CSc.	65	vysokoškolský učitel	Brno-Řečkovice a Mokrá Hora	768	768	A	M
6202	551244	1	5	1101	2	Stanislav	Michalík	Ing.		55	projektový manažer	Brno-Řečkovice a Mokrá Hora	53	53	A	M
6202	551244	1	6	47	2	Dana	Braunerová			57	účetní	Brno-Řečkovice a Mokrá Hora	99	47	A	F
6202	551244	1	7	7	2	Filip	Hrůza	Ing.		34	ředitel Institutu veřejné správy na MU	Brno-Řečkovice a Mokrá Hora	7	7	A	M
6202	551244	1	8	355	2	Petr	Prokš	Ing.		49	ředitel společnosti	Brno-Řečkovice a Mokrá Hora	1	1	A	M
6202	551244	1	1	721	3	Jaroslav	Řezník	Ing.		35	open source manažer a vývojář	Brno-Řečkovice a Mokrá Hora	721	721	A	M
6202	551244	1	2	463	3	Eva	Janovská			45	zdravotní laborantka	Brno-Řečkovice a Mokrá Hora	99	80	A	F
6202	551244	1	3	364	3	Ondřej	Štaud	PhDr.	Ph.D.	33	manažer řízení lidských zdrojů, pedagog	Brno-Řečkovice a Mokrá Hora	99	5	A	M
6202	551244	1	4	768	3	Lenka	Vystrčilová			38	asistentka ředitele	Brno-Řečkovice a Mokrá Hora	768	768	A	F
6202	551244	1	5	1101	3	Richard	Foltýn			45	manažer basketbalového oddílu KP Brno	Brno-Řečkovice a Mokrá Hora	53	53	A	M
6202	551244	1	6	47	3	Karel	Fintes			76	důchodce	Brno-Řečkovice a Mokrá Hora	47	47	A	M
6202	551244	1	7	7	3	Ivan	Mašek	doc. Ing.	CSc.	69	vysokoškolský učitel	Brno-Řečkovice a Mokrá Hora	7	7	A	M
6202	551244	1	8	355	3	Petr	Roháček	Bc.		46	referent v zemědělském ústavu	Brno-Řečkovice a Mokrá Hora	1	1	A	M
6202	551244	1	1	721	4	Vladimír	Jelínek	Ing.		43	grafik	Brno-Řečkovice a Mokrá Hora	721	721	A	M
6202	551244	1	2	463	4	Eva	Kostolanská	Mgr. Bc.		28	právnička	Brno-Řečkovice a Mokrá Hora	99	80	A	F
6202	551244	1	3	364	4	Blažena	Trtílková			57	jeřábnice	Brno-Řečkovice a Mokrá Hora	99	5	A	F
6202	551244	1	4	768	4	Daniel	Struž	Ing.		49	produktový ředitel	Brno-Řečkovice a Mokrá Hora	768	768	A	M
6202	551244	1	5	1101	4	Jiří	Feyrer	Mgr.		46	právník	Brno-Řečkovice a Mokrá Hora	53	53	A	M
6202	551244	1	6	47	4	Zdena	Havranová			80	důchodkyně	Brno-Řečkovice a Mokrá Hora	47	47	A	F
6202	551244	1	7	7	4	Martin	Otčenášek	Ing.		35	manažer informační bezpečnosti	Brno-Řečkovice a Mokrá Hora	7	7	A	M
6202	551244	1	8	355	4	Oldřich	Gardáš			52	divadelní technik	Brno-Řečkovice a Mokrá Hora	1	1	A	M
6202	551244	1	1	721	5	Tomáš	Chovanec	Bc.	DiS.	29	sociální pracovník	Brno-Řečkovice a Mokrá Hora	721	721	A	M
6202	551244	1	2	463	5	Petra	Skalická	Ing.	Ph.D.	33	dopravní inženýrka, trenérka zápasu TAK Hellas	Brno-Řečkovice a Mokrá Hora	99	80	A	F
6202	551244	1	3	364	5	Pavel	Kučera	Mgr.		44	učitel na základní škole	Brno-Řečkovice a Mokrá Hora	99	5	A	M
6202	551244	1	4	768	5	Karel	Vonášek			49	projektant	Brno-Řečkovice a Mokrá Hora	768	768	A	M
6202	551244	1	5	1101	5	David	Pokorný	Bc.		23	experimentální fyzik, krajský předseda Svobodných	Brno-Řečkovice a Mokrá Hora	714	714	A	M
6202	551244	1	6	47	5	Zdeněk	Branžovský			75	důchodce	Brno-Řečkovice a Mokrá Hora	47	47	A	M
6202	551244	1	7	7	5	Josef	Kugler			54	operátor CNC	Brno-Řečkovice a Mokrá Hora	99	7	A	M
6202	551244	1	8	355	5	Jana	Lédlová	Ing.		48	inženýrka ekonomie	Brno-Řečkovice a Mokrá Hora	1	1	A	F
6202	551244	1	1	721	6	Matouš	Král			25	software developer	Brno-Řečkovice a Mokrá Hora	721	721	A	M
6202	551244	1	2	463	6	Libor	Kovařík	Ing.		49	analytik, předseda SVJ	Brno-Řečkovice a Mokrá Hora	99	80	A	M
6202	551244	1	3	364	6	František	Pavlíček	Bc.		44	účetní	Brno-Řečkovice a Mokrá Hora	99	5	A	M
6202	551244	1	4	768	6	Soňa	Ledvinková	Ing.		39	ekonomka	Brno-Řečkovice a Mokrá Hora	768	768	A	F
6202	551244	1	5	1101	6	Stanislav	Novák	Ing.		71	ekonom	Brno-Řečkovice a Mokrá Hora	53	53	A	M
6202	551244	1	6	47	6	Vítězslav	Krejčí	Ing.		87	důchodce	Brno-Řečkovice a Mokrá Hora	47	47	A	M
6202	551244	1	7	7	6	Vlasta	Zelinková	Ing.		43	vedoucí oddělení informatiky Nejvyššího soudu	Brno-Řečkovice a Mokrá Hora	7	7	A	F
6202	551244	1	8	355	6	Petr	Bořecký			30	živnostník	Brno-Řečkovice a Mokrá Hora	1	1	A	M
6202	551244	1	1	721	7	Jiřina	Versteegh	Ing.		36	ekonomka pro životní prostředí	Brno-Řečkovice a Mokrá Hora	721	721	A	F
6202	551244	1	2	463	7	Vojtěch	Matal			24	student	Brno-Řečkovice a Mokrá Hora	99	80	A	M
6202	551244	1	3	364	7	Kamil	Kuhn			32	prodejce nových motorových vozidel	Brno-Řečkovice a Mokrá Hora	99	5	A	M
6202	551244	1	4	768	7	Jan	Lick	Ing.		46	ředitel regionu	Brno-Řečkovice a Mokrá Hora	768	768	A	M
6202	551244	1	5	1101	7	Tomáš	Kočař	Mgr. Bc.		26	právník	Brno-Řečkovice a Mokrá Hora	53	53	A	M
6202	551244	1	6	47	7	Eduard	Lazárek			75	důchodce	Brno-Řečkovice a Mokrá Hora	99	47	A	M
6202	551244	1	7	7	7	Vítězslav	Nekovář	Ing.		62	ekonom	Brno-Řečkovice a Mokrá Hora	7	7	A	M
6202	551244	1	8	355	7	Kateřina	Svobodová			46	projektová manažerka	Brno-Řečkovice a Mokrá Hora	1	1	A	F
6202	551244	1	1	721	8	Veronika	Zelinko Vardanová	Mgr.		34	personalistka	Brno-Řečkovice a Mokrá Hora	721	721	A	F
6202	551244	1	2	463	8	Jan	Bartoněk	Mgr.		72	chemik	Brno-Řečkovice a Mokrá Hora	99	80	A	M
6202	551244	1	3	364	8	Ludmila	Nováková		DiS.	33	sociální pracovnice, na rodičovské dovolené	Brno-Řečkovice a Mokrá Hora	99	5	A	F
6202	551244	1	4	768	8	Tomáš	Pokorný			46	jednatel společnosti	Brno-Řečkovice a Mokrá Hora	768	768	A	M
6202	551244	1	5	1101	8	Jiří	Široký	Ing.		51	IT konzultant	Brno-Řečkovice a Mokrá Hora	714	714	A	M
6202	551244	1	6	47	8	Božena	Volánková			47	odečítač plynu	Brno-Řečkovice a Mokrá Hora	99	47	A	F
6202	551244	1	7	7	8	Václav	Kokta	JUDr.		46	ředitel společnosti	Brno-Řečkovice a Mokrá Hora	7	7	A	M
6202	551244	1	8	355	8	Kristýna	Saňková			19	studentka	Brno-Řečkovice a Mokrá Hora	99	1	A	F
6202	551244	1	1	721	9	Martin	Král	Ing.		37	letecký inženýr	Brno-Řečkovice a Mokrá Hora	721	721	A	M
6202	551244	1	2	463	9	David	Jančík			47	vedoucí prodeje pro ČR	Brno-Řečkovice a Mokrá Hora	99	80	A	M
6202	551244	1	3	364	9	Ondřej	Růžička	Mgr.		40	učitel na základní škole	Brno-Řečkovice a Mokrá Hora	99	5	A	M
6202	551244	1	4	768	9	Anatol	Abrahámek	Ing.		62	ekonom	Brno-Řečkovice a Mokrá Hora	768	768	A	M
6202	551244	1	5	1101	9	Ludmila	Fousová			71	finanční poradce	Brno-Řečkovice a Mokrá Hora	53	53	A	F
6202	551244	1	6	47	9	Jiřina	Krejčová			79	důchodkyně	Brno-Řečkovice a Mokrá Hora	47	47	A	F
6202	551244	1	7	7	9	Jana	Trávníčková			50	logistička	Brno-Řečkovice a Mokrá Hora	7	7	A	F
6202	551244	1	8	355	9	Milan	Trnka	Ing.		70	důchodce	Brno-Řečkovice a Mokrá Hora	99	1	A	M
6202	551244	1	1	721	10	Jiří	Liška			48	jednatel společnosti	Brno-Řečkovice a Mokrá Hora	99	721	A	M
6202	551244	1	2	463	10	Rudolf	Čermák	Mgr.		31	úředník trhu práce	Brno-Řečkovice a Mokrá Hora	99	80	A	M
6202	551244	1	3	364	10	Pavel	Štěpánek			20	student	Brno-Řečkovice a Mokrá Hora	99	5	A	M
6202	551244	1	4	768	10	Dan	Marek			54	provozní pracovník	Brno-Řečkovice a Mokrá Hora	768	768	A	M
6202	551244	1	5	1101	10	Jaroslav	Paleček	Ing.		65	podnikatel	Brno-Řečkovice a Mokrá Hora	53	53	A	M
6202	551244	1	6	47	10	Jana	Brodecká			64	důchodkyně	Brno-Řečkovice a Mokrá Hora	47	47	A	F
6202	551244	1	7	7	10	Vladimír	Fryc	Ing.		36	projektový manažer	Brno-Řečkovice a Mokrá Hora	7	7	A	M
6202	551244	1	8	355	10	Pavel	Olbrich			54	mechanik	Brno-Řečkovice a Mokrá Hora	1	1	A	M
6202	551244	1	1	721	11	Eva	Malásková	Ing.		64	stavební inženýr	Brno-Řečkovice a Mokrá Hora	99	721	A	F
6202	551244	1	2	463	11	Martin	Chlup			35	obchodní zástupce	Brno-Řečkovice a Mokrá Hora	99	80	A	M
6202	551244	1	3	364	11	Veronika	Tišnovská	Mgr.		25	studentka	Brno-Řečkovice a Mokrá Hora	99	5	A	F
6202	551244	1	4	768	11	Petr	Kotrbáček	Ing.	Ph.D.	44	vědecký a výzkumný pracovník	Brno-Řečkovice a Mokrá Hora	768	768	A	M
6202	551244	1	5	1101	11	Ondřej	Efraim Kubík			29	redaktor	Brno-Řečkovice a Mokrá Hora	714	714	A	M
6202	551244	1	6	47	11	Václav	Hubený			66	důchodce	Brno-Řečkovice a Mokrá Hora	47	47	A	M
6202	551244	1	7	7	11	Dagmar	Navrátilová	Mgr.		61	sociální pedagožka	Brno-Řečkovice a Mokrá Hora	7	7	A	F
6202	551244	1	8	355	11	Jiří	Libus	Ing.		36	finanční manažer	Brno-Řečkovice a Mokrá Hora	99	1	A	M
6202	551244	1	1	721	12	Václav	Hadrava	Ing.		37	konzultant ve stavebnictví	Brno-Řečkovice a Mokrá Hora	99	721	A	M
6202	551244	1	2	463	12	Šárka	Váňová	Mgr.		31	učitelka MŠ	Brno-Řečkovice a Mokrá Hora	99	80	A	F
6202	551244	1	3	364	12	Blažena	Švandová	RNDr.		73	důchodkyně, dříve učitelka na MU v Brně	Brno-Řečkovice a Mokrá Hora	99	5	A	F
6202	551244	1	4	768	12	Boris	Edinger			47	živnostník	Brno-Řečkovice a Mokrá Hora	768	768	A	M
6202	551244	1	5	1101	12	Petr	Krákora			53	OSVČ	Brno-Řečkovice a Mokrá Hora	53	53	A	M
6202	551244	1	6	47	12	Marie	Křížová			81	důchodkyně	Brno-Řečkovice a Mokrá Hora	99	47	A	F
6202	551244	1	7	7	12	Radek	Konečný			45	zkušební technik	Brno-Řečkovice a Mokrá Hora	7	7	A	M
6202	551244	1	8	355	12	Jana	Bartoňková			49	tajemnice sokolské župy	Brno-Řečkovice a Mokrá Hora	99	1	A	F
6202	551244	1	1	721	13	Luděk	Bláha	prof. RNDr.	Ph.D.	45	akademický pracovník	Brno-Řečkovice a Mokrá Hora	99	721	A	M
6202	551244	1	2	463	13	Irena	Zahrádková			42	účetní	Brno-Řečkovice a Mokrá Hora	99	80	A	F
6202	551244	1	3	364	13	Jan	Bořecký	Ing.		32	vedoucí výroby	Brno-Řečkovice a Mokrá Hora	99	5	A	M
6202	551244	1	4	768	13	Leo	Kučera			60	technik výroby	Brno-Řečkovice a Mokrá Hora	768	768	A	M
6202	551244	1	5	1101	13	Marie	Pavelková	Mgr.		30	učitelka na základní škole	Brno-Řečkovice a Mokrá Hora	99	53	A	F
6202	551244	1	6	47	13	Dušan	Brodecký			65	důchodce	Brno-Řečkovice a Mokrá Hora	47	47	A	M
6202	551244	1	7	7	13	Marek	Smysl	Ing.	Ph.D.	39	ekonom analytik	Brno-Řečkovice a Mokrá Hora	7	7	A	M
6202	551244	1	8	355	13	Miroslava	Suchá			63	důchodkyně	Brno-Řečkovice a Mokrá Hora	99	1	A	F
