OKRES	KODZASTUP	COBVODU	POR_STR_HL	OSTRANA	PORCISLO	JMENO	PRIJMENI	POHLAVI	TITULPRED	TITULZA	VEK	POVOLANI	BYDLISTEN	PSTRANA	NSTRANA	PLATNOST
6202	551058	1	1	355	1	Jan	Grůza	M	Ing.		60	agronom	Brno-Židenice	1	1	A
6202	551058	1	1	355	2	Jarmila	Ambrožová	F			66	ekonomka	Brno-Židenice	1	1	A
6202	551058	1	1	355	3	Štěpán	Juránek	M	Bc.		28	pedagog, trenér	Brno-Židenice	1	1	A
6202	551058	1	1	355	4	Josef	Veselý	M	Ing.		58	dopravní specialista	Brno-Židenice	1	1	A
6202	551058	1	1	355	5	Jan	Přikryl	M			28	marketingový analytik	Brno-Židenice	1	1	A
6202	551058	1	1	355	6	Petr	Oujezdský	M	Ing.		59	lesní inženýr	Brno-Židenice	99	1	A
6202	551058	1	1	355	7	Kateřina	Katrňáková	F			44	specialistka	Brno-Židenice	1	1	A
6202	551058	1	1	355	8	Ivo	Bezecný	M	Ing.		54	projektový konzultant	Brno-Židenice	1	1	A
6202	551058	1	1	355	9	Jan	Komárek	M			29	administrativní pracovník	Brno-Židenice	1	1	A
6202	551058	1	1	355	10	Dominik	Grůza	M	Mgr.		35	analytik	Brno-Židenice	1	1	A
6202	551058	1	1	355	11	Karel	Schmidt	M			53	učitel OV	Brno-Židenice	1	1	A
6202	551058	1	1	355	12	Vojtěch	Žďárek	M			32	živnostník	Brno-Židenice	1	1	A
6202	551058	1	1	355	13	Pavla	Benešová	F	MUDr.		64	zubní lékařka	Brno-Židenice	1	1	A
6202	551058	1	1	355	14	Josef	Hampl	M			52	provozní technik	Brno-Židenice	1	1	A
6202	551058	1	1	355	15	Antonín	Pokorný	M	MUDr.		55	lékař	Brno-Židenice	99	1	A
6202	551058	1	1	355	16	Ludmila	Řezníčková	F	PharmDr.		62	lékárnice	Brno-Židenice	99	1	A
6202	551058	1	1	355	17	Stanislav	Lang	M			33	automatizační technik	Brno-Židenice	99	1	A
6202	551058	1	1	355	18	Zdeňka	Veselá	F			56	asistentka	Brno-Židenice	1	1	A
6202	551058	1	1	355	19	Jiří	Souček	M	Ing.		50	manažer telekomunikací	Brno-Židenice	99	1	A
6202	551058	1	1	355	20	Jaroslava	Kalábová	F	Ing.		60	stavební inženýrka	Brno-Židenice	99	1	A
6202	551058	1	1	355	21	Pavel	Schmidt	M			22	student VŠ	Brno-Židenice	1	1	A
6202	551058	1	1	355	22	Pavel	Kolačný	M			50	OSVČ	Brno-Židenice	99	80	A
6202	551058	1	1	355	23	Jiří	Sehnal	M	prof. PhDr.	CSc.	87	emeritní profesor	Brno-Židenice	1	1	A
6202	551058	1	1	355	24	Karel	Kolář	M			68	stavbyvedoucí	Brno-Židenice	1	1	A
6202	551058	1	1	355	25	Vlasta	Šimoníková	F			64	dámská krejčová	Brno-Židenice	1	1	A
6202	551058	1	1	355	26	Jiří	Šimoník	M			68	elektromechanik v důchodu	Brno-Židenice	1	1	A
6202	551058	1	1	355	27	Kateřina	Krejčířová	F	Bc.		41	asistentka	Brno-Židenice	1	1	A
6202	551058	1	1	355	28	Petr	Janko	M	Ing.		51	jednatel společnosti	Brno-Židenice	1	1	A
6202	551058	1	1	355	29	Karel	Komárek	M	PhDr.		55	vysokoškolský pedagog	Brno-Židenice	1	1	A
6202	551058	1	2	53	1	Roman	Vašina	M	Ing.		60	daňový poradce	Brno-Židenice	53	53	A
6202	551058	1	2	53	2	Yvette	Krpálková	F	Ing.		51	ekonomka	Brno-Židenice	53	53	A
6202	551058	1	2	53	3	Jiří	Rygl	M	Ing.		60	daňový poradce	Brno-Židenice	53	53	A
6202	551058	1	2	53	4	Radim	Augustýn	M			34	manažer obchodu	Brno-Židenice	53	53	A
6202	551058	1	2	53	5	Marek	Hauke	M	Ing.		43	předseda dozorčí rady	Brno-Židenice	53	53	A
6202	551058	1	2	53	6	Lenka	Ševčíková	F	MUDr.		51	lékařka	Brno-Židenice	53	53	A
6202	551058	1	2	53	7	Petra	Dojčáková	F			26	pracovnice ve veřejné správě	Brno-Židenice	99	53	A
6202	551058	1	2	53	8	Aleš	Olšanský	M			41	podnikatel	Brno-Židenice	99	53	A
6202	551058	1	2	53	9	Roman	Čáp	M			41	podnikatel	Brno-Židenice	53	53	A
6202	551058	1	2	53	10	Hana	Jerković	F			42	personalistka	Brno-Židenice	99	53	A
6202	551058	1	2	53	11	Jindra	Bezvodová	F	Ing.		54	podnikatelka	Brno-Židenice	53	53	A
6202	551058	1	2	53	12	Tomáš	Krejčí	M			49	invalidní důchodce	Brno-Židenice	53	53	A
6202	551058	1	2	53	13	Jakub	Jurásek	M	Mgr.		34	advokát	Brno-Židenice	53	53	A
6202	551058	1	2	53	14	Martin	Pospíšil	M	RNDr.		55	podnikatel	Brno-Židenice	53	53	A
6202	551058	1	2	53	15	David	Krejčí	M			36	podnikatel	Brno-Židenice	53	53	A
6202	551058	1	2	53	16	Yveta	Zouharová	F			58	podnikatelka	Brno-Židenice	99	53	A
