OKRES	KODZASTUP	COBVODU	POR_STR_HL	OSTRANA	PORCISLO	JMENO	PRIJMENI	POHLAVI	TITULPRED	TITULZA	VEK	POVOLANI	BYDLISTEN	PSTRANA	NSTRANA	PLATNOST
6203	583952	1	1	903	1	David	Sedláček	M			38	živnostník	Šlapanice	99	80	A
6203	583952	1	1	903	2	Jan	Zeman	M			39	živnostník	Šlapanice	99	80	A
6203	583952	1	1	903	3	Radomír	Suchánek	M			51	živnostník	Šlapanice	99	80	A
6203	583952	1	1	903	4	František	Vaněk	M			58	jednatel společnosti	Šlapanice	99	80	A
6203	583952	1	1	903	5	Klára	Procházková	F	Ing.		44	jednatel společnosti	Šlapanice	99	80	A
6203	583952	1	1	903	6	Milan	Létal	M			44	živnostník	Šlapanice	99	80	A
6203	583952	1	1	903	7	Miroslav	Řezníček	M			33	pokrývač	Šlapanice	99	80	A
6203	583952	1	1	903	8	Eva	Míčová	F	Ing.		53	živnostník	Šlapanice	99	80	A
6203	583952	1	1	903	9	Martin	Muselík	M			27	živnostník	Šlapanice	99	80	A
6203	583952	1	1	903	10	Jarmila	Šmerdová	F			47	živnostník	Šlapanice	99	80	A
6203	583952	1	1	903	11	Jan	Podborský	M			37	řidič	Šlapanice	99	80	A
6203	583952	1	1	903	12	Pavel	Tlačbaba	M			53	řidič	Šlapanice	99	80	A
6203	583952	1	1	903	13	Aleš	Karásek	M			52	jednatel společnosti	Šlapanice	99	80	A
6203	583952	1	1	903	14	Jaroslava	Lahodová	F			69	důchodkyně	Šlapanice	99	80	A
6203	583952	1	1	903	15	Marek	Novák	M			37	bankovní úředník	Šlapanice	99	80	A
6203	583952	1	1	903	16	Josef	Kittel	M			50	dělník	Šlapanice	99	80	A
6203	583952	1	1	903	17	Nicole	Klašková	F			47	učitelka	Šlapanice	99	80	A
6203	583952	1	1	903	18	Michal	Olejník	M			28	stolař	Šlapanice	99	80	A
6203	583952	1	1	903	19	Gabriela	Brzobohatá	F			29	podnikatelka	Šlapanice	99	80	A
6203	583952	1	1	903	20	David	Keler	M			21	prodavač	Šlapanice	99	80	A
6203	583952	1	1	903	21	Věra	Keberlová	F			60	důchodkyně	Šlapanice	99	80	A
6203	583952	1	2	7	1	Ivo	Kouřil	M	Ing.		56	státní zaměstnanec	Šlapanice	7	7	A
6203	583952	1	2	7	2	Barbora	Fryblíková	F	Bc.	BA (Hons)	33	specialista na sociální a zdravotní pojištění	Šlapanice	7	7	A
6203	583952	1	2	7	3	Jiří	Štěpánek	M	Bc.		58	učitel	Šlapanice	7	7	A
6203	583952	1	2	7	4	Lucie	Dlábková	F	Ing.		40	asistentka	Šlapanice	7	7	A
6203	583952	1	2	7	5	Svatopluk	Novák	M	doc. RNDr.	CSc.	57	vysokoškolský pedagog	Šlapanice	7	7	A
6203	583952	1	2	7	6	Zbyněk	Kadlc	M	RNDr.		57	malý výrobce šlapanického domácího piva	Šlapanice	7	7	A
6203	583952	1	2	7	7	Petr	Častulík	M			54	technik	Šlapanice	7	7	A
6203	583952	1	2	7	8	Jaroslav	Beránek	M	doc. RNDr.	CSc.	60	matematik	Šlapanice	99	7	A
6203	583952	1	2	7	9	Magdaléna	Budínová	F			45	uklízečka	Šlapanice	7	7	A
6203	583952	1	2	7	10	Vladimír	Jun	M			61	technik	Šlapanice	7	7	A
6203	583952	1	2	7	11	Jindřiška	Kouřilová	F			52	mistrová	Šlapanice	7	7	A
6203	583952	1	2	7	12	Marie	Kubešová	F			63	důchodce	Šlapanice	7	7	A
6203	583952	1	2	7	13	Alois	Kincl	M			63	důchodce	Šlapanice	7	7	A
6203	583952	1	2	7	14	Bronislav	Heinz	M			60	podnikatel	Šlapanice	99	7	A
6203	583952	1	2	7	15	Eva	Švehlová	F			53	administrativní pracovnice	Šlapanice	99	7	A
6203	583952	1	2	7	16	Pavel	Fryblík	M	Ing.		33	datový analytik	Šlapanice	99	7	A
6203	583952	1	2	7	17	Radomír	Orel	M			31	grafik	Šlapanice	99	7	A
6203	583952	1	2	7	18	David	Kubeša	M			38	státní zaměstnanec	Šlapanice	99	7	A
6203	583952	1	2	7	19	Jindřich	Oplt	M			80	důchodce	Šlapanice	7	7	A
6203	583952	1	2	7	20	Filip	Mazálek	M			27	elektrikář	Šlapanice	99	7	A
6203	583952	1	2	7	21	Jiří	Tihon	M			34	automechanik	Šlapanice	99	7	A
6203	583952	1	3	480	1	Pavel	Horák	M			46	obchodní manažer	Šlapanice	721	721	A
6203	583952	1	3	480	2	Martin	Adamec	M	Ing.		36	privátní bankéř, team leader	Šlapanice	721	721	A
6203	583952	1	3	480	3	Libor	Charvát	M			45	sekretář OFS Brno-venkov	Šlapanice	721	721	A
6203	583952	1	3	480	4	Vít	Hanáček	M			44	řidič	Bedřichovice	99	721	A
6203	583952	1	3	480	5	Jan	Šlancar	M			37	fotograf	Šlapanice	99	721	A
6203	583952	1	3	480	6	Monika	Sovová	F			51	učitelka	Šlapanice	99	721	A
6203	583952	1	3	480	7	Karel	Buchta	M	Mgr.		41	učitel na gymnáziu	Šlapanice	99	721	A
6203	583952	1	3	480	8	Jan	Zycháček	M			66	podnikatel	Šlapanice	721	721	A
6203	583952	1	3	480	9	Hana	Buchtová	F			58	podnikatelka	Šlapanice	721	721	A
6203	583952	1	3	480	10	Michaela	Adamcová	F	Mgr.		38	obchodní manažerka pro molekulární biologii	Šlapanice	721	721	A
6203	583952	1	3	480	11	Ondřej	Jurčeka	M	MgA.		39	hudebník	Šlapanice	99	721	A
6203	583952	1	3	480	12	Lubomír	Bednář	M			62	podnikatel	Šlapanice	99	721	A
6203	583952	1	3	480	13	Eva	Bajerová	F			43	poradkyně	Bedřichovice	99	721	A
6203	583952	1	3	480	14	Vít	Koudelka	M			44	prodejní manažer	Šlapanice	99	721	A
6203	583952	1	3	480	15	Přemysl	Švehla	M			25	strojník energetického zařízení	Šlapanice	99	721	A
