OKRES	KODZASTUP	COBVODU	POR_STR_HL	OSTRANA	PORCISLO	JMENO	PRIJMENI	POHLAVI	TITULPRED	TITULZA	VEK	POVOLANI	BYDLISTEN	PSTRANA	NSTRANA	PLATNOST
6203	583880	1	1	901	1	Petr	Kopřiva	M			48	provozní pracovník	Sobotovice	99	80	A
6203	583880	1	1	901	2	Zdeněk	Nečas	M			49	technik měření a regulace	Sobotovice	99	80	A
6203	583880	1	1	901	3	Stanislav	Večeřa	M	Ing.		45	manažer	Sobotovice	99	80	A
6203	583880	1	1	901	4	Petr	Lemon	M			37	elektromechanik	Sobotovice	99	80	A
6203	583880	1	1	901	5	Vlasta	Kotasová	F			29	mateřská dovolená	Sobotovice	99	80	A
6203	583880	1	1	901	6	Kateřina	Rausová	F	Bc.		44	učitelka v MŠ	Sobotovice	99	80	A
6203	583880	1	1	901	7	Tomáš	Kudlička	M			32	řidič mechanik	Sobotovice	99	80	A
6203	583880	1	1	901	8	Zdeněk	Hájek	M			34	opravář brzdových třmenů	Sobotovice	99	80	A
6203	583880	1	1	901	9	Pavel	Konečný	M			32	nákupčí	Sobotovice	99	80	A
6203	583880	1	2	902	1	Marek	Svoboda	M	doc. MUDr.	Ph.D.	42	lékař	Sobotovice	99	80	A
6203	583880	1	2	902	2	Jitka	Rychnovská	F			57	starostka	Sobotovice	99	80	A
6203	583880	1	2	902	3	Veronika	Jetelinová	F	Mgr.		43	učitelka	Sobotovice	99	80	A
6203	583880	1	2	902	4	Tomáš	Janíček	M			31	inženýr kvality	Sobotovice	99	80	A
6203	583880	1	2	902	5	Lenka	Böhmová	F			39	učitelka MŠ	Sobotovice	99	80	A
6203	583880	1	2	902	6	Václav	Suchánek	M	Ing.		61	obchodní zástupce	Sobotovice	99	80	A
6203	583880	1	2	902	7	Petr	Vaňáček	M			44	OSVČ	Sobotovice	99	80	A
6203	583880	1	2	902	8	David	Vávra	M			26	správce IT/IS technologií	Sobotovice	99	80	A
6203	583880	1	2	902	9	Petr	Lipský	M	Ing.		41	manažer výroby ve strojírenské firmě	Sobotovice	99	80	A
