OKRES	KODZASTUP	COBVODU	POR_STR_HL	OSTRANA	PORCISLO	JMENO	PRIJMENI	TITULPRED	TITULZA	VEK	POVOLANI	BYDLISTEN	PSTRANA	NSTRANA	PLATNOST	POHLAVI
8101	597341	1	1	7	1	Pavel	Gašparik			41	zaměstnanec Lesů ČR	Spálené	7	7	A	M
8101	597341	1	2	901	1	Pavel	Šprinz	Mgr.		47	starosta, pedagog	Hejnov	99	80	A	M
8101	597341	1	1	7	2	Petr	Sedláček			41	zootechnik	Jelení	99	7	A	M
8101	597341	1	2	901	2	Miroslav	Prchal	Bc.		49	vedoucí oddělení PČR	Holčovice	99	80	A	M
8101	597341	1	1	7	3	Tomáš	Lapka			40	řidič	Hejnov	99	7	A	M
8101	597341	1	2	901	3	Jarmila	Helienková			69	důchodkyně	Holčovice	99	80	A	F
8101	597341	1	1	7	4	Rostislav	Buckulčík			29	velitel objektu	Komora	99	7	A	M
8101	597341	1	2	901	4	Jana	Válková	Mgr.		44	ředitelka ZŠ	Spálené	99	80	A	F
8101	597341	1	1	7	5	Jan	Herodek			35	živnostník	Holčovice	99	7	A	M
8101	597341	1	2	901	5	Martin	Hradil	Ing.		28	dispečer dopravy	Hejnov	99	80	A	M
8101	597341	1	1	7	6	Ondřej	Čížek			28	podnikatel	Holčovice	99	7	A	M
8101	597341	1	2	901	6	Václav	Eichler			29	OSVČ, geodet	Holčovice	99	80	A	M
8101	597341	1	1	7	7	Pavel	Gašparik			65	soukromý zemědělec	Komora	99	7	A	M
8101	597341	1	2	901	7	Libor	Včelný	Bc.		48	vedoucí oddělení PČR	Hejnov	99	80	A	M
8101	597341	1	1	7	8	Zdeněk	Janoš			70	učitel autoškoly	Hejnov	99	7	A	M
8101	597341	1	2	901	8	Pavel	Říman			55	dělník, řidič	Holčovice	99	80	A	M
8101	597341	1	1	7	9	Kristýna	Poláchová			23	zootechnik	Hejnov	99	7	A	F
8101	597341	1	2	901	9	Vojtěch	Sivák			45	OSVČ, lakýrník	Holčovice	99	80	A	M
