OKRES	KODZASTUP	COBVODU	POR_STR_HL	OSTRANA	PORCISLO	JMENO	PRIJMENI	TITULPRED	TITULZA	VEK	POVOLANI	BYDLISTEN	PSTRANA	NSTRANA	PLATNOST	POHLAVI
5101	561746	1	1	901	1	Michal	Iwanejko	Bc.		35	státní zaměstnanec	Kunratice u Cvikova	99	80	A	M
5101	561746	1	1	901	2	Josef	Černý	Ing.		45	technik vývojové zkušebny	Kunratice u Cvikova	99	80	A	M
5101	561746	1	1	901	3	Zdeněk	Špak			42	OSVČ	Kunratice u Cvikova	99	80	A	M
5101	561746	1	1	901	4	Lenka	Šafrová			35	laborantka	Kunratice u Cvikova	99	80	A	F
5101	561746	1	1	901	5	František	Pevný			57	servisní technik	Kunratice u Cvikova	99	80	A	M
5101	561746	1	1	901	6	Martina	Černá			41	majetková referentka	Kunratice u Cvikova	99	80	A	F
5101	561746	1	1	901	7	Pavlína	Kulíková			44	číšnice	Kunratice u Cvikova	99	80	A	F
5101	561746	1	1	901	8	Martina	Vlčková			44	bankovní úřednice	Kunratice u Cvikova	99	80	A	F
5101	561746	1	1	901	9	Milena	Mocová			47	koordinátorka tíšňové péče	Kunratice u Cvikova	99	80	A	F
5101	561746	1	1	901	10	Libor	Urbánek			49	státní zaměstnanec	Kunratice u Cvikova	99	80	A	M
5101	561746	1	1	901	11	Jan	Petrů	Ing.		39	konstruktér	Kunratice u Cvikova	99	80	A	M
