OKRES	KODZASTUP	COBVODU	POR_STR_HL	OSTRANA	PORCISLO	JMENO	PRIJMENI	TITULPRED	TITULZA	VEK	POVOLANI	BYDLISTEN	PSTRANA	NSTRANA	PLATNOST	POHLAVI
5101	562246	1	1	901	1	Ladislav	Chvojka			67	důchodce	Zahrádky	99	80	A	M
5101	562246	1	2	902	1	Ladislava	Hemrlová			64	důchodkyně	Zahrádky	99	80	A	F
5101	562246	1	3	904	1	Petr	Doležal	JUDr.		55	právník	Borek	99	80	A	M
5101	562246	1	4	903	1	Petr	Cedrych	MUDr.		57	lékař	Zahrádky	99	80	A	M
5101	562246	1	5	53	1	Igor	Kašpar			49	živnostník	Zahrádky	53	53	A	M
5101	562246	1	6	905	1	Jakub	Drábek			32	IT konzultant	Zahrádky	99	80	A	M
5101	562246	1	1	901	2	Hana	Waxmandská			45	operátorka výroby	Zahrádky	99	80	A	F
5101	562246	1	2	902	2	Martin	Chvojka			39	OSVČ	Zahrádky	99	80	A	M
5101	562246	1	3	904	2	Lubomír	Dlabač			60	OSVČ	Zahrádky	99	80	A	M
5101	562246	1	4	903	2	Anton	Waxmandski			47	strojník	Zahrádky	99	80	A	M
5101	562246	1	5	53	2	Adriána	Lohr			43	živnostník	Zahrádky	53	53	A	F
5101	562246	1	6	905	2	Martin	Macho			30	technický a výrobní konzultant	Zahrádky	99	80	A	M
5101	562246	1	1	901	3	Petr	Jindřich			47	regionální manager	Zahrádky	99	80	A	M
5101	562246	1	2	902	3	Miroslav	Čejka			61	dělník	Zahrádky	99	80	A	M
5101	562246	1	3	904	3	Ladislav	Masopust			34	oborník	Šváby	99	80	A	M
5101	562246	1	4	903	3	David	Šmat	Ing.		41	projektový manažer	Zahrádky	99	80	A	M
5101	562246	1	5	53	3	Pavel	Vjater	Bc.		30	obchodní zástupce	Zahrádky	53	53	A	M
5101	562246	1	6	905	3	Dominika	Jabálková			33	podnikatelka	Zahrádky	99	80	A	F
5101	562246	1	1	901	4	Jaroslava	Hoffmannová	Mgr.		63	ředitelka ZŠ + MŠ	Zahrádky	99	80	A	F
5101	562246	1	2	902	4	Blanka	Hášová			47	malířka skla	Zahrádky	99	80	A	F
5101	562246	1	3	904	4	František	Dobrovič			47	OSVČ	Zahrádky	99	80	A	M
5101	562246	1	4	903	4	Josef	Rehák			45	obsluha strojů a zařízení	Zahrádky	99	80	A	M
5101	562246	1	5	53	4	Karel	Poživil	Ing.		66	jednatel společnosti	Zahrádky	99	53	A	M
5101	562246	1	6	905	4	Petr	Vácha			25	operátor skladu	Zahrádky	99	80	A	M
5101	562246	1	1	901	5	Ladislava	Zejmonová			49	učitelka MŠ	Zahrádky	99	80	A	F
5101	562246	1	2	902	5	Vladimír	Jirásek			59	automechanik	Zahrádky	99	80	A	M
5101	562246	1	3	904	5	Markéta	Navrátilová			41	zdravotní sestra	Zahrádky	99	80	A	F
5101	562246	1	4	903	5	Lukáš	Vorlíček			35	mistr výroby	Zahrádky	99	80	A	M
5101	562246	1	5	53	5	Štěpánka	Suchá			42	učitelka	Zahrádky	99	53	A	F
5101	562246	1	6	905	5	Tereza	Váchová			22	Service Desk Operator	Zahrádky	99	80	A	F
5101	562246	1	1	901	6	Jakub	Doležal			31	OSVČ	Borek	99	80	A	M
5101	562246	1	2	902	6	Zdeňka	Poláková			26	státní zaměstnanec	Zahrádky	99	80	A	F
5101	562246	1	3	904	6	Petr	Vácha			46	ředitel a.s.	Zahrádky	99	80	A	M
5101	562246	1	4	903	6	Jaroslav	Koželuh			50	seřizovač	Zahrádky	99	80	A	M
5101	562246	1	5	53	6	Vladimír	Žižka	Ing.		51	technický pracovník	Zahrádky	99	53	A	M
5101	562246	1	6	905	6	Dana	Chodurová			26	vedoucí prodejny	Zahrádky	99	80	A	F
5101	562246	1	1	901	7	Petr	Šena			44	truhlář	Zahrádky	99	80	A	M
5101	562246	1	2	902	7	Pavel	Olšák			53	údržbář	Zahrádky	99	80	A	M
5101	562246	1	3	904	7	Jaroslav	Vaskiv			42	kontrolor kvality	Zahrádky	99	80	A	M
5101	562246	1	4	903	7	Monika	Dobrovičová			47	OSVČ	Zahrádky	99	80	A	F
5101	562246	1	5	53	7	Drahoslava	Řezníčková			69	důchodkyně	Zahrádky	99	53	A	F
5101	562246	1	6	905	7	Veronika	Kašparová			21	studentka	Zahrádky	99	80	A	F
5101	562246	1	1	901	8	Václav	Vach			72	důchodce	Zahrádky	99	80	A	M
