OKRES	KODZASTUP	COBVODU	POR_STR_HL	OSTRANA	PORCISLO	JMENO	PRIJMENI	TITULPRED	TITULZA	VEK	POVOLANI	BYDLISTEN	PSTRANA	NSTRANA	PLATNOST	POHLAVI
3101	544761	1	1	901	1	Jana	Honnerová			45	personalistka	Kaliště u Lipí	99	80	A	F
3101	544761	1	2	902	1	Petr	Käfer	Ing.		57	vedoucí oddělení, Magistrát města České Budějovice	Lipí	99	80	A	M
3101	544761	1	1	901	2	Pavla	Bláhová	Ing.		63	ředitel	Lipí	99	80	A	F
3101	544761	1	2	902	2	Marcela	Zahradníková	Ing. arch.		40	OSVČ, architekt	Lipí	99	80	A	F
3101	544761	1	1	901	3	Vojtěch	Fürst	Ing.		26	stavební technik	Kaliště u Lipí	99	80	A	M
3101	544761	1	2	902	3	Radim	Fojtík	Ing.		37	vedoucí logistiky, Wienerberger, s.r.o.	Lipí	99	80	A	M
3101	544761	1	1	901	4	Stanislav	Kysela			67	starosta	Lipí	99	80	A	M
3101	544761	1	2	902	4	Bronislav	Kamlach			38	podnikatel	Lipí	99	80	A	M
3101	544761	1	1	901	5	Jiří	Krčmář	Ing.		55	THP	Lipí	99	80	A	M
3101	544761	1	2	902	5	Pavel	Staněk			50	dělník obce Lipí	Kaliště u Lipí	99	80	A	M
3101	544761	1	1	901	6	Stanislav	Fedor			34	technolog	Lipí	99	80	A	M
3101	544761	1	2	902	6	Petra	Kočerová	Bc.		40	státní úředník	Lipí	99	80	A	F
3101	544761	1	1	901	7	Stanislav	Bombala			47	strojvedoucí	Lipí	99	80	A	M
3101	544761	1	2	902	7	Vlasta	Kamlachová			67	důchodce	Lipí	99	80	A	F
3101	544761	1	2	902	8	Marie	Kamlachová			30	mateřská dovolená	Lipí	99	80	A	F
