OKRES	KODZASTUP	COBVODU	POR_STR_HL	OSTRANA	PORCISLO	JMENO	PRIJMENI	TITULPRED	TITULZA	VEK	POVOLANI	BYDLISTEN	PSTRANA	NSTRANA	PLATNOST	POHLAVI
3102	545414	1	1	901	1	Michaela	Novotná	Ing.		35	investiční technik	Besednice	99	80	A	F
3102	545414	1	2	1	1	František	Kytka			21	technik IT	Malče	99	1	A	M
3102	545414	1	3	389	1	Karolina	Kozlová	Bc.		42	hlavní účetní	Besednice	99	80	A	F
3102	545414	1	1	901	2	Stanislav	Blecha			31	stavební technik	Besednice	99	80	A	M
3102	545414	1	2	1	2	Vratislav	Brabec			42	OSVČ	Malče	99	1	A	M
3102	545414	1	3	389	2	Jaroslav	Klein			64	starosta městyse	Besednice	53	53	A	M
3102	545414	1	1	901	3	Petr	Paťha	Ing.		50	manažer	Besednice	99	80	A	M
3102	545414	1	2	1	3	Eva	Thurnová			49	účetní	Malče	99	1	A	F
3102	545414	1	3	389	3	Jan	Zeman			34	školník	Besednice	53	53	A	M
3102	545414	1	1	901	4	Alena	Koukolová	Ing.		35	ekonomka	Besednice	99	80	A	F
3102	545414	1	2	1	4	Vít	Leitgeb			39	programátor	Malče	99	1	A	M
3102	545414	1	3	389	4	Milan	Kanaloš			47	podnikatel	Besednice	99	80	A	M
3102	545414	1	1	901	5	Zdeňka	Řehoutová	Mgr.		50	učitelka ZŠ	Besednice	99	80	A	F
3102	545414	1	2	1	5	Miroslava	Chrtová			37	disponentka	Malče	99	1	A	F
3102	545414	1	3	389	5	Vladislav	Havlíček			51	zámečník	Besednice	99	80	A	M
3102	545414	1	1	901	6	Radka	Smolíková	Mgr.		36	speciální pedagog	Besednice	99	80	A	F
3102	545414	1	2	1	6	Milan	Holý	Ing.		67	důchodce	Malče	99	1	A	M
3102	545414	1	3	389	6	Jaroslav	Klein	Mgr.		38	policista ČR	Besednice	99	80	A	M
3102	545414	1	1	901	7	Ludmila	Paťhová			48	pěstounka	Besednice	99	80	A	F
3102	545414	1	2	1	7	Danuše	Brabcová			49	servírka	Malče	99	1	A	F
3102	545414	1	3	389	7	Jana	Zemanová			23	studentka	Besednice	99	80	A	F
3102	545414	1	1	901	8	Martin	Řehout			21	student VŠ	Besednice	99	80	A	M
3102	545414	1	2	1	8	Václav	Kytka			21	dělník	Malče	99	1	A	M
3102	545414	1	3	389	8	Eliška	Fialová			63	zdravotní sestra	Besednice	53	53	A	F
3102	545414	1	1	901	9	Pavel	Pöschko	Ing.		48	vedoucí úředník	Besednice	99	80	A	M
3102	545414	1	2	1	9	Jana	Ratajová			60	důchodce	Malče	99	1	A	F
3102	545414	1	3	389	9	Jiří	Laštovička			56	OSVČ	Besednice	99	80	A	M
3102	545414	1	1	901	10	Jiří	Zajíček			41	řezník, uzenář	Besednice	99	80	A	M
3102	545414	1	2	1	10	Klára	Tesařová			37	úřednice	Malče	99	1	A	F
3102	545414	1	3	389	10	Karel	Bíca			41	operátor CNC strojů	Besednice	99	80	A	M
3102	545414	1	1	901	11	Jan	Syrovátka			32	strojní vývojář	Besednice	99	80	A	M
3102	545414	1	2	1	11	Lucie	Kytková			24	disponentka	Malče	99	1	A	F
3102	545414	1	3	389	11	Petr	Martínek			48	OSVČ	Besednice	53	53	A	M
