OKRES	KODZASTUP	COBVODU	POR_STR_HL	OSTRANA	PORCISLO	JMENO	PRIJMENI	TITULPRED	TITULZA	VEK	POVOLANI	BYDLISTEN	PSTRANA	NSTRANA	PLATNOST	POHLAVI
4101	554740	1	1	901	1	Petr	Schaller			45	starosta města	Plesná	721	80	A	M
4101	554740	1	2	7	1	Václav	Mleziva			51	ředitel	Plesná	7	7	A	M
4101	554740	1	3	47	1	Tomáš	Lokinga			48	technik	Lomnička	47	47	A	M
4101	554740	1	1	901	2	Alena	Jelínková	Mgr.		50	učitelka	Plesná	99	80	A	F
4101	554740	1	2	7	2	Věra	Vaňousová			58	učitelka	Plesná	7	7	A	F
4101	554740	1	3	47	2	Milada	Nedvědová	Mgr.		61	učitelka	Plesná	99	47	A	F
4101	554740	1	1	901	3	Kristýna	Dusová			29	provozní	Plesná	99	80	A	F
4101	554740	1	2	7	3	Antonín	Dinga	Ing.		55	učitel	Plesná	7	7	A	M
4101	554740	1	3	47	3	Jana	Fúričková			57	vychovatelka	Plesná	47	47	A	F
4101	554740	1	1	901	4	Martin	Polívka			26	zdravotně sociální pracovník	Plesná	99	80	A	M
4101	554740	1	2	7	4	Ladislav	Mašek			42	dělník	Plesná	7	7	A	M
4101	554740	1	3	47	4	Anna	Jančová			67	úřednice	Plesná	99	47	A	F
4101	554740	1	1	901	5	Barbora	Votrubová			25	účetní	Plesná	99	80	A	F
4101	554740	1	2	7	5	Michal	Kejmar			32	dělník	Plesná	7	7	A	M
4101	554740	1	3	47	5	Jaroslava	Peltrámová			70	úřednice	Plesná	47	47	A	F
4101	554740	1	1	901	6	Michal	Helwin			40	dělník	Plesná	99	80	A	M
4101	554740	1	2	7	6	Michal	Mleziva			30	řidič z povolání	Plesná	7	7	A	M
4101	554740	1	3	47	6	Jan	Sadovský			70	úředník	Plesná	47	47	A	M
4101	554740	1	1	901	7	Václav	Bláha			52	mistr výroby	Plesná	99	80	A	M
4101	554740	1	2	7	7	Martin	Drápal			41	podnikatel	Plesná	7	7	A	M
4101	554740	1	3	47	7	Jiří	Koprušťák			64	mistr výroby	Plesná	99	47	A	M
4101	554740	1	1	901	8	Aleš	Peltrám			43	soukromý dopravce	Plesná	99	80	A	M
4101	554740	1	2	7	8	Zdeněk	Blecha			62	důchodce	Plesná	7	7	A	M
4101	554740	1	3	47	8	Bedřich	Koumar			77	technik	Plesná	47	47	A	M
4101	554740	1	1	901	9	Blažena	Lvová			67	učitelka	Plesná	99	80	A	F
4101	554740	1	2	7	9	Jiří	Holík			26	automechanik	Plesná	7	7	A	M
