OKRES	KODZASTUP	COBVODU	POR_STR_HL	OSTRANA	PORCISLO	JMENO	PRIJMENI	TITULPRED	TITULZA	VEK	POVOLANI	BYDLISTEN	PSTRANA	NSTRANA	PLATNOST	POHLAVI
3201	553981	1	1	470	1	Josef	Janeček			63	starosta obce	Mrákov	99	166	A	M
3201	553981	1	2	1	1	Lucie	Barnová	Bc.	DiS.	39	pracovnice spedice	Mrákov	99	1	A	F
3201	553981	1	1	470	2	Eva	Květonová			51	ekonomický referent	Starý Klíčov	99	166	A	F
3201	553981	1	2	1	2	Anna	Kalíšková			52	účetní	Mrákov	99	1	A	F
3201	553981	1	1	470	3	Josef	Kubalík			63	důchodce	Nový Klíčov	99	166	A	M
3201	553981	1	2	1	3	Karel	Stauber			33	strojař	Mrákov	99	1	A	M
3201	553981	1	1	470	4	Václav	Pivoňka			49	úředník	Mrákov	99	166	A	M
3201	553981	1	2	1	4	Petr	Vozár			41	prodavač	Nový Klíčov	99	1	A	M
3201	553981	1	1	470	5	Jiří	Švajner			40	vedoucí výroby	Starý Klíčov	99	80	A	M
3201	553981	1	2	1	5	Josef	Konop			33	voják	Starý Klíčov	99	1	A	M
3201	553981	1	1	470	6	Vladimír	Duffek	Mgr.		53	ředitel ZŠ	Mrákov	99	166	A	M
3201	553981	1	2	1	6	Anna	Císlerová			25	studentka	Mrákov	99	1	A	F
3201	553981	1	1	470	7	Jan	Hofmann			36	revizní technik	Mrákov	99	80	A	M
3201	553981	1	2	1	7	Josef	Vondraš			70	důchodce	Starý Klíčov	1	1	A	M
3201	553981	1	1	470	8	Josef	Herlík			34	vedoucí servisu	Starý Klíčov	99	80	A	M
3201	553981	1	2	1	8	Václav	Blahník			70	důchodce	Starý Klíčov	1	1	A	M
3201	553981	1	1	470	9	Ludmila	Kašová			41	administrativní pracovnice	Mrákov	99	80	A	F
3201	553981	1	2	1	9	Růžena	Vondrašová			70	důchodkyně	Starý Klíčov	1	1	A	F
