OKRES	KODZASTUP	COBVODU	POR_STR_HL	OSTRANA	PORCISLO	JMENO	PRIJMENI	POHLAVI	TITULPRED	TITULZA	VEK	POVOLANI	BYDLISTEN	PSTRANA	NSTRANA	PLATNOST
5201	569887	1	1	904	1	Věra	Jílková	F	MUDr.		62	lékařka	Homyle	99	80	A
5201	569887	1	1	904	2	Lenka	Měšťanová	F	Ing.		47	manažerka	Boharyně	99	80	A
5201	569887	1	1	904	3	Jiří	Drtina	M			64	důchodce	Boharyně	99	80	A
5201	569887	1	1	904	4	Václav	Paták	M			54	invalidní důchodce	Homyle	99	80	A
5201	569887	1	1	904	5	Jiří	Liška	M			37	stavební technik	Homyle	99	80	A
5201	569887	1	1	904	6	Jana	Podrazilová	F			67	důchodkyně	Boharyně	99	80	A
5201	569887	1	1	904	7	Radka	Hušková	F			47	administrativní pracovnice	Boharyně	99	80	A
5201	569887	1	1	904	8	Milan	Pilař	M			47	obchodník	Boharyně	7	80	A
5201	569887	1	1	904	9	Kamila	Hellerová	F			38	učitelka	Boharyně	99	80	A
5201	569887	1	1	904	10	Martin	Tuna	M	MUDr.		47	lékař	Homyle	99	80	A
5201	569887	1	1	904	11	František	Šlechta	M	Ing.		64	manažer	Homyle	99	80	A
5201	569887	1	2	903	1	Miroslav	Melichar	M	Ing.		43	stavební technik	Homyle	99	80	A
5201	569887	1	2	903	2	Jiří	Rejmánek	M			46	montér	Homyle	99	80	A
5201	569887	1	2	903	3	František	Šartner	M	Ing.		48	živnostník	Homyle	99	80	A
5201	569887	1	2	903	4	Marie	Tomášová	F			47	vedoucí pošty	Boharyně	99	80	A
5201	569887	1	2	903	5	Ondřej	Vítek	M	Ing.		30	obchodní zástupce	Homyle	99	80	A
5201	569887	1	2	903	6	Miluše	Sentivanová	F			42	úřednice	Boharyně	99	80	A
5201	569887	1	2	903	7	Marian	Havlík	M			44	elektromechanik	Homyle	99	80	A
5201	569887	1	2	903	8	Petr	Čížek	M			50	elektromechanik	Boharyně	99	80	A
5201	569887	1	2	903	9	Alena	Vítková	F			55	učitelka	Homyle	99	80	A
5201	569887	1	2	903	10	Miroslav	Melichar	M			66	autoklempíř	Homyle	99	80	A
5201	569887	1	2	903	11	František	Široký	M			67	soustružník	Boharyně	99	80	A
5201	569887	1	3	902	1	Věra	Macháčková	F			63	důchodce	Homyle	99	80	A
5201	569887	1	3	902	2	Vítězslav	Havlíček	M			50	technik	Boharyně	99	80	A
5201	569887	1	3	902	3	Kamila	Farková	F			47	pokladní	Homyle	99	80	A
5201	569887	1	3	902	4	Aneta	Brettová	F			27	teamleader	Zvíkov	99	80	A
5201	569887	1	3	902	5	Daniel	Michálek	M			44	podnikatel	Homyle	99	80	A
5201	569887	1	3	902	6	Karel	Dovrtěl	M			40	OSVČ	Boharyně	99	80	A
5201	569887	1	3	902	7	Roman	Houdek	M			37	obchodník	Homyle	99	80	A
5201	569887	1	3	902	8	Lukáš	Michálek	M			28	manažer dopravy	Homyle	99	80	A
5201	569887	1	3	902	9	Petr	Vytlačil	M			47	elektromechanik	Homyle	99	80	A
5201	569887	1	3	902	10	Pavel	Brett	M			53	řidič z povolání	Zvíkov	99	80	A
5201	569887	1	3	902	11	Jiří	Pavlíček	M			54	OSVČ	Boharyně	99	80	A
5201	569887	1	4	901	1	Jana	Šarounová	F			43	celní deklarantka	Trnava	99	80	A
5201	569887	1	4	901	2	Iveta	Kmoníčková	F			49	administrativní pracovnice	Trnava	99	80	A
5201	569887	1	4	901	3	Miloslav	Kašpar	M			28	servisní technik	Trnava	99	80	A
5201	569887	1	4	901	4	Lenka	Vaníčková	F			46	referentka	Trnava	99	80	A
5201	569887	1	4	901	5	Jiří	Šaroun	M			46	referent nákupu	Trnava	99	80	A
5201	569887	1	4	901	6	Přemysl	Brož	M			41	OSVČ	Trnava	99	80	A
5201	569887	1	4	901	7	Bohumír	Kmoníček	M			53	vedoucí půjčovny	Trnava	99	80	A
5201	569887	1	4	901	8	Hana	Kašparová	F			60	poštovní doručovatelka	Trnava	99	80	A
5201	569887	1	4	901	9	Michal	Petřík	M			24	mistr odborného výcviku	Trnava	99	80	A
5201	569887	1	4	901	10	Dalibor	Brož	M			46	truhlář	Trnava	99	80	A
5201	569887	1	4	901	11	Roman	Michálek	M			50	státní zaměstnanec	Trnava	99	80	A
